,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,テクネチウム,セ5,57.0,▲井上,前川,484(-16),栗東,2021104280,01151,マクフィ,プリンセス,キングズベスト
1,2,2,スコラーリ,牡7,60.0,伴,萩原,482(-2),美浦,2019100718,01149,トゥザワールド,ヒカリヴィグラス,サウスヴィグラス
2,3,3,キングサーガ,セ9,60.0,小牧加,小栗,496(-4),栗東,2017105439,01196,キングカメハメハ,ディアマイベイビー,ディープインパクト
3,4,4,ローンウルフ,牡5,60.0,大江圭,武市,490(-4),美浦,2021104112,01120,リアルインパクト,シェリレーヌ,Mineshaft
4,5,5,タイセイジャスパー,セ7,60.0,難波,伊藤圭,496(-6),美浦,2019100135,01066,ヘニーヒューズ,プラセンティア,トワイニング
5,6,6,ロードリベラシオン,牡4,59.0,五十嵐,尾形,510(+2),美浦,2022102821,01069,ダノンバラード,レディシアトル,エンパイアメーカー
6,6,7,コレクテイニア,牡6,60.0,草野,戸田,470(0),美浦,2020110020,01113,Collected,ダンスウィズキトゥン,Kitten's Joy
7,7,8,ジーティーオウジャ,セ5,57.0,▲水沼,石栗,504(-12),美浦,2021104943,01201,ルーラーシップ,アラドヴァル,シンボリクリスエス
8,7,9,モズバンディット,牡6,60.0,中村,中尾,462(+6),栗東,2020101268,01101,ドレフォン,アマルティア,アドマイヤムーン
9,8,10,バルサムノート,牡6,60.0,森一,高野,516(-2),栗東,2020103276,01139,モーリス,エピセアローム,ダイワメジャー
10,8,11,ルドヴィクス,牡8,60.0,上野,久保田,532(+14),美浦,2018105213,01087,モーリス,ピーチブローフィズ,シンボリクリスエス
