,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,クラヴァンス,牡4,58.0,坂井,友道,486(+10),栗東,2022104669,1163,ロードカナロア,ヴィブロス,ディープインパクト,1.269106178664865,2,0.2285277946972105,3,,4,52.4,50.0,51.3,4
1,2,2,メディテラニアン,牡4,58.0,岩田望,池江,458(-2),栗東,2022105068,1174,サートゥルナーリア,ミカリーニョ,ハーツクライ,-1.143984158235748,7,-0.4984786374364758,4,,6,48.0,44.8,45.7,5
2,3,3,ヴィスマール,牡5,58.0,西村淳,奥村豊,462(0),栗東,2021105459,1171,ブリックスアンドモルタル,オーマイベイビー,ディープインパクト,-0.2064939753055898,4,-0.2160352565857562,2,,5,53.1,44.9,52.5,3
3,4,4,リッチブラック,牡7,58.0,吉村,西村,464(+6),栗東,2019103816,1216,エピファネイア,アドマイヤカンナ,ブライアンズタイム,0.6783289704276522,3,0.0505407447394842,7,,7,43.4,42.3,41.7,7
4,5,5,アオイタケル,牡4,58.0,川田,四位,486(-4),栗東,2022100330,1088,サトノダイヤモンド,スイチョウカ,シンボリクリスエス,2.476884974242375,1,0.5924026731268822,1,,1,72.3,72.1,55.2,2
5,6,6,ダノンカゼルタ,セ4,58.0,松山,寺島,492(0),栗東,2022104719,1126,サートゥルナーリア,カゼルタ,ハービンジャー,-0.5237094384881962,5,-0.3116046924164214,6,,2,45.1,53.5,70.7,1
6,7,7,ミカエルパシャ,牡5,58.0,北村友,橋口,480(-2),栗東,2021101751,1102,エピファネイア,ピースオブラヴ,マイネルラヴ,-0.5485603120816572,6,-0.3190916665550657,5,,8,45.3,40.9,43.1,6
7,8,8,ヴォラヴィア,牡4,58.0,川又,杉山佳,462(+6),栗東,2022107149,1166,エイシンフラッシュ,パリュール,リンカーン,-2.184845308116031,8,-0.8120652194841902,8,,3,40.4,51.5,39.8,8
