,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,モロノディアマンテ,牡3,54.0,▲大久保,田中勝,422(-14),美浦,2023102890,1194,サトノダイヤモンド,エルラディユー,Unbridled's Song,0.41691548689675234,8,-0.011177055974637915,8,,
1,1,2,チェイサー,牡3,56.0,☆長浜,相沢,420(+2),美浦,2023104603,1214,レイデオロ,ウェストレー,オルフェーヴル,0.6390437863900738,6,-0.006389491211028115,6,,
2,2,3,クレインヴォイス,牡3,57.0,石川,相沢,436(-4),美浦,2023106789,1150,イスラボニータ,シルバークレイン,クロフネ,-0.6886842215144131,14,-0.03500621335224486,14,,
3,2,4,ビップジョワ,牝3,55.0,丸田,高柳瑞,416(0),美浦,2023102511,1117,サトノダイヤモンド,ダイリュウキセキ,ファスリエフ,0.41691548689675234,8,-0.011177055974637915,8,,
4,3,5,フローレンスフーガ,牡3,57.0,小崎,四位,480(0),栗東,2023101000,1152,フィエールマン,フローレンスガール,El Corredor,-0.3148311810707505,13,-0.026948502347932765,13,,
5,3,6,ホウオウライラック,牝3,52.0,▲小林美,高柳瑞,430(+8),美浦,2023105618,1206,レイデオロ,ホウオウマルゴー,ディープインパクト,0.7511501974167175,3,-0.0039732448145528496,3,,
6,4,7,コスモペンタス,牝3,52.0,▲森田,西田,414(+4),美浦,2023106482,1222,ベンバトル,モエレカトリーナ,ゴールドヘイロー,-0.1402268487026664,10,-0.02318522882031011,10,,
7,4,8,トンデトンデトンデ,牡3,57.0,亀田,北出,466(+8),栗東,2023101914,1176,キセキ,オタカラハッケン,オペラハウス,-1.110562402064914,15,-0.044099017449455886,15,,
8,5,9,ウインマニフィーク,牡3,54.0,▲石神道,鈴木慎,466(+2),美浦,2023105862,1209,ベンバトル,ウインファビラス,ステイゴールド,-0.23315592056147016,11,-0.025188143131368204,11,,
9,5,10,ウールヴヘジン,牡3,57.0,西塚,青木,420(-10),美浦,2023102442,1200,ビーチパトロール,ワルキューレ,ステイゴールド,0.648586387733763,5,-0.006183818084054056,5,,
10,6,11,オーブレーヌ,牝3,53.0,△舟山,和田郎,388(0),美浦,2023106812,1221,ブリックスアンドモルタル,ムーンライトナイト,ステイゴールド,-0.25425071889304757,12,-0.025642802503533214,12,,
11,6,12,ナイトバード,牡3,57.0,ゴンサルベ,田村,432(-6),美浦,2023103429,5675,キズナ,シングフォーユー,ジャスタウェイ,1.8461011540633558,1,0.019626398409114378,1,,
12,7,13,ダンツウルス,牡3,57.0,丸山,谷,460(-4),栗東,2023102901,1127,リアルスティール,コゴメユキ,Liam's Map,0.7311310776793258,4,-0.004404719923630984,4,,
13,7,14,マコトアディントン,牡3,57.0,斎藤,前川,430(-2),栗東,2023102128,1178,オルフェーヴル,マコトブリジャール,ストーミングホーム,0.43572443025199636,7,-0.010771663979769624,7,,
14,8,15,タイキアロハ,牡3,57.0,菊沢,西田,486(+6),美浦,2023102183,1161,ラブリーデイ,フェリーチェ,モンテロッソ,0.9020920151765708,2,-0.0007199730355375291,2,,
15,8,16,ドナシュネル,牝3,52.0,▲和田陽,栗田,434(-2),美浦,2023110050,1223,Wootton Bassett,Chiffon,Galileo,-1.1737827962307954,16,-0.045461616146427394,16,,
