,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ボルタドマール,セ7,57.0,▲井上,古賀慎,524(+4),美浦,2019104842,01151,ストロングリターン,ハルマッタン,マンハッタンカフェ
1,2,2,ブラックバラード,セ5,60.0,伴,嘉藤,458(-2),美浦,2021103267,01149,ダノンバラード,メイショウグレア,ジャングルポケット
2,3,3,ロードオールライト,牡5,60.0,小牧加,中内田,522(-8),栗東,2021100148,01196,ハーツクライ,スピニングワイルドキャット,ハードスパン
3,4,4,マーゴットソラーレ,牡5,60.0,草野,伊坂,450(-6),美浦,2021104831,01113,ノヴェリスト,インクレセント,アグネスタキオン
4,4,5,エブリモーメント,牡5,60.0,黒岩,牧田,522(+12),栗東,2021104649,01072,ベストウォーリア,ピュアアモーレ,マツリダゴッホ
5,5,6,グロッシェン,牡5,60.0,上野,手塚徳,470(-14),美浦,2021104844,01087,ニューイヤーズデイ,キャットコイン,ステイゴールド
6,5,7,コスモアミマネラ,牡5,60.0,小坂,柄崎,492(-2),美浦,2021106768,01063,Study of Man,ヴァニティールールズ,New Approach
7,6,8,クリアクォーツ,牡4,59.0,大江圭,的場,482(+6),美浦,2022101587,01120,タワーオブロンドン,クリアソウル,アグネスデジタル
8,6,9,シュエットアムール,牝4,57.0,▲水沼,加藤和,428(+20),美浦,2022103517,01201,ゴールドシップ,シュエットヌーベル,スマートファルコン
9,7,10,ソレルビュレット,牡5,57.0,▲坂口,松尾,532(-4),美浦,2021110061,01211,Malibu Moon,Curluck,Curlin
10,7,11,メイショウブレゲ,牡7,60.0,中村,本田,470(-6),栗東,2019104091,01101,ゴールドシップ,メイショウスイヅキ,パイロ
11,8,12,ナチュラルリバー,牡6,60.0,高田,宮地,490(+4),栗東,2020102559,01046,ルーラーシップ,シナノネージュ,フレンチデピュティ
12,8,13,マグナレガリア,牡5,60.0,五十嵐,相沢,486(-4),美浦,2021106574,01069,レイデオロ,デライトポイント,トウカイテイオー
