,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,カレンマックナイト,牡6,60.0,黒岩,平田,444(0),栗東,2019105140,01072,カレンブラックヒル,カレンオプシス,サムライハート
1,2,2,コパノヴィンセント,牡3,56.0,▲水沼,上原博,554(+22),美浦,2022107047,01201,コパノリッキー,ヴェアリアスローズ,スターリングローズ
2,3,3,ビリオネアボーイ,牡3,56.0,▲井上,新谷,478(+2),栗東,2022110094,01151,American Pharoah (米),ザワールドウィノウ,Speightstown (米)
3,3,4,ボルタドマール,セ6,60.0,伴,黒岩,524(+8),美浦,2019104842,01149,ストロングリターン,ハルマッタン,マンハッタンカフェ
4,4,5,マルベリーシチー,牡5,60.0,上野,奥平,500(0),美浦,2020100684,01087,サトノアラジン,ベルミュール,キングカメハメハ
5,4,6,トラストエムシー,牡5,60.0,高田,北出,436(-8),栗東,2020103502,01046,ブラックタイド,トゥーピー Toupie(英),Intikhab
6,5,7,ビジューブリランテ,セ7,57.0,▲坂口,浅利,494(0),美浦,2018105199,01211,ディープブリランテ,ビジュートウショウ,ディープスカイ
7,5,8,マイネルトラオム,牡3,58.0,石神深,深山,480(+2),美浦,2022100979,01059,ノヴェリスト Novellist(愛),アップルティー,サンデーサイレンス Sunday Silence(米)
8,6,9,ストームバンガード,牡4,60.0,小牧加,岡田,500(+2),栗東,2021103819,01196,ホッコータルマエ,ストームトウショウ,スターオブコジーン Star of Cozzene(米)
9,6,10,アルカンサス,牡6,57.0,▲土田,土田,482(+4),美浦,2019101023,01198,シルバーステート,ラサンバ La Samba(豪),Orientate
10,7,11,モンツァフレイバー,牡3,58.0,草野,久保田,464(+4),美浦,2022103181,01113,エピファネイア,メープルフレイバー,キングカメハメハ
11,7,12,フォルガイル,牡4,60.0,江田勇,加藤和,444(0),美浦,2021101164,01023,レイデオロ,アディクション,ハーツクライ
12,8,13,テーオービースト,牡3,58.0,大江圭,清水英,472(-14),美浦,2022103159,01120,ディーマジェスティ,シンメイゲイルス,ダンスインザダーク
13,8,14,ツリートップムーン,牡3,58.0,小野寺,坂口,488(+14),栗東,2022105887,01123,アドマイヤムーン,キャノピーウォーク,ロードカナロア
