,式別,馬番,配当,人気
0,単勝,11,210,1
1,複勝,11,130,1
2,複勝,12,270,5
3,複勝,7,230,4
4,枠連,7-8,690,3
5,馬連,11-12,860,3
6,ワイド,11-12,470,4
7,ワイド,7-11,460,3
8,ワイド,7-12,1840,22
9,馬単,11→12,1420,4
10,3連複,7-11-12,2950,9
11,3連単,11→12→7,8240,14
