,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2023102410,ブリックスアンドモルタル,ブラックオニキス,Giant's Causeway,Beyond the Waves,ブラックタイド,ラリマー,Storm Cat,Mariah's Storm,Ocean Crest,Excedent,サンデーサイレンス,ウインドインハーヘア,チーフベアハート,カリビアンナイト,Storm Bird,Terlingua,Rahy,イメンス,Storm Bird,S.S.Aroma,Exceller,Broadway Lullaby,Halo,Wishing Well,Alzao,Burghclere,Chief's Crown,Amelia Bearhart,アスワン,ダイナセレナード,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Blushing Groom,Glorious Song,Roberto,Imsodear,Northern Dancer,South Ocean,Seattle Slew,Rare Bouquet,Vaguely Noble,Too Bald,Stage Door Johnny,リットルブレツシング,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Danzig,Six Crowns,Bold Hour,Myrtlewood Lass,ノーザンテースト,リリーオブザナイル,エルセンタウロ,フリソデ
2023104855,ルーラーシップ,アリデッド,キングカメハメハ,エアグルーヴ,ダンスインザダーク,スワンプリンセス,Kingmambo,マンファス,トニービン,ダイナカール,サンデーサイレンス,ダンシングキイ,Nureyev,Fairy Footsteps,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,カンパラ,Severn Bridge,ノーザンテースト,シャダイフェザー,Halo,Wishing Well,Nijinsky,Key Partner,Northern Dancer,Special,Mill Reef,Glass Slipper,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Lady Victoria,ガーサント,パロクサイド,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Flaming Page,Key to the Mint,Native Partner,Nearctic,Natalma,Forli,Thong,Never Bend,Milan Mill,Relko,Crystal Palace
2023103767,トーセンラー,キトゥンズグレイス,ディープインパクト,プリンセスオリビア,Kitten's Joy,イマーキュレイトキャット,サンデーサイレンス,ウインドインハーヘア,Lycius,Dance Image,El Prado,Kitten's First,Storm Cat,Myhrr,Halo,Wishing Well,Alzao,Burghclere,Mr. Prospector,Lypatia,Sadler's Wells,Diamond Spring,Sadler's Wells,Lady Capulet,Lear Fan,That's My Hon,Storm Bird,Terlingua,Mr. Prospector,Miesque,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Raise a Native,Gold Digger,Lyphard,Hypatia,Northern Dancer,Fairy Bridge,Vaguely Noble,Dumfries,Northern Dancer,Fairy Bridge,Sir Ivor,Cap and Bells,Roberto,Wac,L'Enjoleur,One Lane,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Raise a Native,Gold Digger,Nureyev,Pasadoble
2023104671,マジェスティックウォリアー,クラシックス,A.P. Indy,Dream Supreme,キングヘイロー,モガミヒメ,Seattle Slew,Weekend Surprise,Seeking the Gold,Spinning Round,ダンシングブレーヴ,グッバイヘイロー,カコイーシーズ,モガミポイント,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Mr. Prospector,Con Game,Dixieland Band,Take Heart,Lyphard,Navajo Princess,Halo,Pound Foolish,Alydar,Careless Notion,マルゼンスキー,ポイントメーカー,Boldnesian,Reason to Earn,Poker,Fair Charmer,Bold Ruler,Somethingroyal,Buckpasser,Gay Missile,Raise a Native,Gold Digger,Buckpasser,Broadway,Northern Dancer,Mississippi Mud,Secretariat,Deck Stewardess,Northern Dancer,Goofed,Drone,Olmec,Hail to Reason,Cosmah,Sir Ivor,Squander,Raise a Native,Sweet Tooth,Jester,Miss Uppity,Nijinsky,シル,ボールドラツド,クリヒデ
2024108226,Twirling Candy,Ferdinanda,Candy Ride,House of Danzing,Giant's Causeway,My Mammy,Ride the Rails,Candy Girl,Chester House,Danzing Crown,Storm Cat,Mariah's Storm,ケイムホーム,Divine Dixie,Cryptoclearance,Herbalesian,Candy Stripes,City Girl,Mr. Prospector,Toussaud,Danzig,Crownette,Storm Bird,Terlingua,Rahy,イメンス,Gone West,Nice Assay,Dixieland Band,Hail Atlantis,Fappiano,Naval Orange,Herbager,Alanesian,Blushing Groom,バブルカンパニー,Farnesio,Cithara,Raise a Native,Gold Digger,El Gran Senor,Image of Reality,Northern Dancer,Pas de Nom,Seattle Slew,インメモリー,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Blushing Groom,Glorious Song,Roberto,Imsodear,Mr. Prospector,Secrettame,Clever Trick,インフルヴユー,Northern Dancer,Mississippi Mud,Seattle Slew,Flippers
2024100176,ミッキーアイル,マラムコーブ,ディープインパクト,スターアイル,ロードカナロア,マラムデール,サンデーサイレンス,ウインドインハーヘア,ロックオブジブラルタル,アイルドフランス,キングカメハメハ,レディブラッサム,フレンチデピュティ,フサイチエアデール,Halo,Wishing Well,Alzao,Burghclere,デインヒル,Offshore Boom,Nureyev,ステラマドリッド,Kingmambo,マンファス,Storm Cat,サラトガデュー,Deputy Minister,Mitterand,サンデーサイレンス,ラスティックベル,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Danzig,Razyana,Be My Guest,Push a Button,Northern Dancer,Special,Alydar,My Juliet,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Halo,Wishing Well,Mr. Prospector,Ragtime Girl
2024104575,デクラレーションオブウォー,ラハイナ,War Front,Tempo West,Milt's Overture,Lady Frontier,Danzig,Starry Dreamer,Rahy,Tempo,Dynaformer,Brian's Overture,マイニング,Frontier Nurse,Northern Dancer,Pas de Nom,Rubiano,Lara's Star,Blushing Groom,Glorious Song,Gone West,Terpsichorist,Roberto,Andover Way,Explodent,Brian's Babe,Mr. Prospector,I Pass,Dr. Fager,Golden Spike,Nearctic,Natalma,Admiral's Voyage,Petitioner,Fappiano,Ruby Slippers,Forli,True Reality,Red God,Runaway Bride,Halo,Ballade,Mr. Prospector,Secrettame,Nijinsky,Glad Rags,Hail to Reason,Bramalea,His Majesty,On the Trail,Nearctic,Venomous,Olden Times,Continuance,Raise a Native,Gold Digger,Buckpasser,Impish,Rough'n Tumble,Aspidistra,Sir Gaylord,Scansion
2024106919,ニューイヤーズデイ,ハイリリー,Street Cry,Justwhistledixie,アグネスタキオン,テイクミーハイヤー,Machiavellian,Helen Street,Dixie Union,General Jeanne,サンデーサイレンス,アグネスフローラ,トニービン,ワディア,Mr. Prospector,Coup de Folie,Troy,Waterway,Dixieland Band,She's Tops,Honour and Glory,Ahpo Hel,Halo,Wishing Well,ロイヤルスキー,アグネスレディー,カンパラ,Severn Bridge,Lyphard,Histoire,Raise a Native,Gold Digger,Halo,Raise the Standard,Petingo,La Milo,Riverman,Boulevard,Northern Dancer,Mississippi Mud,Capote,She's a Talent,Relaunch,Fair to All,Mr. Leader,Tiy,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raja Baba,Coz o'Nijinsky,リマンド,イコマエイカン,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Goofed,Riverman,Helvetie
2024106897,サングレーザー,ジュエルタワー,ディープインパクト,マンティスハント,クロフネ,プリンセスゴールド,サンデーサイレンス,ウインドインハーヘア,Deputy Minister,ウィッチフルシンキング,フレンチデピュティ,ブルーアヴェニュー,サンデーサイレンス,ゴールデンサッシュ,Halo,Wishing Well,Alzao,Burghclere,Vice Regent,Mint Copy,Lord Avie,Halloween Joy,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Halo,Wishing Well,ディクタス,ダイナサッシュ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Lord Gaylord,Avie,Exuberant,Halloween,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ
2024101600,デクラレーションオブウォー,エーシンエムディー,War Front,Tempo West,キングカメハメハ,エイシンルーデンス,Danzig,Starry Dreamer,Rahy,Tempo,Kingmambo,マンファス,サンデーサイレンス,エイシングレシャス,Northern Dancer,Pas de Nom,Rubiano,Lara's Star,Blushing Groom,Glorious Song,Gone West,Terpsichorist,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,トウショウボーイ,チーフネル,Nearctic,Natalma,Admiral's Voyage,Petitioner,Fappiano,Ruby Slippers,Forli,True Reality,Red God,Runaway Bride,Halo,Ballade,Mr. Prospector,Secrettame,Nijinsky,Glad Rags,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Cosmah,Understanding,Mountain Flower,テスコボーイ,ソシアルバターフライ,Jacinto,Harriet Graham
2023101375,キタサンブラック,シナジーウィスパー,ブラックタイド,シュガーハート,ネオユニヴァース,エヴリウィスパー,サンデーサイレンス,ウインドインハーヘア,サクラバクシンオー,オトメゴコロ,サンデーサイレンス,ポインテッドパス,ノーザンテースト,クラフテイワイフ,Halo,Wishing Well,Alzao,Burghclere,サクラユタカオー,サクラハゴロモ,ジャッジアンジェルーチ,テイズリー,Halo,Wishing Well,Kris,Silken Way,Northern Dancer,Lady Victoria,Crafty Prospector,Wife Mistress,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Honest Pleasure,Victorian Queen,Lyphard,Tizna,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sharpen Up,Doubly Sure,Shantung,Boulevard,Nearctic,Natalma,Victoria Park,Lady Angela,Mr. Prospector,Real Crafty Lady,Secretariat,Political Payoff
2023101000,フィエールマン,フローレンスガール,ディープインパクト,リュヌドール,El Corredor,Launch Site,サンデーサイレンス,ウインドインハーヘア,Green Tune,Luth d'Or,Mr. Greeley,Silvery Swan,Relaunch,Insight to Cope,Halo,Wishing Well,Alzao,Burghclere,Green Dancer,Soundings,Noir Et Or,Viole d'Amour,Gone West,Long Legend,Silver Deputy,Sociable Duck,In Reality,Foggy Note,Copelan,Precise Vision,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Nijinsky,Green Valley,Mr. Prospector,Ocean's Answer,ラインゴールド,Pomme Rose,Luthier,Mandolinette,Mr. Prospector,Secrettame,Reviewer,Lianga,Deputy Minister,Silver Valley,Quack,Unsociable,Intentionally,My Dear Girl,The Axe,Silver Song,Tri Jet,Susan's Girl,Visualizer,Excellently
2023103607,エピファネイア,レッドレイチェル,シンボリクリスエス,シーザリオ,Medaglia d'Oro,クーデンビーチ,Kris S.,Tee Kay,スペシャルウィーク,キロフプリミエール,El Prado,Cappucino Bay,パントレセレブル,Joyful,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Sadler's Wells,Lady Capulet,Bailjumper,Dubbed In,Nureyev,Peinture Bleue,Green Desert,Optimistic Lass,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Northern Dancer,Fairy Bridge,Sir Ivor,Cap and Bells,Damascus,Court Circuit,Silent Screen,Society Singer,Northern Dancer,Special,Alydar,Petroleuse,Danzig,Foreign Courier,Mr. Prospector,Loveliest
2023104002,ダノンバラード,スプリングガール,ディープインパクト,レディバラード,トーセンブライト,ガールズトーク,サンデーサイレンス,ウインドインハーヘア,Unbridled,Angelic Song,ブライアンズタイム,アサヒブライト,ステイゴールド,ワーキングガール,Halo,Wishing Well,Alzao,Burghclere,Fappiano,Gana Facil,Halo,Ballade,Roberto,Kelley's Day,ジェイドロバリー,コスモローマン,サンデーサイレンス,ゴールデンサッシュ,パドスール,シャダイワーデン,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Hail to Reason,Bramalea,Graustark,Golden Trail,Mr. Prospector,Number,ナイスダンサー,ジェラルレツド,Halo,Wishing Well,ディクタス,ダイナサッシュ,Mill Reef,Thereby,ノーザンテースト,シヤダイプリマ
2023103867,キセキ,キャンディダム,ルーラーシップ,ブリッツフィナーレ,ドリームジャーニー,リリウム,キングカメハメハ,エアグルーヴ,ディープインパクト,ロンドンブリッジ,ステイゴールド,オリエンタルアート,クロフネ,ベゴニア,Kingmambo,マンファス,トニービン,ダイナカール,サンデーサイレンス,ウインドインハーヘア,ドクターデヴィアス,オールフォーロンドン,サンデーサイレンス,ゴールデンサッシュ,メジロマックイーン,エレクトロアート,フレンチデピュティ,ブルーアヴェニュー,Plugged Nickle,Dahlia,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,カンパラ,Severn Bridge,ノーザンテースト,シャダイフェザー,Halo,Wishing Well,Alzao,Burghclere,Ahonoora,Rose of Jericho,Danzig,Full Card,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Key to the Mint,Toll Booth,Vaguely Noble,Charming Alibi
2023106800,サートゥルナーリア,ココファンタジア,ロードカナロア,シーザリオ,ステイゴールド,ココシュニック,キングカメハメハ,レディブラッサム,スペシャルウィーク,キロフプリミエール,サンデーサイレンス,ゴールデンサッシュ,クロフネ,ゴールドティアラ,Kingmambo,マンファス,Storm Cat,サラトガデュー,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Halo,Wishing Well,ディクタス,ダイナサッシュ,フレンチデピュティ,ブルーアヴェニュー,Seeking the Gold,Bright Tiara,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Mr. Prospector,Con Game,Chief's Crown,Expressive Dance
2023103175,St Mark's Basilica,メソスフェリック,Siyouni,Cabaret,Le Havre,Astroglia,Pivotal,Sichilla,Galileo,Witch of Fife,Noverre,Marie Rheinberg,Montjeu,Glia,Polar Falcon,Fearless Revival,デインヒル,Slipstream Queen,Sadler's Wells,Urban Sea,Lear Fan,Fife,Rahy,ダンスールファビュルー,Surako,Marie d'Argonne,Sadler's Wells,Floripedes,A.P. Indy,Coup de Genie,Nureyev,Marie d'Argonne,Cozzene,Stufida,Danzig,Razyana,Conquistador Cielo,Country Queen,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,Roberto,Wac,Lomond,Fiddle-Faddle,Blushing Groom,Glorious Song,Northern Dancer,Fabuleux Jane,Konigsstuhl,Surata,Jefferson,Mohair,Northern Dancer,Fairy Bridge,Top Ville,Toute Cy,Seattle Slew,Weekend Surprise,Mr. Prospector,Coup de Folie
2023100771,キセキ,デトロイトカフェ,ルーラーシップ,ブリッツフィナーレ,マンハッタンカフェ,キャメロンガール,キングカメハメハ,エアグルーヴ,ディープインパクト,ロンドンブリッジ,サンデーサイレンス,サトルチェンジ,With Approval,Above the Salt,Kingmambo,マンファス,トニービン,ダイナカール,サンデーサイレンス,ウインドインハーヘア,ドクターデヴィアス,オールフォーロンドン,Halo,Wishing Well,Law Society,Santa Luciana,Caro,Passing Mood,Master Derby,Salt In My Stew,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,カンパラ,Severn Bridge,ノーザンテースト,シャダイフェザー,Halo,Wishing Well,Alzao,Burghclere,Ahonoora,Rose of Jericho,Danzig,Full Card,Hail to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika,フォルティノ,Chambord,Buckpasser,Cool Mood,ダストコマンダー,Madam Jerry,Dr. Blum,Cream in My Coffee
2023102915,デクラレーションオブウォー,タッシーエルモ,War Front,Tempo West,エピファネイア,ストロングレダ,Danzig,Starry Dreamer,Rahy,Tempo,シンボリクリスエス,シーザリオ,マンハッタンカフェ,ハートオンウェーブ,Northern Dancer,Pas de Nom,Rubiano,Lara's Star,Blushing Groom,Glorious Song,Gone West,Terpsichorist,Kris S.,Tee Kay,スペシャルウィーク,キロフプリミエール,サンデーサイレンス,サトルチェンジ,Storm Cat,Fairy Heights,Nearctic,Natalma,Admiral's Voyage,Petitioner,Fappiano,Ruby Slippers,Forli,True Reality,Red God,Runaway Bride,Halo,Ballade,Mr. Prospector,Secrettame,Nijinsky,Glad Rags,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Halo,Wishing Well,Law Society,Santa Luciana,Storm Bird,Terlingua,Fairy King,Commanche Belle
