,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,グラニット,牡6,58.0,江田照,大和田,484(+10),美浦,2020100810,689,ダノンバラード,インティワタナ,フサイチコンコルド,0.1703071926604655,5,-0.4770955700467945,8,,7,46.1,45.8,43.7,9
1,2,2,ブランデーロック,牡7,58.0,長浜,青木,488(+2),美浦,2019107075,1214,マクフィ,グローリールピナス,マーベラスサンデー,-1.0430758400935671,11,-1.2798705627089315,10,,10,41.7,42.6,41.4,10
2,3,3,マテンロウブラボー,牡5,58.0,横山和,野中,500(+2),栗東,2021101422,1140,モーリス,トリニティプレイス,マンハッタンカフェ,0.0939197640334821,6,-0.5276335418167828,3,,6,54.7,50.5,52.6,5
3,4,4,トーホウディアス,牡8,58.0,酒井,谷,468(-8),栗東,2018103406,1034,トーホウジャッカル,トーホウプリンセス,サクラバクシンオー,-0.8605745089586155,9,-1.1591275649844943,11,,12,40.7,39.3,39.8,11
4,5,5,チャンネルトンネル,牡5,58.0,岩田康,福永,474(+4),栗東,2021106369,5203,グレーターロンドン,ギャルソンヌ,Henrythenavigator,-0.1698602913676406,7,-0.7021505956430827,5,,4,51.7,53.5,55.7,4
5,5,6,インパクトシー,牡4,58.0,横山琉,大竹,538(+4),美浦,2022101230,1192,フィエールマン,イリリア,ダノンシャンティ,0.7518635699957161,2,-0.0923374978259487,4,,3,53.3,55.0,55.7,3
6,6,7,ストレイトトーカー,牡4,58.0,横山武,岩戸,486(+2),美浦,2022101669,1170,ファインニードル,トークショウ,ディクタット,0.8350200503970394,1,-0.0373211170607879,6,,9,50.1,44.4,47.1,7
7,6,8,ブルクトーア,牡4,58.0,ディー,長谷川,498(0),栗東,2022104694,5674,Saxon Warrior,エルヴァス,Catcher In The Rye,0.6919486603747217,4,-0.1319772404570759,1,,5,75.5,53.1,56.7,2
8,7,9,ヒシアマン,牡4,58.0,佐々木,堀,472(+2),美浦,2022104594,1197,モーリス,アシュリン,マンハッタンカフェ,-0.3570813636852664,8,-0.8260161771609399,2,,2,57.3,55.5,74.4,1
9,7,10,ボーモンド,牡5,58.0,木幡巧,武井,482(-8),美浦,2021105777,1162,モーリス,ボージェスト,キングカメハメハ,-0.958602071780623,10,-1.223982663416612,9,,8,41.9,45.0,44.0,8
10,8,11,テウメッサ,牝5,56.0,野中,金成,482(-8),美浦,2021105757,1158,ハービンジャー,プロクリス,キングカメハメハ,0.7194151849553438,3,-0.113805370179133,7,,1,47.8,75.9,50.1,6
11,8,12,エスコバル,セ8,58.0,柴田大,高橋文,514(-12),美浦,2018106154,1009,モーリス,スマッシュハート,キングカメハメハ,-1.067810682286762,12,-1.2962351501674134,12,,11,39.1,39.4,38.9,12
