,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,アレナリア,牝7,54.0,吉村,藤野,440(-2),栗東,2019105824,1216,ブラックタイド,リトルビスケット,タニノギムレット,0.5559426773266937,5,0.0258107725228956,4,,2,54.2,54.1,52.9,5
1,2,2,マイネルエニグマ,牡8,57.0,津村,吉田,478(-6),栗東,2018102178,1092,グラスワンダー,マイネレーツェル,ステイゴールド,0.6174231538655216,4,0.044502744662462,7,,4,46.0,49.4,47.3,6
2,2,3,チルカーノ,牝5,53.0,北村友,高野,474(+2),栗東,2021105384,1102,ハービンジャー,アロマティコ,キングカメハメハ,-0.4797445772935719,10,-0.2890702823830441,9,,11,45.1,45.5,45.6,8
3,3,4,リッケンバッカー,牡8,53.0,古川吉,西村,470(-12),栗東,2018103590,1015,ロードカナロア,シティウェルズ,City Zip,-0.6113543968770855,13,-0.3290837503885296,12,,14,43.9,44.9,43.8,9
4,3,5,バッデレイト,牡5,56.0,岩田望,上村,472(-10),栗東,2021102728,1174,サトノダイヤモンド,ビーウインド,スピニングワールド,1.0723108842749287,3,0.1828027264147721,5,,5,53.1,48.2,55.8,4
5,4,6,イケイケドンドン,牡6,54.0,高杉,松山,478(-2),美浦,2020107121,1213,ワールドエース,ラスリーズ,ブライアンズタイム,-0.5440909809365172,11,-0.3086335852701911,14,,15,43.3,44.9,43.5,12
6,4,7,ミュージシャン,牡4,55.0,坂井,杉山晴,476(0),栗東,2022103207,1163,ブリックスアンドモルタル,カンタービレ,ディープインパクト,0.0441071861406534,8,-0.1298030951615648,3,,7,56.0,47.4,58.8,3
7,5,8,ヴァリディシームス,牡4,56.0,川田,中内田,494(-2),栗東,2022105769,1088,キズナ,ヴァリディオル,Dynaformer,-1.1286593638280995,14,-0.4863605083817918,2,,3,59.1,52.3,59.7,2
8,5,9,ウイントレメンデス,牡5,57.0,松山,長谷川,472(-4),栗東,2021106193,1126,ゴールドシップ,イクスキューズ,ボストンハーバー,0.3001252729344749,6,-0.0519656544814664,15,,12,43.0,45.5,43.1,14
9,6,10,キングスコール,牡4,57.0,西村淳,矢作,498(0),栗東,2022104207,1171,ドゥラメンテ,レインオンザデューン,Frankel,0.1116630341018641,7,-0.1092640216370087,1,,1,80.9,84.8,79.1,1
10,6,11,ソリダリティ,牡7,55.0,幸,西園翔,514(0),栗東,2019105462,732,ハーツクライ,ミュージカルロマンス,Concorde's Tune,-0.4695574977013497,9,-0.2859730941593792,11,,8,44.5,47.3,43.7,10
11,7,12,サトノクローク,牡6,55.0,菱田,橋口,480(0),栗東,2020106667,1144,サトノクラウン,トーコーユズキ,ディープインパクト,-0.6091968637070724,12,-0.3284277933729947,13,,9,43.5,47.1,43.0,15
12,7,13,クレバーテースト,セ7,55.0,荻野琢,佐藤悠,450(-6),栗東,2019107025,1112,オルフェーヴル,クレバースプリント,サクラバクシンオー,2.1999890300301246,1,0.5256518660036934,6,,10,47.7,45.6,46.8,7
13,8,14,エゾダイモン,牡6,55.0,浜中,武幸,474(-12),栗東,2020103794,1115,ハーツクライ,メジロツボネ,スウェプトオーヴァーボード,-2.3507471374099143,15,-0.8579131036429783,8,,6,45.3,47.9,43.3,13
14,8,15,キーパフォーマー,牝5,53.0,戸崎圭,辻野,468(+6),栗東,2021104948,5386,キタサンブラック,アンコールピース,ネオユニヴァース,1.405868050528133,2,0.2842144526986437,10,,13,44.5,45.1,43.6,11
