,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,エイシンアビス,牝3,55.0,角田和,野中,栗東,2022102618,01186,エイシンヒカリ ,エイシンゾーン ,ジャスタウェイ ,-1.5055133235697973,12
1,1,2,シルフレイ,牝3,51.0,★小林美,千葉,美浦,2022100620,01206,フォーウィールドライブ Four Wheel Drive(米) ,エレディア ,キングカメハメハ ,-0.0742136669826347,3
2,2,3,スイモアマイモ,牝3,55.0,酒井,藤岡,栗東,2022101470,01034,モーリス ,ワイドロータス ,ダンスインザダーク ,-2.1266909987709153,16
3,2,4,エイプリルインパリ,牝3,55.0,小崎,高橋忠,栗東,2022105381,01152,リオンディーズ ,スノーエンジェル ,スウェプトオーヴァーボード Swept Overboard(米) ,-0.402162109168918,7
4,3,5,ペガサスノース,牝3,52.0,▲柴田裕,高柳大,栗東,2022101053,01212,ロードカナロア ,マリンフェスタ ,サクラバクシンオー ,-0.3069794247361137,5
5,3,6,タケノリッチ,牝3,55.0,秋山稔,村山,栗東,2022101658,01181,タワーオブロンドン ,セヴンゴシック ,ステイゴールド ,-1.5289858335452204,13
6,4,7,ミッキーサークル,牝3,52.0,▲古川奈,音無,栗東,2022103216,01190,ミッキーアイル ,サークリングII Circling(愛) ,Galileo (愛) ,-1.1599523573448098,11
7,4,8,カルミネイション,牝3,55.0,小沢,緒方,栗東,2022103154,01185,ビッグアーサー ,フロレンティナ ,クロフネ ,0.026776178445150213,2
8,5,9,ウインレオネッサ,牝3,55.0,国分恭,長谷川,栗東,2022106729,01124,エピファネイア ,セルフプリザヴェーション Self Preservation(米) ,Lion Heart ,-0.1335571145128606,4
9,5,10,キャッチーラン,牝3,51.0,★河原田,浜田,栗東,2022102495,01204,サトノアラジン ,マツリダワルツ ,チーフベアハート Chief Bearhart(加) ,-0.6974854682176441,10
10,6,11,エリカサンタモニカ,牝3,55.0,大野,茶木,栗東,2022103054,01096,アドマイヤマーズ ,シャマアウェイ Shamarway(米) ,Giant's Causeway (米) ,-0.6213363809277757,9
11,6,12,ドクターサクラ,牝3,55.0,鮫島良,河嶋,栗東,2022100847,01099,サンダースノー Thunder Snow(愛) ,ジョーアカリン ,タニノギムレット ,-3.5046921640957636,18
12,7,13,サウンドルーチェ,牝3,55.0,和田竜,渡辺,栗東,2022105267,01018,ミッキーアイル ,オッティマルーチェ ,Fusaichi Pegasus ,-0.4396083054491563,8
13,7,14,エルサトアナ,牝3,54.0,☆松本,本田,栗東,2022100933,01191,カリフォルニアクローム California Chrome(米) ,クイーンハーツ ,キングカメハメハ ,-1.6110748371238457,14
14,7,15,アルサクレイグ,牝3,52.0,▲橋木,高橋康,栗東,2022101598,01215,グレーターロンドン ,トーホウアイランド ,Power ,-0.32990944256251886,6
15,8,16,ブラックティンカー,牝3,52.0,▲石神道,和田雄,美浦,2022100075,01209,シルバーステート ,パシュート ,キングヘイロー ,0.08358358910088395,1
16,8,17,ゴールデンマーチ,牝3,52.0,▲石田,新開,美浦,2022103013,01203,ゴールドシップ ,カレイメモワール ,アドマイヤムーン ,-2.3485610293664587,17
17,8,18,サノノスウィフト,牝3,52.0,▲川端,蛯名利,美浦,2022102029,01195,エポカドーロ ,サノノティアラ ,クロフネ ,-2.0719873914312736,15
