,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,メイショウウネビ,牡6,60.0,森一,本田,栗東,2019104112,01139,メイショウサムソン  ,サーストンララア  ,キングカメハメハ  
1,2,2,ホウオウプレシャス,牡5,57.0,▲水沼,天間,美浦,2020103939,01201,イスラボニータ  ,プレシャスドロップ  ,フレンチデピュティ  French Deputy(米)  
2,3,3,ヴァランセカズマ,牡8,60.0,大江圭,蛯名利,美浦,2017105822,01120,モンテロッソ  Monterosso(英)  ,トシザマキ  ,デュランダル  
3,4,4,コガクボウ,セ3,58.0,草野,金成,美浦,2022105877,01113,ノーブルミッション  Noble Mission(英)  ,アプローズパワー  ,クロフネ  
4,4,5,メイショウカゲカツ,牡6,60.0,難波,西園正,栗東,2019104044,01066,ダンカーク  Dunkirk(米)  ,ウォータームージカ  ,フレンチデピュティ  French Deputy(米)  
5,5,6,アナザーエース,牡5,57.0,▲井上,宮,栗東,2020104005,01151,ヤマカツエース  ,ホットフレイバー  ,タバスコキャット  Tabasco Cat(米)  
6,5,7,スズノレイライン,牡4,60.0,黒岩,平田,栗東,2021102781,01072,レイデオロ  ,ココロノアイ  ,ステイゴールド  
7,6,8,ヴォンヌヴォー,牝5,58.0,五十嵐,天間,美浦,2020106585,01069,ドレフォン  Drefong(米)  ,ヴェイルオブクララ  ,ゼンノロブロイ  
8,6,9,ミラキュラスドラマ,牡4,60.0,小野寺,宮地,栗東,2021104923,01123,エピファネイア  ,メルヴェイユドール  ,フジキセキ  
9,7,10,フームスムート,牡8,60.0,上野,水野,美浦,2017104238,01087,トゥザグローリー  ,ディアジーローズ  ,ワイルドラッシュ  Wild Rush(米)  
10,7,11,パワポケビー,牝6,58.0,田村,森田,栗東,2019107007,01105,アポロキングダム  ,ハイパーラッシュ  ,ワイルドラッシュ  Wild Rush(米)  
11,8,12,ホウオウユニコーン,牡6,60.0,伴,奥村武,美浦,2019105808,01149,ゴールドシップ  ,ホウオウサブリナ  ,ルーラーシップ  
12,8,13,テーオードラッカー,牡4,60.0,中村,高柳大,栗東,2021102244,01101,コパノリッキー  ,マキシムカフェ  ,マンハッタンカフェ  
