,式別,馬番,配当,人気
202603010101,単勝,11,550,2
202603010101,複勝,11,150,2
202603010101,複勝,14,110,1
202603010101,複勝,4,190,4
202603010101,枠連,6-8,460,1
202603010101,馬連,11-14,480,1
202603010101,ワイド,11-14,220,1
202603010101,ワイド,4-11,870,12
202603010101,ワイド,4-14,400,5
202603010101,馬単,11→14,1300,5
202603010101,三連複,4-11-14,1390,3
202603010101,三連単,11→14→4,7830,28
202603010102,単勝,6,220,1
202603010102,複勝,6,110,1
202603010102,複勝,4,220,3
202603010102,複勝,2,110,2
202603010102,枠連,2-3,1330,3
202603010102,馬連,4-6,1780,3
202603010102,ワイド,4-6,470,4
202603010102,ワイド,2-6,140,1
202603010102,ワイド,2-4,420,2
202603010102,馬単,6→4,2360,4
202603010102,三連複,2-4-6,770,1
202603010102,三連単,6→4→2,5560,14
202603010103,単勝,5,11320,14
202603010103,複勝,5,2860,14
202603010103,複勝,8,360,5
202603010103,複勝,2,240,3
202603010103,枠連,3-4,2350,9
202603010103,馬連,5-8,41080,70
202603010103,ワイド,5-8,10720,69
202603010103,ワイド,2-5,9230,62
202603010103,ワイド,2-8,1140,11
202603010103,馬単,5→8,145010,164
202603010103,三連複,2-5-8,84920,167
202603010103,三連単,5→8→2,1276090,1
202603010104,単勝,13,2150,6
202603010104,複勝,13,690,8
202603010104,複勝,4,480,6
202603010104,複勝,5,160,2
202603010104,枠連,2-7,4340,11
202603010104,馬連,4-13,20390,37
202603010104,ワイド,4-13,4960,37
202603010104,ワイド,5-13,1810,17
202603010104,ワイド,4-5,1350,12
202603010104,馬単,13→4,34470,72
202603010104,三連複,4-5-13,26500,61
202603010104,三連単,13→4→5,242230,522
202603010105,単勝,1,860,2
202603010105,複勝,1,160,2
202603010105,複勝,3,110,1
202603010105,複勝,8,470,9
202603010105,枠連,1-2,270,1
202603010105,馬連,1-3,520,1
202603010105,ワイド,1-3,230,1
202603010105,ワイド,1-8,3160,30
202603010105,ワイド,3-8,820,10
202603010105,馬単,1→3,1580,5
202603010105,三連複,1-3-8,4150,17
202603010105,三連単,1→3→8,23910,69
202603010106,単勝,11,1030,4
202603010106,複勝,11,210,3
202603010106,複勝,2,140,2
202603010106,複勝,5,210,4
202603010106,枠連,2-6,1020,2
202603010106,馬連,2-11,1490,4
202603010106,ワイド,2-11,530,4
202603010106,ワイド,5-11,1140,13
202603010106,ワイド,2-5,450,3
202603010106,馬単,11→2,4500,14
202603010106,三連複,2-5-11,4100,9
202603010106,三連単,11→2→5,28940,79
202603010107,単勝,2,2920,9
202603010107,複勝,2,570,9
202603010107,複勝,10,200,3
202603010107,複勝,6,190,2
202603010107,枠連,2-6,6040,18
202603010107,馬連,2-10,7430,27
202603010107,ワイド,2-10,2110,25
202603010107,ワイド,2-6,2150,26
202603010107,ワイド,6-10,690,6
202603010107,馬単,2→10,18500,60
