,式別,馬番,配当,人気
0,単勝,13,530,4
1,複勝,13,180,1
2,複勝,17,440,7
3,複勝,14,770,10
4,枠連,7-8,1260,4
5,馬連,13-17,3000,12
6,ワイド,13-17,830,9
7,ワイド,13-14,2260,30
8,ワイド,14-17,6080,46
9,馬単,13→17,5660,24
10,3連複,13-14-17,29110,84
11,3連単,13→17→14,128450,383
