,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ブライスフェアリー,牝3,55.0,松岡,堀内,420(0),美浦,2023105892,1085,ウインブライト,メジロフォーナ,ナリタトップロード,-0.4487125817021937,12,-0.1052362586378616,12,,13,43.1,43.1,43.1,13
1,1,2,アールグレイ,牝3,55.0,原,蛯名正,446(-4),美浦,2023105003,1184,スワーヴリチャード,オピュレンス,Giant's Causeway,-0.0005620020434544,8,-0.0612723502995574,3,,3,57.4,56.3,52.4,5
2,2,3,シアワセチョウサン,牝3,53.0,△舟山,小島,452(0),美浦,2023100683,1221,ホークビル,シアワセデス,ファルブラヴ,-0.8406299321345274,15,-0.143683644968855,16,,16,43.0,41.6,43.1,16
3,2,4,マイネルシュラハト,牡3,57.0,柴田大,畠山,478(-6),美浦,2023106436,1009,ベンバトル,クードヴァン,ディープインパクト,0.3045481847316444,5,-0.0313408118986079,13,,9,43.0,45.9,43.1,13
4,3,5,プリヴィマーク,牡3,57.0,武藤,池上,448(+4),美浦,2023107367,1169,バゴ,ローズノーブル,ディープインパクト,-0.7052802087723474,14,-0.1304057354857501,14,,5,43.0,53.9,43.1,13
5,3,6,ショウナンマルチ,牡3,57.0,ルメール,大竹,512(+2),美浦,2023103888,5339,グレーターロンドン,エンブレマータ,ウォーエンブレム,1.2366977833237722,3,0.0601037635860379,1,,1,79.8,81.7,61.9,2
6,4,7,シークレットシティ,牡3,57.0,大野,辻,450(0),美浦,2023105659,1096,サングレーザー,ピュアシークレット,フェノーメノ,-0.3767678890527928,11,-0.0981784302725066,6,,8,52.2,46.7,50.1,7
7,4,8,ヤマメホープ,牡3,57.0,戸崎圭,久保田,480(+2),美浦,2023103075,5386,コントレイル,レガリニ,Hard Spun,-0.6690176955624236,13,-0.1268483557137734,2,,10,60.7,45.8,54.6,3
8,5,9,イニスフェイル,牡3,57.0,ゴンサルベ,稲垣,476(-6),美浦,2023107161,5675,フィエールマン,パロネラ,ロードカナロア,-0.2829312881375402,10,-0.0889729892697132,4,,4,54.2,54.8,54.5,4
9,5,10,アッシズオブローズ,牝3,55.0,レーン,尾関,472(+4),美浦,2023107360,5585,アドマイヤマーズ,ロサグラウカ,ルーラーシップ,1.813942075884985,1,0.1167318620843047,5,,6,53.5,50.7,51.6,6
10,6,11,ナズドゥラヴィ,牝3,55.0,丸田,田中勝,468(+18),美浦,2023104354,1117,ジャスタウェイ,ゴールデンメロディ,ディープブリランテ,-1.332196782451332,16,-0.1919067220558769,11,,2,43.3,57.9,80.6,1
11,6,12,モンドシュピーゲル,牡3,57.0,菊沢,天間,470(+8),美浦,2023110024,1161,Palace Pier,Power of the Moon,Acclamation,-0.2225990227558381,9,-0.0830543487379901,7,,7,51.9,48.9,48.5,8
12,7,13,カワイクテゴメン,牝3,55.0,丸山,田中勝,446(-6),美浦,2023104617,1127,Australia,シーギリヤ,Dundeel,0.0385929100716389,7,-0.0574312240233554,8,,12,45.1,43.6,43.6,9
13,7,14,アルバニクス,牝3,52.0,▲小林美,田村,464(+4),美浦,2023102921,1206,ダノンバラード,ダノンジュエル,キングカメハメハ,0.091480178879637,6,-0.0522429432452548,15,,15,43.0,41.7,43.1,13
14,8,15,ハスカップジャム,牝3,55.0,丹内,中舘,422(0),美浦,2023104347,1091,フィエールマン,フライアゲイン,Fusaichi Pegasus,0.5116831098962453,4,-0.0110207202219833,10,,14,43.4,42.8,43.3,11
15,8,16,ブルーリファール,牡3,57.0,石橋脩,小野,490(+4),美浦,2023106180,1077,ブラックタイド,ビジネスライク,カジノドライヴ,1.2467844278821123,2,0.0610932709903162,9,,11,43.4,44.7,43.3,10
