,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,スズノレイライン,牡4,60.0,黒岩,平田,栗東,2021102781,01072,レイデオロ  ,ココロノアイ  ,ステイゴールド  
1,2,2,トーアマリシテン,セ4,60.0,石神深,小島,美浦,2021105335,01059,ビーチパトロール  Beach Patrol(米)  ,トーアヒミコ  ,クロフネ  
2,3,3,シンドバッド,牡5,60.0,伴,土田,美浦,2020106691,01149,ルーラーシップ  ,イルミナティ  ,メイショウサムソン  
3,4,4,リプレイ,牝4,58.0,難波,戸田,美浦,2021104371,01066,ミッキーアイル  ,ヴェルナッツァ  Vernazza(米)  ,Unbridled's Song  (米)  
4,5,5,ディープレイヤー,牡6,60.0,五十嵐,大和田,美浦,2019105844,01069,ディーマジェスティ  ,クインズプレイヤー  ,トウカイテイオー  
5,6,6,ショウナンハクウン,牡5,60.0,上野,大竹,美浦,2020103670,01087,ダイワメジャー  ,ラッドルチェンド  ,Danehill Dancer  (愛)  
6,6,7,アドミラブルエース,牡6,60.0,大江圭,蛯名利,美浦,2019106113,01120,ワールドエース  ,メイケイペガムーン  ,アドマイヤムーン  
7,7,8,リアルカイザー,牡4,60.0,江田勇,松永康,美浦,2021100461,01023,デクラレーションオブウォー  ,マウンテンウーマン  Mountain Woman(愛)  ,モンジュー  Montjeu(愛)  
8,7,9,ラズルダズル,牡8,60.0,小牧加,茶木,栗東,2017105602,01196,ルーラーシップ  ,ラシンティランテ  ,アグネスタキオン  
9,8,10,レッドファーロ,牡6,60.0,西谷誠,松永幹,栗東,2019104983,01005,ハーツクライ  ,プラヤデシエルタ  Playa Desierta(亜)  ,Orpen  
10,8,11,ミラキュラスドラマ,牡4,60.0,小野寺,宮地,栗東,2021104923,01123,エピファネイア  ,メルヴェイユドール  ,フジキセキ  
