,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ピコピンク,牝3,55.0,木幡巧,尾形,美浦,2022101754,01162,ヘニーヒューズ Henny Hughes(米) ,ブレイジング ,パイロ Pyro(米) ,-1.1535881166770479,10
1,1,2,キャンディブーケ,牝3,55.0,津村,鈴木伸,美浦,2022103932,01092,レイデオロ ,フロリアード ,クロフネ ,-1.0218366710766444,9
2,2,3,スカイダイバー,牝3,55.0,野中,田中勝,美浦,2022104122,01158,フォーウィールドライブ Four Wheel Drive(米) ,キャルスカイ ,ダイワメジャー ,-2.9722434052064224,16
3,2,4,ホシニネガイヲ,牝3,55.0,三浦,竹内,美浦,2022101386,01122,ミスターメロディ ,アストランティア ,キングカメハメハ ,-2.8196489814647614,15
4,3,5,ナムラペルル,牝3,55.0,戸崎圭,石栗,美浦,2022104303,05386,サンダースノー Thunder Snow(愛) ,ナムラオツウ ,ディープインパクト ,-0.25327427552081044,3
5,3,6,サンパギータチャン,牝3,52.0,▲佐藤,杉浦,美浦,2022107197,01207,ダノンレジェンド ,マコトサンパギータ ,ジャングルポケット ,-2.596753692373874,13
6,4,7,ライカチャーム,牝3,52.0,▲遠藤,堀内,美浦,2022104475,01218,ナカヤマフェスタ ,ローズギフト ,Siyouni ,-0.36863672019702654,4
7,4,8,アルマリカシバ,牝3,55.0,大野,中舘,美浦,2022101248,01096,マクフィ Makfi(英) ,アズマクィーン ,アドマイヤムーン ,-0.9271891780006366,8
8,5,9,ポートタウランガ,牝3,55.0,横山和,嘉藤,美浦,2022103847,01140,ダノンレジェンド ,ハイカックウ ,High Chaparral (愛) ,-0.7176585975525716,6
9,5,10,グルーヴィーオン,牝3,55.0,原,小手川,美浦,2022101938,01184,ダノンレジェンド ,ピンクスター ,タートルボウル Turtle Bowl(愛) ,-0.8150905938222712,7
10,6,11,ガールネクストドア,牝3,55.0,内田博,南田,美浦,2022103326,00422,カリフォルニアクローム California Chrome(米) ,デイドリーマー ,ネオユニヴァース ,-2.7805935817414156,14
11,6,12,パッヘルベルカノン,牝3,55.0,菅原明,高木,美浦,2022100047,01179,カリフォルニアクローム California Chrome(米) ,ホワイトフーガ ,クロフネ ,-1.35587246970218,11
12,7,13,キタノライブリー,牝3,55.0,丹内,本間,美浦,2022106471,01091,アジアエクスプレス ,バトルジェジェジェ ,ステイゴールド ,-0.6322050736758552,5
13,7,14,メリーサウンド,牝3,55.0,横山武,小笠,美浦,2022105516,01170,オルフェーヴル ,マサノミネルバ ,ラムタラ Lammtarra(米) ,0.4309179517084444,2
14,8,15,モリノアミーゴ,牝3,55.0,団野,鈴木伸,美浦,2022106328,01180,モーニン ,ロサモスカータ ,ヴィクトワールピサ ,-1.5014666358834121,12
15,8,16,トーケンサワー,牝3,55.0,田辺,根本,美浦,2022103128,01075,ルーラーシップ ,イチゴミルフィーユ ,ヨハネスブルグ Johannesburg(米) ,1.1195988960494698,1
