,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,タマモエース,牡6,60.0,小野寺,宮地,栗東,2019104010,01123,ワールドエース ,ミサトサウス ,サウスヴィグラス 
1,2,2,ゴンドワナ,セ5,60.0,小牧加,小島,美浦,2020103921,01196,マツリダゴッホ ,ヌーナ ,Congrats (米) 
2,3,3,アンコーナ,牝4,57.0,石神深,菊川,美浦,2021104143,01059,リアルスティール ,フェレッティ ,ルーラーシップ 
3,4,4,グルーヴビート,牡7,60.0,中村,中村,栗東,2018105021,01101,ディープブリランテ ,グルーヴァー ,シンボリクリスエス 
4,5,5,セッタレダスト,牡6,60.0,上野,嘉藤,美浦,2019106985,01087,トゥザグローリー ,ラストアウィン ,ラストタイクーン Last Tycoon(愛) 
5,6,6,サルサロッサ,牝6,58.0,伴,高柳瑞,美浦,2019103100,01149,エスケンデレヤ ,ノバラ ,マンハッタンカフェ 
6,7,7,クリノオデッセイ,牡4,57.0,▲井上,坂口,栗東,2021101859,01151,ダノンシャーク ,クリノミユキチャン ,キンググローリアス King Glorious(米) 
7,7,8,ゲインサポート,牡4,59.0,森一,斉藤崇,栗東,2021104590,01139,デクラレーションオブウォー ,ローザミスティカ ,アグネスタキオン 
8,8,9,ゴーツウキリシマ,牝5,58.0,黒岩,牧田,栗東,2020109148,01072,ナムラタイタン ,エイシンドナウ ,グラスワンダー 
9,8,10,プレシャスソウル,牡6,60.0,大江圭,千葉,美浦,2019106369,01120,エピファネイア ,プレシャスメイト ,ステイゴールド 
