,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ボンマティ,牝3,55.0,幸,高橋忠,栗東,2022104321,00732,サトノクラウン ,マスターエクレール ,Elusive Quality 
1,1,2,トゥライトゥーラ,牡3,57.0,森裕,中竹,栗東,2022104132,01165,ダイワメジャー ,スターオブサファイア Star of Sapphire(米) ,Tapit (米) 
2,2,3,ガウラサンダー,牡3,57.0,国分優,高柳大,栗東,2022103612,01125,シュヴァルグラン ,ガウラミディ ,フリオーソ 
3,2,4,タンテドヴィーヴル,牡3,57.0,団野,斉藤崇,栗東,2022105171,01180,ルヴァンスレーヴ ,レネットグルーヴ ,キングカメハメハ 
4,3,5,アサガクル,牝3,55.0,武豊,小崎,栗東,2022106600,00666,エピファネイア ,レゼトワール ,ファスリエフ Fasliyev(米) 
5,3,6,ミナミジュウジセイ,牡3,57.0,水口,浜田,栗東,2022106876,01133,サンダースノー Thunder Snow(愛) ,エレクティオン ,シンボリクリスエス 
6,4,7,シャオシンユン,牝3,55.0,松山,西園正,栗東,2022101198,01126,イスラボニータ ,フロルセレジェイラ ,ロードカナロア 
7,4,8,ビップアリエル,牝3,55.0,北村友,小椋,栗東,2022100721,01102,サンダースノー Thunder Snow(愛) ,スクリプティド ,キングズベスト King's Best(米) 
8,5,9,テーオーニュートン,牡3,57.0,岩田望,上村,栗東,2022103200,01174,ホッコータルマエ ,アルケミスト ,ダイワメジャー 
9,5,10,フォルスマジック,牡3,57.0,池添,菊川,美浦,2022102831,01032,ミッキーロケット ,シャドウスペル ,ダンスインザダーク 
10,6,11,ボンズドゥッカ,牡3,57.0,中井,西田,美浦,2022101024,01141,ドレフォン Drefong(米) ,エレガントテソーロ ,ハーツクライ 
11,6,12,ポイントネモ,牡3,57.0,坂井,大久保,栗東,2022101622,01163,アメリカンペイトリオット ,アクアリスト Aquarist(英) ,コロナドズクエスト Coronado's Quest(米) 
12,7,13,シャイニーヒル,牡3,57.0,田辺,尾関,美浦,2022102459,01075,カレンブラックヒル ,シャイニーデジタル ,アグネスデジタル 
13,7,14,サッポロキタコ,牝3,55.0,浜中,田中克,栗東,2022103261,01115,パイロ Pyro(米) ,メイショウトモシビ ,ハーツクライ 
14,8,15,グレイルクエスト,牡3,57.0,鮫島駿,小栗,栗東,2022105473,01157,リアルインパクト ,フューチャーベース ,ディスクリートキャット Discreet Cat(米) 
15,8,16,ワンダーレジット,牡3,57.0,Ａルメート,斎藤誠,美浦,2022100716,05659,ノーブルミッション Noble Mission(英) ,ワンダーアマービレ ,サマーバード Summer Bird(米) 
