,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ラージギャラリー,牝3,55.0,西村淳,高橋亮,栗東,2022110066,01171,American Pharoah (米) ,スカーレットカラー ,ヴィクトワールピサ 
1,2,2,カムニャック,牝3,55.0,川田,友道,栗東,2022105402,01088,ブラックタイド ,ダンスアミーガ ,サクラバクシンオー 
2,3,3,ピリカサンライズ,牝3,55.0,高杉,牧浦,栗東,2022105458,01213,サトノクラウン ,Pirika (愛) ,Monsun 
3,4,4,サタデーサンライズ,牝3,55.0,吉村,石坂,栗東,2022101411,01216,デクラレーションオブウォー ,サンデーサンライズ ,サンデーサイレンス Sunday Silence(米) 
4,5,5,サウンドサンライズ,牝3,55.0,鮫島駿,音無,栗東,2022105060,01157,モーリス ,マハーバーラタ ,ディープインパクト 
5,6,6,グローリーリンク,牝3,55.0,松山,吉岡,栗東,2022101448,01126,キズナ ,ブリッジオーヴァー ,エンパイアメーカー Empire Maker(米) 
6,7,7,マトラコーニッシュ,牝3,55.0,北村友,池添,栗東,2022102500,01102,サートゥルナーリア ,エアマスカット ,ジャングルポケット 
7,7,8,ヴーレヴー,牝3,55.0,浜中,武幸,栗東,2022104617,01115,サトノクラウン ,アルギュロス ,マンハッタンカフェ 
8,8,9,ワイルデンウーリー,牝3,55.0,岩田望,大久保,栗東,2022110010,01174,Bernardini (米) ,Merino ,More Than Ready 
9,8,10,ダノンフェアレディ,牝3,55.0,坂井,橋口,栗東,2022105087,01163,キズナ ,メチャコルタ Mecha Corta(亜) ,El Corredor 
