,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,シュバルツガイスト,牡6,60.0,伴,手塚徳,498(-8),美浦,2020103575,01149,キタサンブラック,フリーティングスピリット,Invincible Spirit
1,2,2,オンクラウドナイン,牡4,59.0,石神深,和田郎,516(+2),美浦,2022106754,01059,ラニ,シアージュ,Raven's Pass
2,3,3,ヴォンヌヴォー,牝6,58.0,五十嵐,天間,476(+8),美浦,2020106585,01069,ドレフォン,ヴェイルオブクララ,ゼンノロブロイ
3,3,4,グランナヴィール,牡5,57.0,▲水沼,堀内,546(+2),美浦,2021101779,01201,ゴールドシップ,ウッドシップ,クロフネ
4,4,5,エターナルシルバー,牡4,59.0,草野,中舘,468(+8),美浦,2022106737,01113,シルバーステート,フォーエヴァーユアーズ,Motivator
5,4,6,リードアクトレス,牝5,58.0,小野寺,安達,494(+2),栗東,2021102654,01123,マジェスティックウォリアー,ブラウンテヌート,シンボリクリスエス
6,5,7,アルデツヨシ,セ4,59.0,金子,田中剛,474(-4),美浦,2022101481,01052,マインドユアビスケッツ,オースミハナチャン,ハーツクライ
7,5,8,アウルムレガリア,牝4,57.0,大江圭,粕谷,416(+6),美浦,2022103503,01120,リオンディーズ,オートクレール,デュランダル
8,6,9,ドーバーホーク,牡6,60.0,上野,清水英,496(0),美浦,2020105365,01087,ディーマジェスティ,タカラジェニファ,ヨハネスブルグ
9,6,10,クラウングスタフ,牡5,60.0,難波,水野,518(0),美浦,2021101256,01066,レイデオロ,クラウンロゼ,ロサード
10,7,11,エクロジャイト,セ6,60.0,小牧加,武幸,530(-4),栗東,2020103295,01196,ヘニーヒューズ,オージャイト,キングカメハメハ
11,7,12,シャンデルナゴル,牡6,60.0,中村,石坂,500(+2),栗東,2020103193,01101,サトノダイヤモンド,アガルタ,キングカメハメハ
12,8,13,デスティネ,牡9,60.0,江田勇,萱野,494(-4),美浦,2017106490,01023,リアルインパクト,スプリングドリュー,ミシル
13,8,14,ホウオウスターツ,セ4,57.0,▲小林凌,池上,476(+8),美浦,2022103528,01177,ダノンバラード,ツインクルスター,サクラバクシンオー
