,0,1,2,3
202402010101,単勝,5,170,1
202402010101,複勝,5,110,1
202402010101,複勝,2,110,2
202402010101,複勝,12,200,3
202402010101,枠連,1-3,220,1
202402010101,馬連,2-5,250,1
202402010101,ワイド,2-5,150,1
202402010101,ワイド,5-12,380,2
202402010101,ワイド,2-12,510,4
202402010101,馬単,5→2,380,1
202402010101,三連複,2-5-12,960,1
202402010101,三連単,5→2→12,2180,1
202402010102,単勝,11,160,1
202402010102,複勝,11,110,1
202402010102,複勝,3,210,4
202402010102,枠連,7-7,550,2
202402010102,馬連,11-12,600,1
202402010102,ワイド,11-12,300,2
202402010102,ワイド,3-11,380,3
202402010102,ワイド,3-12,1260,16
202402010102,馬単,11→12,790,2
202402010102,三連複,3-11-12,1850,4
202402010102,三連単,11→12→3,4560,4
202402010103,単勝,1,540,2
202402010103,複勝,1,140,2
202402010103,複勝,7,110,1
202402010103,複勝,3,460,9
202402010103,枠連,1-6,300,1
202402010103,馬連,1-7,330,1
202402010103,ワイド,1-7,180,1
202402010103,ワイド,1-3,1720,18
202402010103,ワイド,3-7,1190,15
202402010103,馬単,1→7,930,2
202402010103,三連複,1-3-7,3200,11
202402010103,三連単,1→7→3,20030,67
202402010104,単勝,6,310,1
202402010104,複勝,6,130,1
202402010104,複勝,16,150,2
202402010104,複勝,7,250,4
202402010104,枠連,3-8,520,1
202402010104,馬連,6-16,760,1
202402010104,ワイド,6-16,310,1
202402010104,ワイド,6-7,550,4
202402010104,ワイド,7-16,1010,12
202402010104,馬単,6→16,1360,2
202402010104,三連複,6-7-16,2240,2
202402010104,三連単,6→16→7,9230,6
202402010105,単勝,6,330,1
202402010105,複勝,7,150,2
202402010105,複勝,5,270,6
202402010105,枠連,6-6,790,4
202402010105,馬連,6-7,780,1
202402010105,ワイド,6-7,360,1
202402010105,ワイド,5-6,650,9
202402010105,ワイド,5-7,860,16
202402010105,馬単,6→7,1590,1
202402010105,三連複,5-6-7,2480,7
202402010105,三連単,6→7→5,8920,11
202402010106,単勝,9,400,3
202402010106,複勝,9,130,1
202402010106,複勝,1,170,5
202402010106,複勝,14,130,2
202402010106,枠連,1-6,1510,8
202402010106,馬連,1-9,1300,6
202402010106,ワイド,1-9,410,4
202402010106,ワイド,9-14,270,1
202402010106,ワイド,1-14,460,5
202402010106,馬単,9→1,3000,13
202402010106,三連複,1-9-14,1420,2
202402010106,三連単,9→1→14,9640,16
202402010107,単勝,6,1230,5
202402010107,複勝,6,380,5
202402010107,複勝,8,360,3
202402010107,複勝,11,170,2
202402010107,枠連,5-6,3340,12
202402010107,馬連,6-8,5190,16
202402010107,ワイド,6-8,1540,15
202402010107,ワイド,6-11,830,7
202402010107,ワイド,8-11,970,9
202402010107,馬単,6→8,9450,30
202402010107,三連複,6-8-11,8310,23
202402010107,三連単,6→8→11,71120,190
202402010108,単勝,3,580,3
202402010108,複勝,3,200,4
202402010108,複勝,8,260,5
202402010108,枠連,3-7,770,2
202402010108,馬連,3-8,4370,17
202402010108,ワイド,3-8,1450,18
202402010108,ワイド,3-9,420,2
202402010108,ワイド,8-9,790,9
202402010108,馬単,3→8,7290,29
202402010108,三連複,3-8-9,4090,12
202402010108,三連単,3→8→9,33630,118
202402010109,単勝,12,430,2
202402010109,複勝,12,170,2
202402010109,複勝,1,250,4
202402010109,複勝,5,1430,12
202402010109,枠連,1-7,1370,8
202402010109,馬連,1-12,1460,5
202402010109,ワイド,1-12,570,4
202402010109,ワイド,5-12,5650,47
202402010109,ワイド,1-5,7010,56
202402010109,馬単,12→1,2200,8
202402010109,三連複,1-5-12,36420,99
202402010109,三連単,12→1→5,106260,315
202402010110,単勝,6,2360,9
202402010110,複勝,6,480,6
202402010110,複勝,15,180,2
202402010110,複勝,3,630,10
202402010110,枠連,3-8,2150,10
202402010110,馬連,6-15,4190,13
202402010110,ワイド,6-15,1180,10
202402010110,ワイド,3-6,5240,56
202402010110,ワイド,3-15,2160,22
202402010110,馬単,6→15,10250,36
202402010110,三連複,3-6-15,31580,101
202402010110,三連単,6→15→3,272910,843
202402010111,単勝,3,2140,10
202402010111,複勝,3,540,9
202402010111,複勝,8,270,2
