,0,1,2,3
202210020410,単勝,6,1130,5
202210020410,複勝,6,320,3
202210020410,複勝,8,780,12
202210020410,複勝,12,340,4
202210020410,枠連,4-5,1090,5
202210020410,馬連,6-8,14560,46
202210020410,ワイド,6-8,3510,39
202210020410,ワイド,6-12,1490,13
202210020410,ワイド,8-12,4970,53
202210020410,馬単,6→8,27100,87
202210020410,三連複,6-8-12,47300,150
202210020410,三連単,6→8→12,291990,889
