,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,シャンデルナゴル,牡6,60.0,中村,石坂,498(+2),栗東,2020103193,01101,サトノダイヤモンド,アガルタ,キングカメハメハ
1,2,2,ダスク,牡6,60.0,小野寺,宮本,466(0),栗東,2020106953,01123,シニスターミニスター,フォルクスオーパー,テイエムオペラオー
2,3,3,グラヴィテ,牝8,58.0,黒岩,藤野,490(-6),栗東,2018103603,01072,ネオユニヴァース,ファシネイト,キングカメハメハ
3,3,4,バルサムノート,牡6,60.0,森一,高野,518(-2),栗東,2020103276,01139,モーリス,エピセアローム,ダイワメジャー
4,4,5,グランナヴィール,牡5,57.0,▲水沼,堀内,544(+4),美浦,2021101779,01201,ゴールドシップ,ウッドシップ,クロフネ
5,4,6,モンツァフレイバー,牡4,59.0,草野,久保田,462(-4),美浦,2022103181,01113,エピファネイア,メープルフレイバー,キングカメハメハ
6,5,7,ホウオウスターツ,セ4,57.0,▲小林凌,池上,468(-2),美浦,2022103528,01177,ダノンバラード,ツインクルスター,サクラバクシンオー
7,5,8,ニシノルアノーヴァ,牡4,59.0,伴,古賀慎,500(-2),美浦,2022102709,01149,リオンディーズ,ニシノリコルディ,ハーツクライ
8,6,9,ロードヴァレンチ,セ7,57.0,▲坂口,中舘,488(-2),美浦,2019103507,01211,エスポワールシチー,アンダルシア,アルカセット
9,6,10,ライラスター,セ7,60.0,上野,田中剛,468(-6),美浦,2019105336,01087,ロードカナロア,ハープスター,ディープインパクト
10,7,11,ルーチェロッサ,牝6,58.0,大江圭,粕谷,482(+6),美浦,2020103955,01120,ビーチパトロール,ルミナスレッド,トーセンダンス
11,7,12,ノーブルクライ,牡6,60.0,五十嵐,田村,506(-8),美浦,2020102976,01069,ハーツクライ,ノーブルジュエリー,Smarty Jones
12,8,13,テイエムタワードン,セ4,59.0,田村,畑端,510(-2),栗東,2022100329,01105,タワーオブロンドン,サットー,ステイゴールド
13,8,14,プレミアブルー,牡4,59.0,石神深,菊川,468(-4),美浦,2022102387,01059,トーセンラー,ナイキアムール,マヤノトップガン
