,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,オステリア,牡6,60.0,高田,宮本,524(+2),栗東,2019103208,01046,ドレフォン  Drefong(米)  ,グローブ  ,ダイワメジャー  
1,2,2,シーク,セ3,58.0,小牧加,角田,524(-4),栗東,2022100785,01196,キズナ  ,セレブラール  ,ボストンハーバー  Boston Harbor(米)  
2,3,3,アナゴサン,牡7,60.0,黒岩,牧田,472(0),栗東,2018102227,01072,ミッキーアイル  ,タケノローマン  ,キングカメハメハ  
3,4,4,ウェイトゥザドーン,セ4,60.0,草野,戸田,462(+2),美浦,2021104768,01113,ジャスタウェイ  ,ソワー  Sower(米)  ,Flatter  
4,5,5,リードアクトレス,牝4,58.0,小野寺,安達,494(+2),栗東,2021102654,01123,マジェスティックウォリアー  Majestic Warrior(米)  ,ブラウンテヌート  ,シンボリクリスエス  
5,6,6,ウインシュクラン,セ7,60.0,石神深,和田郎,462(-6),美浦,2018101615,01059,スクリーンヒーロー  ,イクスキューズ  ,ボストンハーバー  Boston Harbor(米)  
6,7,7,フォワードアゲン,セ8,60.0,上野,加藤和,438(+4),美浦,2017102537,01087,ローズキングダム  ,エーシンシャイナー  ,グラスワンダー  
7,7,8,ボエーム,牡4,57.0,▲坂口,石栗,448(-2),美浦,2021100475,01211,アニマルキングダム  Animal Kingdom(米)  ,ラストマイア  ,ローエングリン  
8,8,9,ゲインサポート,セ4,60.0,森一,斉藤崇,456(-2),栗東,2021104590,01139,デクラレーションオブウォー  ,ローザミスティカ  ,アグネスタキオン  
9,8,10,クリアクォーツ,牡3,58.0,大江圭,的場,468(0),美浦,2022101587,01120,タワーオブロンドン  ,クリアソウル  ,アグネスデジタル  
