,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ザスリーサーティ,牡10,57.0,▲坂口,尾形,美浦,2015105440,01211,ステイゴールド ,ツーデイズノーチス ,ヘクタープロテクター Hector Protector(米) 
1,2,2,コンクエスト,セ6,60.0,石神深,小笠,美浦,2019100657,01059,キズナ ,フェアエレン ,Street Cry (愛) 
2,3,3,テーオーリカード,セ5,60.0,小野寺,高柳大,栗東,2020106884,01123,パイロ Pyro(米) ,ナナイロボタン ,ネオユニヴァース 
3,3,4,ニホンピロマリンバ,牝4,57.0,中村,安達,栗東,2021103841,01101,ニホンピロアワーズ ,ニホンピロアニカ ,キャプテンスティーヴ Captain Steve(米) 
4,4,5,カズラポニアン,牡6,60.0,森一,高橋一,栗東,2019105148,01139,ヘニーヒューズ Henny Hughes(米) ,ガルデルスリール ,ダイワメジャー 
5,4,6,テイエムマジック,牡7,60.0,難波,鈴木孝,栗東,2018103005,01066,マジェスティックウォリアー Majestic Warrior(米) ,ハミングライフ ,スペシャルウィーク 
6,5,7,リードアクトレス,牝4,57.0,▲井上,安達,栗東,2021102654,01151,マジェスティックウォリアー Majestic Warrior(米) ,ブラウンテヌート ,シンボリクリスエス 
7,5,8,タイセイジャスパー,セ6,60.0,上野,伊藤圭,美浦,2019100135,01087,ヘニーヒューズ Henny Hughes(米) ,プラセンティア ,トワイニング Twining(米) 
8,6,9,ローンウルフ,牡4,59.0,五十嵐,武市,美浦,2021104112,01069,リアルインパクト ,シェリレーヌ ,Mineshaft (米) 
9,6,10,メジェド,牡5,60.0,小坂,佐々木,栗東,2020105651,01063,キズナ ,ラヴェリータ ,Unbridled's Song (米) 
10,7,11,コスモチプリア,牝5,58.0,伴,松永康,美浦,2020105774,01149,ゴールドシップ ,ホワイトウインド ,スウェプトオーヴァーボード Swept Overboard(米) 
11,7,12,アメリカンピース,セ7,60.0,小牧加,東田,栗東,2018110131,01196,Tapit (米) ,La Cloche ,Ghostzapper 
12,8,13,メイショウオキビ,牡7,60.0,黒岩,飯田,栗東,2018105846,01072,トウケイヘイロー ,ブーケドレーヌ ,フレンチデピュティ French Deputy(米) 
13,8,14,ニシノアウェイク,牡4,59.0,草野,伊藤圭,美浦,2021107089,01113,アメリカンペイトリオット ,ラヴィングウェイ ,ヴィクトワールピサ 
