,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ワンウェイトゥヘル,牡3,57.0,鮫島駿,中村,468(+4),栗東,2022102701,01157,タワーオブロンドン,アリアプーラ Aria Pura(豪),Flying Spur,-1.59744894019939,11
1,1,2,スレッドザニードル,牡3,57.0,古川吉,佐々木,478(-4),栗東,2022102003,01015,ファインニードル,ミラクルロンド,フジキセキ,0.5301707353523168,4
2,2,3,ホルンフェルス,牝3,55.0,鮫島良,河嶋,460(-2),栗東,2022104100,01099,リオンディーズ,ラブディラン,Dylan Thomas (愛),0.8596825873965007,2
3,2,4,メイプルギャング,牡4,58.0,西村淳,中竹,508(+4),栗東,2021110063,01171,War Front,Crimson Maple,Rahy,-2.750791392684243,16
4,3,5,バッハアルプゼー,牡3,57.0,松山,橋口,486(-4),栗東,2022106923,01126,Practical Joke (米),ファウンドアダイヤモンド Found a Diamond(米),Colonel John,-1.61369610515951,12
5,3,6,ブラヴィーノ,牡6,58.0,斎藤,天間,458(-2),美浦,2019110122,01178,Klimt,Brave Cause,Giant's Causeway (米),-2.5722471469969466,15
6,4,7,ゴールデンチップス,牝4,56.0,坂井,須貝,500(0),栗東,2021107351,01163,エピファネイア,クォリティシーズン,トワイニング Twining(米),-0.509763917864612,7
7,4,8,メイショウイヌワシ,牡6,55.0,▲森田,石橋,504(+2),栗東,2019104100,01222,ロードカナロア,メイショウメイゲツ,ディープインパクト,0.7025321215643725,3
8,5,9,フェニーチェドーロ,牝3,55.0,菱田,宮本,456(+14),栗東,2022101408,01144,ナダル Nadal(米),ゴッドフェニックス,ブライアンズタイム Brian's Time(米),0.3893187615580151,6
9,5,10,ボディブロー,牡4,58.0,武豊,森秀,536(+8),栗東,2021110057,00666,City of Light (米),Race to Urga,Bernstein,-2.155130748915466,13
10,6,11,デアデルマーレ,牝5,56.0,丹内,坂口,488(+4),栗東,2020100138,01091,シルバーステート,アルセナーレ,クロフネ,0.9118330589702424,1
11,6,12,カフェノワール,牝5,56.0,レーン,池江,486(-2),栗東,2020100683,05585,ドゥラメンテ,デプロマトウショウ,ファスリエフ Fasliyev(米),0.5058885491873135,5
12,7,13,ポッドボウ,牡3,57.0,北村友,矢作,498(-2),栗東,2022100704,01102,ジャスタウェイ,ドナルチア,Malibu Moon,-0.5697986375704214,8
13,7,14,サイモンオリーブ,牝5,56.0,戸崎圭,梅田,482(+12),栗東,2020102640,05386,ダイワメジャー,オリジナルスピンII Original Spin(米),Distorted Humor (米),-2.176791096331981,14
14,8,15,イマージョン,牡3,57.0,Ｃデムーロ,高野,508(+8),栗東,2022104600,05473,ロードカナロア,アディクティド Addicted(独),ディクタット Diktat(英),-1.376976886871797,10
15,8,16,フェゲフォイア,牡5,55.0,▲田山,岡田,464(-3),栗東,2020106355,01220,アドマイヤムーン,アリアプーラ Aria Pura(豪),Flying Spur,-0.733002745239064,9
