,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,シャイニングスター,牡3,57.0,高杉,小椋,,栗東,2023103239,1213,ルーラーシップ,サテンドール,ステイゴールド,1.2237779192115328,5,0.0859528669830435,14,,6,44.4,51.3,44.1,14
1,1,2,ライフイズカラフル,牡3,57.0,小崎,河嶋,,栗東,2023103630,1152,サトノダイヤモンド,コマノレジェンド,ストリートセンス,0.9722656891515494,7,0.0174799648620437,8,,12,48.3,45.6,47.3,8
2,2,3,ダンツウルス,牡3,57.0,田口,谷,,栗東,2023102901,1208,リアルスティール,コゴメユキ,Liam's Map,0.9720523813960316,8,0.0174218929302663,4,,7,53.7,48.4,50.3,6
3,2,4,ホウオウモチーヴ,牡3,57.0,坂井,矢作,,栗東,2023105281,1163,サートゥルナーリア,ギモーヴ,ハービンジャー,0.913483357821524,9,0.0014767795750098,5,,2,52.8,61.7,52.4,5
4,3,5,ゴリョウセイ,牡3,57.0,石川,松下,,栗東,2023103368,1150,キズナ,カラクレナイ,ローエングリン,0.6508113500388039,12,-0.0700343142375782,16,,3,44.1,56.1,44.1,15
5,3,6,アージュドール,牡3,57.0,国分優,森田,,栗東,2023105211,1125,オルフェーヴル,アガラデイ,Munnings,0.7033974648031104,11,-0.0557180168220557,13,,15,44.7,43.1,44.4,13
6,4,7,メイショウショカツ,牡3,57.0,幸,石橋,,栗東,2023101207,732,リオンディーズ,マルニ,スクリーンヒーロー,0.7165462621934677,10,-0.052138324826545,2,,9,54.3,46.6,56.0,3
7,4,8,ノチェブエナ,牝3,55.0,吉村,小栗,,栗東,2023103708,1216,キタサンブラック,ナターレ,クロフネ,1.717634935115758,2,0.2204028820129859,3,,14,54.3,44.6,52.6,4
8,5,9,レヴロード,牡3,54.0,▲森田,畑端,,栗東,2023106139,1222,キセキ,アウラヴィータ,アジアエクスプレス,0.6029016787312552,15,-0.0830774741400159,18,,17,43.5,41.8,43.4,18
9,5,10,ビジュアライズ,牡3,57.0,亀田,斉藤崇,,栗東,2023102222,1176,キズナ,サークリング,Galileo,1.5370495307765049,3,0.171239440883885,1,,10,86.8,46.3,63.7,2
10,6,11,ホウオウスカイハイ,牡3,57.0,秋山稔,宮,,栗東,2023103255,1181,ダノンプレミアム,ユキノヴィーナス,グラスワンダー,0.6293337333556451,13,-0.0758814841528843,17,,8,43.5,47.6,43.8,17
11,6,12,ジャジャミン,牝3,55.0,Ｍデムーロ,寺島,,栗東,2023104615,5212,ゴールドシップ,サトノジャスミン,Wilburn,0.6293047921067072,14,-0.0758893632580289,10,,1,46.6,83.6,45.4,10
12,7,13,プロスト,牡3,57.0,菱田,梅田,,栗東,2023101677,1144,アルアイン,エトヴァス,ハービンジャー,0.2056068674614837,16,-0.1912389290273917,11,,16,45.3,42.9,45.0,11
13,7,14,アイルドゥレーヴェ,牡3,55.0,△田山,新谷,,栗東,2023103310,1220,モーリス,アヴィオール,Redoute's Choice,-0.9193300191267684,17,-0.497497170661563,7,,11,49.2,45.9,48.0,7
14,7,15,グローリーバローズ,セ3,57.0,西村淳,辻野,,栗東,2023105470,1171,サートゥルナーリア,サンドラバローズ,ディープインパクト,1.045798154222091,6,0.0374987976730377,12,,4,45.1,55.1,44.9,12
15,8,16,レッドパラジウム,牡3,57.0,川田,清水久,,栗東,2023105417,1088,キタサンブラック,レッドシルヴァーナ,ロードカナロア,1.434395934484175,4,0.1432925309081078,6,,5,51.9,53.1,83.9,1
16,8,17,タケルフォーカス,牡3,57.0,岩田望,四位,,栗東,2023106077,1174,サトノダイヤモンド,オスカーステージ,キングカメハメハ,2.5770905898054206,1,0.4543852331172248,9,,13,47.2,45.0,46.7,9
17,8,18,チュオンソン,牡3,57.0,酒井,昆,,栗東,2023104944,1034,ウインブライト,クアンナム,Invincible Spirit,-0.9621609412388016,18,-0.5091576673969703,15,,18,44.3,41.5,44.0,16
