,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,サンデーパーティー,セ3,55.0,荻野極,相沢,,美浦,2023100433,1160,ホッコータルマエ,ラフメイカー,スズカマンボ,1.0613110992358683,3,0.0664039124766485,10,,10,43.9,47.1,43.8,12
1,1,2,コスモシェルベット,牡4,58.0,武藤,水野,,美浦,2022106785,1169,マインドユアビスケッツ,ダンサーズブロンド,ゴールドアリュール,0.7758645849488052,5,-0.0159520715395371,7,,7,50.4,47.9,46.0,9
2,2,3,フルミネブル,牡3,55.0,津村,千葉,,美浦,2023110094,1092,Bolt d'Oro,Thundering Sky,Sky Mesa,1.332226771596812,2,0.1445675111403695,4,,2,55.5,54.2,59.1,3
3,2,4,アイランドピーク,牡5,58.0,小林脩,加藤和,,美浦,2021101363,1183,ユアーズトゥルーリ,ナリタアルテミス,ネオユニヴァース,-0.1514200278707375,11,-0.2834888356249494,16,,15,37.9,45.1,41.0,16
4,3,5,ヤングアメリカンズ,牡4,58.0,三浦,加藤征,,美浦,2022104311,1122,ホッコータルマエ,テツナゴオ,ハーツクライ,-0.2820761013452252,12,-0.3211852479477892,2,,4,58.7,49.7,60.2,2
5,3,6,ツァガーンサル,牝4,56.0,ゴンサルベ,平岩,,美浦,2022105095,5675,Not This Time,モンゴリアンチャンガ,Brilliant Speed,0.5464454823254657,6,-0.0821432317148349,8,,6,49.8,48.3,45.7,10
6,4,7,ティアップドライブ,牡4,58.0,木幡巧,奥平,,美浦,2022100182,1162,リオンディーズ,ティアップブロンド,ゴールドアリュール,1.348172595522106,1,0.1491681419226244,15,,8,42.2,47.5,47.1,8
7,4,8,ヘルメスギャング,セ3,53.0,◇今村,武井,,美浦,2023100729,1193,ブリックスアンドモルタル,アディクション,ハーツクライ,-0.0822194480184799,10,-0.2635233374914113,5,,16,54.6,44.0,50.7,6
8,5,9,パラダイスフェイス,牡3,55.0,松山,牧,,美浦,2023104103,1126,エスポワールシチー,ステージトリック,Distorted Humor,0.3986805300035722,7,-0.124775835171103,6,,5,52.3,48.9,51.5,5
9,5,10,アトミックブレス,牡3,55.0,戸崎圭,加藤征,,美浦,2023101661,5386,カレンブラックヒル,ストライクショット,ファルブラヴ,0.9528663738167368,4,0.0351158370360915,3,,1,56.6,86.3,79.5,1
10,6,11,カルネヴァーレ,牝5,53.0,▲佐藤,菊沢,,美浦,2021103720,1207,ダノンレジェンド,ゴールドフェスタ,Medaglia d'Oro,0.0072944912103987,8,-0.2376971032255215,11,,9,43.6,47.2,44.7,11
11,6,12,オクトーバーナイン,牡3,55.0,大野,稲垣,,美浦,2023103962,1096,コパノリッキー,アロゴ,ジャスタウェイ,-0.5296699812267232,14,-0.3926201283664715,1,,3,79.5,50.9,57.1,4
12,7,13,カーマンライン,セ5,58.0,江田照,小島,,美浦,2021105329,689,ネオユニヴァース,トーコーディオーネ,エンパイアメーカー,-0.0103027143051517,9,-0.2427741845827342,12,,13,43.4,45.6,41.1,15
13,7,14,ニャンタロウ,牡3,55.0,菊沢,武市,,美浦,2023104151,1161,ホッコータルマエ,シャーレ,ヘニーヒューズ,-0.8111238327046719,15,-0.4738241639158466,9,,14,46.7,45.1,47.3,7
14,8,15,メトロポリターナ,牝5,56.0,丸田,粕谷,,美浦,2021110040,1117,Masar,ゴールデングローブ,Shamardal,-0.8177010474027087,16,-0.4757217978382486,14,,12,42.2,46.0,43.6,13
15,8,16,サムワンライクユー,牡6,58.0,嶋田,佐藤吉,,美浦,2020106974,1134,グレーターロンドン,デスティニーラブ,アグネスデジタル,-0.3559662695092369,13,-0.3425037689445068,13,,11,42.7,46.3,41.5,14
