,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,トラモント,セ7,60.0,金子,新開,美浦,2017105506,01052,アイルハヴアナザー I'll Have Another(米) ,フィロンルージュ ,フレンチデピュティ French Deputy(米) 
1,2,2,タロントゥーズ,牡4,60.0,森一,大久保,栗東,2020102932,01139,ダイワメジャー ,ダイワダッチェス ,ワークフォース Workforce(英) 
2,3,3,サクセスバラード,牡4,60.0,中村,竹内,美浦,2020104898,01101,ダノンバラード ,ミスベルツリー ,アグネスデジタル 
3,3,4,フォージドブリック,牡3,58.0,大江圭,西田,美浦,2021104800,01120,ブリックスアンドモルタル Bricks and Mortar(米) ,リープオブフェイス ,クロフネ 
4,4,5,メッセージソング,セ5,60.0,小野寺,渡辺,栗東,2019105285,01123,ロードカナロア ,チアズメッセージ ,サンデーサイレンス Sunday Silence(米) 
5,4,6,ノアフェイス,牡3,56.0,▲土田,武藤,美浦,2021107206,01198,アメリカンペイトリオット ,フォレスタレガーロ ,ダイワメジャー 
6,5,7,アメリカンエール,セ6,60.0,小牧加,音無,栗東,2018110132,01196,Tapit (米) ,Sindy With an S ,Broken Vow 
7,5,8,ルレーヴドゥリリ,牝7,58.0,江田勇,田中剛,美浦,2017103710,01023,ルーラーシップ ,グーテデロワ ,スペシャルウィーク 
8,6,9,アンノウンウォリア,牡5,60.0,黒岩,平田,栗東,2019100577,01072,マジェスティックウォリアー Majestic Warrior(米) ,セイユウヴィーナス ,ハーツクライ 
9,6,10,ナムラドーギー,牡3,58.0,五十嵐,石栗,美浦,2021104267,01069,サトノアレス ,ナムラエメラルド ,ファンタスティックライト Fantastic Light(米) 
10,7,11,ラエール,牝5,58.0,上野,土田,美浦,2019106851,01087,エイシンフラッシュ ,ビジョナリー ,ディープインパクト 
11,7,12,アンコーナ,牝3,56.0,石神深,菊川,美浦,2021104143,01059,リアルスティール ,フェレッティ ,ルーラーシップ 
12,8,13,コンテナワールド,牡3,58.0,井上,中竹,栗東,2021104924,01151,エピファネイア ,ユッカマウンテン ,アグネスタキオン 
13,8,14,バーミリオンクリフ,牡5,60.0,草野,金成,美浦,2019105566,01113,モーリス ,ローザボニータ ,ディープインパクト 
