,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ボンドロア,牡3,54.0,横山典,松永幹,470(+6),栗東,2022105485,00660,サートゥルナーリア,ブリッジクライム,ゼンノロブロイ,-2.1096244997981635,8
1,2,2,エコロレイズ,牡4,56.0,菅原明,岩戸,504(0),美浦,2021103976,01179,アメリカンペイトリオット,ペブルガーデン,ディープインパクト,-1.6256374290696822,7
2,3,3,ソワドリヨン,牝5,53.0,舟山,古賀,486(+2),美浦,2020102725,01221,ハーツクライ,ルシルク,Dynaformer,-3.360138596664334,12
3,3,4,ウインマイルート,牡6,56.0,丹内,鈴木慎,450(0),美浦,2019100212,01091,ゴールドシップ,コスモマイルール,ルールオブロー,-0.7403216058240984,1
4,4,5,ラーシャローム,牡3,54.0,長浜,奥村武,480(+10),美浦,2022103406,01214,トーセンラー,アンジェリカス,ハービンジャー,-2.737761278546638,10
5,4,6,コーチェラバレー,牡3,56.0,Ｃデムーロ,安田,436(-2),栗東,2022104733,05473,キズナ,キャンプロック,Myboycharlie,-0.7828022240263426,2
6,5,7,セイウンパシュート,牡5,55.0,プーシャン,上原博,474(-2),美浦,2020100233,05678,ハーツクライ,シーソルティキッス,キングカメハメハ,-1.5654000402671788,6
7,5,8,ピックデムッシュ,牡3,56.0,ルメール,鹿戸,462(+2),美浦,2022104799,05339,レイデオロ,サンティール,ハービンジャー,-1.534305253344666,5
8,6,9,オストラヴァ,牡3,54.0,津村,林,480(+10),美浦,2022105456,01092,スクリーンヒーロー,ピュアコンチェルト,キンシャサノキセキ,-1.2531530887512061,3
9,6,10,サツキスマイル,牝5,50.0,佐藤,石栗,422(+12),美浦,2020101963,01207,リオンディーズ,スマイルフラワー,ステイゴールド,-4.575227453333931,14
10,7,11,ショウナンガチ,牡4,55.0,池添,須貝,504(-2),栗東,2021105434,01032,ドゥラメンテ,エスケイプクローズ,Going Commando,-2.401836715595781,9
11,7,12,フィーリウス,牡3,55.0,マーカンド,手塚久,512(+2),美浦,2022105175,05626,キタサンブラック,レーヴドゥラメール,ロードカナロア,-2.8262024367283685,11
12,8,13,リギーロ,牡3,55.0,佐々木,栗田,476(0),美浦,2022106624,01197,キズナ,エディン,ジャングルポケット,-1.3710539920500453,4
13,8,14,オウケンボルト,牡6,54.0,北村友,土田,456(-2),美浦,2019103827,01102,フェノーメノ,オウケンサクラブ,オウケンブルースリ,-4.175840935960836,13
