,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,プウスカンドゥール,牝6,56.0,中井,坂口,462(-2),37.5,11,栗東,2020104791,1141,シャンハイボビー,トレノトマト,デヒア,0.0249152257174566,15,0.0218833025650432,9,-0.4278545981276779,16,-0.885893764975527,14,0.0286260747110643,0.0212043767238488,51.5,43.0,47.7,11
1,1,2,ホウショウマリス,牝4,56.0,幸,井上,464(+16),5.4,3,栗東,2022103047,732,ドレフォン,アグネスダリム,ゴールドアリュール,0.1163056125922502,3,0.0218833025650432,4,-0.6321031592658686,10,0.2066495410820383,4,0.0853586090466612,0.1472526161378392,53.5,45.4,53.9,6
2,2,3,ユウェンタース,牝4,56.0,団野,宮,482(-8),28.2,8,栗東,2022103515,1180,マインドユアビスケッツ,シグルーン,アイルハヴアナザー,0.0423668967120175,9,0.0359534803415592,5,-0.9435157564084856,8,-0.2053256072373102,9,0.0565364839508318,0.0281973094732032,53.5,46.0,52.1,8
3,2,4,タマモジャスミン,牝4,56.0,田口,大橋,510(+14),13.5,7,栗東,2022103619,1208,タワーオブロンドン,タマモエルドラド,ゴールドアリュール,0.0585686360770521,6,0.0517832964423219,2,-0.1938995760626989,2,-0.1757041748410398,8,0.0582362256989685,0.0589010464551357,54.1,62.2,77.7,1
4,3,5,ノボリクレバー,牝6,56.0,高杉,石橋,502(-4),14.5,4,栗東,2020106393,1213,デクラレーションオブウォー,スウィングダンス,クロフネ,0.1030182558766134,4,-0.0583234451244396,3,0.3112810632075454,5,0.7783758625135917,1,0.1511976064329282,0.0548389053202987,53.7,49.4,54.3,3
5,3,6,メイショウリリー,牝5,56.0,Ｍデムーロ,高橋忠,442(0),8.5,6,栗東,2021103209,5212,ゴールドシップ,メイショウタラチネ,メイショウボーラー,0.0518449056257509,7,0.052449634696519,6,-0.3675702629565925,13,-1.923616242654177,16,0.0101410904109922,0.0935487208405096,52.4,44.1,51.8,9
6,4,7,フィドルファドル,牝4,56.0,松山,矢作,472(-4),5.0,2,栗東,2022104674,1126,サトノアラジン,ヴィートマルシェ,フレンチデピュティ,0.1253967593235253,2,0.0656890088720542,1,-0.5273110872840011,7,0.2789722568442394,3,0.0917606932181843,0.1590328254288664,77.8,46.8,54.8,2
7,4,8,ジャルディニエ,牝4,56.0,吉村,奥村豊,458(+14),19.3,9,栗東,2022105031,1216,アドマイヤマーズ,ヘアキティー,Wildcat Heir,0.0412425572489669,10,-0.0798167741283246,13,-0.1548091572430457,12,-0.5197149390614105,12,0.0412849006562586,0.0412002138416752,45.2,44.9,44.7,12
8,5,9,マジックローズ,牝4,56.0,西村淳,中内田,450(+6),3.7,1,栗東,2022100622,1171,キズナ,エンジェルフェイス,キングカメハメハ,0.1539578061026948,1,0.0429016665147868,7,-0.083719970492134,4,0.2924564153494886,2,0.0930063886528676,0.2149092235525221,52.3,50.9,52.3,7
9,5,10,ツーピース,牝4,56.0,川須,河嶋,522(+6),87.7,15,栗東,2022103448,1128,ホッコータルマエ,ヤマイチマロン,エンパイアメーカー,0.0181483155427734,16,-0.0182515657048601,10,-1.590308232350906,1,-0.9359010822165856,15,0.0272297653256343,0.0090668657599125,50.2,81.7,54.3,4
10,6,11,ファミリーツリー,牝5,56.0,松若,河嶋,468(+4),58.2,13,栗東,2021106642,1154,ワンアンドオンリー,ハーモニー,Street Cry,0.0310387689751203,14,0.0672240306739974,14,-0.3726406497850359,15,-0.3604036556464858,11,0.0484149240817813,0.0136626138684593,41.9,43.6,40.9,14
11,6,12,シュヴァルツリーベ,牝6,56.0,藤懸,羽月,466(+6),54.8,14,栗東,2020106101,1138,ドレフォン,クロエチャン,スパイキュール,0.0352166161104667,12,-0.0182515657048601,15,-1.4141026201306532,11,-0.216237136001262,10,0.0559229379299786,0.0145102942909549,37.2,45.2,38.4,15
12,7,13,ワイノナオミ,牝5,56.0,国分優,畑端,472(+8),21.5,10,栗東,2021105973,1125,ドレフォン,ボクノナオミ,ゴールドアリュール,0.0344672235346243,13,0.0429016665147868,12,-0.1091027715894357,9,-0.7760374282335687,13,0.0319500690625356,0.0369843780067131,46.5,45.7,47.8,10
13,7,14,タマモナポリ,牝5,56.0,酒井,河嶋,468(-2),39.1,12,栗東,2021106177,1034,カレンブラックヒル,タマモリド,ワイルドラッシュ,0.0490465413327308,8,0.0218833025650432,11,-1.1179611014759745,6,0.1133691464438373,5,0.0777564042218727,0.020336678443589,47.7,49.2,43.3,13
14,8,15,フローラルセント,牝5,56.0,菱田,松下,466(-2),94.7,16,栗東,2021104857,1144,キズナ,サマーローズ,ハービンジャー,0.0380512410634613,11,-0.0182515657048601,16,-1.8551108088010368,14,-0.0250396618025377,7,0.0677058176375422,0.0083966644893804,30.4,43.8,31.9,16
15,8,16,カロローザ,牝4,56.0,亀田,松永幹,478(+12),10.2,5,栗東,2022105772,1176,ナダル,エスティタート,ドリームジャーニー,0.0764146381644946,5,0.0656890088720542,8,-0.4703857233359731,3,0.0755683379147157,6,0.0748720089618979,0.0779572673670913,52.0,58.2,54.2,5
