,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,トレフォイルノット,牡3,57.0,丸山元気,西田,498(+8),13.8,7,美浦,2023107130,1127,ミッキーアイル,トリフォリウム,ドゥラメンテ,0.049629174185094,10,-0.0115974021122807,5,-0.2355171638656031,14,-1.1794598874160074,7,0.0416586645501053,0.0575996838200828,53.6,44.8,54.0,4
1,1,2,ジーティーソレイユ,牝3,52.0,▲石神道,千葉,432(0),36.2,10,美浦,2023103728,1209,キタサンブラック,リメンバーユー,Invincible Spirit,0.0262591587812487,16,0.0017867991864033,10,-0.0764979783062924,1,-1.4892633286076211,11,0.0305604270454493,0.0219578905170481,46.5,84.0,46.7,10
2,2,3,ブルーダイヤシチー,牡3,54.0,▲上里,上原博,538(0),38.2,11,美浦,2023100349,1217,エスポワールシチー,スカイブルーダイヤ,ロードカナロア,0.0644090439652722,7,-0.0072164255188685,15,-0.0126449843673678,13,-0.2267470698476603,4,0.108009825189258,0.0208082627412864,40.9,44.9,40.8,15
3,2,4,エリースノー,牝3,55.0,津村,武市,424(-8),9.3,5,美浦,2023103226,1092,サンダースノー,エリーティアラ,ケイムホーム,0.0597304503491315,8,-0.0115974021122807,9,-0.1901587342751732,6,-1.3828910724401358,8,0.0339904021265274,0.0854704985717357,49.7,48.1,50.7,8
4,3,5,ハクサンミレイ,牝3,55.0,大野,松山,456(-2),15.1,6,美浦,2023105691,1096,シルポート,アクロスザシャイン,タニノギムレット,0.0432488014953952,11,-0.0115974021122807,7,-0.2761840037634366,10,-1.3868284459484974,9,0.033856832347271,0.0526407706435193,52.9,45.4,53.9,5
5,3,6,エスコルチア,牝3,55.0,伊藤,林,476(+14),110.8,15,美浦,2023106138,1119,カリフォルニアクローム,アイヴォリーカラー,クロフネ,0.0882612452818263,4,0.0080634445787052,16,0.2585416164122734,15,0.2229895892003831,2,0.1693485227232452,0.0071739678404074,40.8,44.8,40.7,16
6,4,7,フェイスリフト,牡3,57.0,原,嘉藤,452(-4),4.8,2,美浦,2023106605,1184,フォーウィールドライブ,ポンポン,ブラックタイド,0.0901965572638532,3,-0.0072164255188685,6,-0.2905372826913481,9,-2.214745982122744,16,0.0147940235449684,0.165599090982738,53.4,45.9,52.6,7
7,4,8,スピニンググローブ,牡3,57.0,木幡巧,黒岩,490(-6),22.6,8,美浦,2023100240,1162,サートゥルナーリア,グランデセーヌ,ゼンノロブロイ,0.0326104082836018,14,-0.0115974021122807,8,-0.3188430862881182,8,-1.506128961588507,12,0.0300493282168877,0.035171488350316,50.3,46.6,48.8,9
8,5,9,イゲマジャ,牡3,57.0,柴田大,清水英,478(0),106.2,16,美浦,2023106610,1009,キセキ,ツヅク,マツリダゴッホ,0.0982446876361105,2,0.0080634445787052,11,0.2083583893327778,12,0.3328024600887344,1,0.1890046705950351,0.0074847046771859,42.7,45.0,42.1,11
9,5,10,コウソクルリアン,牡3,57.0,武藤,武藤,472(0),3.4,1,美浦,2023102674,1169,サトノダイヤモンド,ファッションストリート,ストリートセンス,0.1285170246810781,1,-0.0072164255188685,2,-0.2870843415526608,7,-1.7627889861591322,14,0.023247097386526,0.2337869519756302,56.4,47.1,57.2,2
10,6,11,フジコンフィデンス,牝3,55.0,石橋脩,牧,492(+10),23.7,9,美浦,2023101707,1077,ホッコータルマエ,オールエリザベス,パイロ,0.0317255485457331,15,-0.0115974021122807,4,-0.1666810516463331,4,-1.51070816881448,13,0.0299120406898991,0.0335390564015672,54.0,50.5,53.1,6
11,6,12,ドングラミ,セ3,57.0,嶋田,本間,456(-20),99.1,14,美浦,2023106585,1134,カリフォルニアクローム,エンゲージリング,スウェプトオーヴァーボード,0.0418476431402898,12,0.0,12,0.0947602795622539,16,-0.5825301148185242,5,0.0756743414095692,0.0080209448710105,41.8,44.6,41.9,12
12,7,13,セイウンヤオヨロズ,牡3,57.0,野中,上原博,466(-10),6.9,4,美浦,2023100006,1158,セイウンコウセイ,エテ,Congrats,0.0685279316614074,6,0.0017867991864033,1,-0.3573796737402304,2,-1.8244711042004087,15,0.0218564956826492,0.1151993676401656,80.6,59.8,79.9,1
13,7,14,ライヴギムレット,牝3,52.0,▲佐藤,大和田,476(+6),102.3,13,美浦,2023102320,1207,タニノフランケル,グッバイサマー,サマーバード,0.058612034823247,9,0.0104081366958274,13,0.1974747158775285,11,-0.2134646749292005,3,0.1094540243217909,0.0077700453247032,41.2,45.1,41.0,13
14,8,15,シェリアドレ,牝3,55.0,荻野極,奥村武,480(+8),6.1,3,美浦,2023102518,1160,ドレフォン,クイーングラス,ルーラーシップ,0.0807250879990882,5,0.0017394175208407,3,-0.3267383446931843,5,-1.47038957334554,10,0.0311426945691366,0.1303074814290397,54.2,48.6,55.6,3
15,8,16,リアルパラダイス,牡3,57.0,江田照,西田,438(-14),45.5,12,美浦,2023105411,689,リアルスティール,ヴァルドブラムヘン,Sea The Moon,0.0374552019076224,13,-0.0115974021122807,14,-0.2833912087744195,3,-0.8582177292823159,6,0.0574406096016813,0.0174697942135635,41.1,54.8,40.9,14
