,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,スイミーユニバンス,牝6,56.0,鮫島駿,平田,442(-4),62.2,14,栗東,2020103632,1157,ドゥラメンテ,マンビア,アルデバラン,0.027091802449596,16,-0.0004756262575621,13,0.0298142956311257,13,-1.0141303267122403,15,0.0413934250724565,0.0127901798267354,43.6,44.6,44.6,11
1,1,2,ハリウッドメモリー,牝4,56.0,横山和,長谷川,466(-2),5.9,3,栗東,2022100632,1140,ロードカナロア,スピニングワイルドキャット,ハードスパン,0.0998391603769884,3,-0.004309032721141,7,-0.2313407672408714,11,-0.5653377679226786,6,0.0648394758009348,0.134838844953042,49.0,45.6,48.1,9
2,2,3,マジカルフェアリー,牝4,56.0,舟山,寺島,454(+2),34.0,13,栗東,2022104174,1221,サートゥルナーリア,マニクール,ヘニーヒューズ,0.0374742834644737,15,-0.0004756262575621,15,0.0063515328024147,3,-0.7946989771418435,13,0.0515500614812136,0.0233985054477337,41.2,55.7,43.6,13
3,2,4,マルプリ,牝6,56.0,秋山稔,青木,466(0),72.5,15,美浦,2020104983,1181,ミッキーアイル,マジックポーション,Danehill Dancer,0.0388526698536127,13,0.0070747361998612,16,0.0846583734847643,10,-0.5365640734454531,5,0.0667322474972537,0.0109730922099716,40.9,45.9,43.1,15
4,3,5,ゴキゲンサン,牝6,56.0,国分恭,伊藤大,510(+2),70.4,16,美浦,2020106623,1124,リアルインパクト,マチャプチャレ,ヨハネスブルグ,0.0564256903637697,7,-0.0025574713883539,14,0.1194291680670203,15,-0.1166915780976418,1,0.1015509661647134,0.0113004145628259,41.8,44.1,43.0,16
5,3,6,マナボニート,牝3,53.0,丹内,北出,484(+4),4.5,1,栗東,2023100617,1091,グァンチャーレ,スカイシーアキラ,Swiss Spirit,0.1098914411414237,2,0.0002250289596722,1,-0.0679757056542363,1,-0.9761877515190138,14,0.0429941744555257,0.1767887078273217,81.3,84.1,83.7,1
6,4,7,リリーフィールド,牝4,56.0,佐々木,小崎,444(+4),13.8,6,栗東,2022105718,1197,モズアスコット,ハイリリー,アグネスタキオン,0.0557211732398713,8,-0.004309032721141,10,-0.0615780099202133,14,-0.752093142717948,11,0.0537938547969203,0.0576484916828223,44.8,44.2,46.5,10
7,4,8,ラスティングスノー,牝3,53.0,横山琉,池上,468(-10),20.3,9,美浦,2023103293,1192,モズアスコット,プレザントブリーズ,マンハッタンカフェ,0.0637423758969414,6,-0.0004756262575621,6,2.8305341758079472e-05,8,-0.2565673505132911,2,0.0882951367582697,0.0391896150356132,51.1,47.2,48.3,7
8,5,9,ミニョンマルーン,牝4,56.0,長浜,伊藤圭,488(-4),29.5,10,美浦,2022103151,1214,ミスターメロディ,タイキマロン,ファスリエフ,0.0512746259876884,9,0.0009287233360444,4,0.0135356246946834,7,-0.4120410611358304,4,0.0755814829847684,0.0269677689906084,54.4,47.3,54.8,3
9,5,10,ベルビースタローン,牝4,56.0,小林美,戸田,528(+20),19.6,8,美浦,2022106389,1206,ストロングリターン,テイエムナデシコ,ゼンノロブロイ,0.0476101344027924,10,0.0009287233360444,3,0.0413814270368455,4,-0.7366504416349586,10,0.054631024661557,0.0405892441440279,55.4,54.1,53.7,4
10,6,11,ベビーズブレス,牝4,56.0,武豊,千田,442(+8),6.9,5,栗東,2022106351,666,アドマイヤマーズ,レディーガリレオ,Galileo,0.0843285407408989,4,0.0009287233360444,8,-0.1386061489013157,16,-0.7601891398919898,12,0.0533600981161532,0.1152969833656446,48.7,43.7,49.0,5
11,6,12,ヒラボクミニー,牝5,56.0,浜中,村田,488(0),26.2,11,美浦,2021103005,1115,ミッキーアイル,ヒラボクロマンス,アグネスデジタル,0.0472434836032228,11,0.0009287233360444,11,0.032861587161977,5,-0.5764571498402655,7,0.0641224944880125,0.0303644727184331,44.1,48.3,43.7,12
12,7,13,ショウナンカリス,牝3,53.0,池添,加藤士,422(+2),5.2,2,美浦,2023105347,1032,リアルスティール,ロシアンサモワール,American Pharoah,0.1178095453878721,1,0.0009287233360444,5,-0.0550967351943751,12,-0.3228933316097579,3,0.0826288628482542,0.15299022792749,52.6,44.7,49.0,6
13,7,14,セイプリーズ,牝4,56.0,古川吉,宮,420(-8),40.5,12,栗東,2022105583,1015,ダイワメジャー,レディトゥプリーズ,More Than Ready,0.0409619515578383,12,0.0009287233360444,12,0.0878299168962336,6,-0.6056005793244031,9,0.0622807133570853,0.0196431897585913,43.7,47.4,43.3,14
14,8,15,モズアンタレス,牝6,56.0,吉田隼,飯田,502(-4),18.7,7,栗東,2020106519,1095,グランプリボス,モズフリムカナイデ,クロフネ,0.0381627964534405,14,0.0009287233360444,2,-0.0457657059835598,9,-1.217298933397532,16,0.0337828557291832,0.0425427371776977,59.4,46.2,57.3,2
15,8,16,サンタアニタ,牝4,56.0,斎藤,斎藤誠,482(0),7.6,4,美浦,2022103594,1178,ナダル,ワンスインナムーン,アドマイヤムーン,0.0835703250795691,5,0.0009287233360444,9,-0.1121979656223534,2,-0.6026759850216893,8,0.0624631257876978,0.1046775243714405,48.1,56.8,48.2,8
