,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,スペルキャスター,牝6,57.0,▲小林凌,蛯名利,486(+2),45.5,11,美浦,2020102674,1177,ロードカナロア,スペルバインド,ゴールドアリュール
1,2,2,ボールドハーテッド,牡4,60.0,五十嵐,平岩,460(-2),7.5,5,美浦,2022103551,1069,マジェスティックウォリアー,フィアレス,スペシャルウィーク
2,3,3,ガストン,セ7,60.0,小坂,高橋康,466(-6),6.5,4,栗東,2019105461,1063,シルバーステート,ミッキーパール,タニノギムレット
3,4,4,モズナイスバディー,牡5,60.0,森一,飯田,488(-4),4.4,1,栗東,2021102845,1139,マジェスティックウォリアー,モズラコルタ,ヴィクトワールピサ
4,5,5,ストラクチャー,セ5,60.0,草野,和田郎,444(-18),11.7,7,美浦,2021101216,1113,リアルスティール,サンヴィヴァン,マンハッタンカフェ
5,5,6,ホウオウスターツ,セ4,57.0,▲水沼,天間,464(-4),30.2,9,美浦,2022103528,1201,ダノンバラード,ツインクルスター,サクラバクシンオー
6,6,7,ベールドインパクト,セ4,60.0,伴,小島,442(0),28.9,10,美浦,2022103493,1149,ダノンバラード,ウェディングベール,タートルボウル
7,6,8,タガノバルコス,牡7,60.0,高田,秋山,488(+2),4.8,2,栗東,2019100549,1046,キタサンブラック,タガノレヴェントン,キングカメハメハ
8,7,9,ルルフィーユ,牝5,58.0,田村,谷,474(+2),70.0,12,栗東,2021102894,1105,マクフィ,デューフォール,Medaglia d'Oro
9,7,10,リッケンバッカー,牡8,60.0,小牧加,西村,474(+4),15.5,8,栗東,2018103590,1196,ロードカナロア,シティウェルズ,City Zip
10,8,11,メイショウブレゲ,牡7,60.0,中村,本田,478(+8),9.0,6,栗東,2019104091,1101,ゴールドシップ,メイショウスイヅキ,パイロ
11,8,12,ドラギニャン,牡4,57.0,▲井上,河嶋,412(-6),5.9,3,栗東,2022106684,1151,オルフェーヴル,ザデイ,シンボリクリスエス
