,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ニコ,牝4,56.0,嶋田,大和田,410(+12),88.1,12,美浦,2022103336,01134,ダノンバラード,ムサ,フレンチデピュティ,0.0728112287915317,5,-0.029680918628451822,4,-0.0614545753889261,10,-0.38486085213660076,2,0.1366081545299734,0.00901430305309001
1,2,2,コヴェナント,牝4,56.0,野中,佐藤吉,432(-21),123.4,15,美浦,2022101383,01158,レッドベルジュール,ペプチドガーネット,フサイチコンコルド,0.03231463768996958,15,0.07323282153865056,2,0.013921152335684623,2,-1.2382017985140785,6,0.058193618175909755,0.006435657204029414
2,2,3,ケープウィッカム,牝5,56.0,戸崎圭,中舘,454(-4),6.0,3,美浦,2021105896,05386,ドレフォン,レーヴルシード,ディープインパクト,0.08127257391022256,4,-0.1633161854453566,14,-0.06206486334505101,11,-1.8946280310196044,13,0.030185131324240163,0.13236001649620496
3,3,4,フォンデネージュ,牝4,56.0,木幡巧,武井,532(+10),50.8,11,美浦,2022105100,01162,ドレフォン,ユキチャン,クロフネ,0.09789099932987647,2,-0.1633161854453566,14,0.00261473622063969,4,-0.10819361928553754,1,0.18014892584524053,0.015633072814512396
4,3,5,グランコネクシオン,牝5,56.0,菊沢,畠山,438(-4),32.4,9,美浦,2021105123,01161,ハーツクライ,チャリティーライン,Manduro,0.03464299979155305,14,0.09470120796083478,1,-0.028862103603662523,8,-1.5003301050418532,9,0.04477488541714223,0.024511114165963882
5,4,6,ヴンダーバール,牝3,53.0,津村,斎藤誠,486(0),5.0,2,美浦,2023107280,01092,ナダル,モンオール,オルフェーヴル,0.09103267896388922,3,-0.08764301339372876,9,-0.22965394327464422,15,-2.156389258249237,15,0.02323333813233251,0.15883201979544595
6,4,7,デルマアポロニア,牝4,56.0,松岡,蛯名正,484(+6),16.3,7,美浦,2022105457,01085,オルフェーヴル,ピュアマインド,ティンバーカントリー,0.040682392405600704,12,-0.08764301339372876,9,-0.027590019599401012,7,-1.8163376715629127,12,0.03264330634634069,0.04872147846486072
7,5,8,エイミームーン,牝4,53.0,▲佐藤,矢野,462(+2),113.3,14,美浦,2022106013,01207,ポアゾンブラック,ジョジョニー,ゴールドアリュール,0.06774675887292386,6,-0.029680918628451822,4,0.0873454979791666,1,-0.44617185647018914,3,0.12848416117941144,0.007009356566436274
8,5,9,ランスノーブル,牝6,53.0,▲石田,上原博,480(0),14.9,6,美浦,2020101250,01203,ハービンジャー,ロイヤルライン,クロフネ,0.05292313681148697,9,-0.08764301339372876,9,-0.014944203914424527,6,-1.3402706642893238,7,0.05254693812114645,0.0532993355018275
9,6,10,ベルフィーヌ,牝5,56.0,丸田,堀内,514(+4),45.5,10,美浦,2021104754,01117,マインドユアビスケッツ,クライリング,ハーツクライ,0.04188064994491564,11,-0.1633161854453566,14,-0.009296158595450209,5,-1.1076785260327477,5,0.06630723178044161,0.017454068109389667
10,6,11,マタミカンサン,牝4,53.0,▲上里,加藤士,466(+4),7.4,4,美浦,2022103785,01217,ゴールドドリーム,ホールドミータイト,コマンズ,0.06715710914887864,7,-0.08764301339372876,9,-0.19948635525188468,14,-2.0063152356045197,14,0.026995286003537053,0.10731893229422022
11,7,12,リポジノ,牝4,56.0,小崎,秋本,488(-2),11.0,5,美浦,2022104301,01152,モズアスコット,レガリニ,ハードスパン,0.06140468967283996,8,-0.08764301339372876,9,-0.049073646476239116,9,-1.377768901010256,8,0.05061300671138631,0.07219637263429361
12,7,13,グランシャット,牝4,56.0,丸山,松尾,450(+2),109.7,13,美浦,2022105968,01127,ルヴァンスレーヴ,デリケートアーチ,アフリート,0.04523012647986337,10,0.007898090674845808,3,0.003048892508874272,3,-0.8804793129968113,4,0.08322087192985227,0.007239381029874473
13,8,14,ブルーサーマル,牝3,53.0,原,池上,514(-12),23.0,8,美浦,2023101107,01184,アメリカンペイトリオット,エアショウ,ディープスカイ,0.03798604964484752,13,-0.08764301339372876,9,-0.15307282909043812,13,-1.5776488690527322,11,0.04144339933416331,0.034528699955531726
14,8,15,アスコットヴェール,牝3,53.0,坂井,竹内,480(+2),2.6,1,美浦,2023109067,01163,モズアスコット,アースグリーン,Street Cry,0.17502396854160077,1,-0.08764301339372876,9,-0.07017857798775132,12,-1.5042045062965945,10,0.044601745168882455,0.3054461919143191
