,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ランフォーヴァウ,牝4,54.0,石川,福永,458(+12),20.7,10,栗東,2022105291,1150,ロードカナロア,キネオダンサー,ディープインパクト,0.0406812909578757,10,-0.675250838412119,10,-0.334287448463796,11,-0.2830326623098271,8,0.0428418605966516,0.0385207213190998,47.7,45.5,46.5,10
1,2,2,ジェニファー,牝5,50.0,田山,浜田,466(0),16.2,9,栗東,2021103932,1220,アニマルキングダム,スイングサンデー,スペシャルウィーク,0.0837976863956199,3,0.8027125699846125,6,-0.1534084670006145,4,0.7333045763443715,3,0.1183744511057235,0.0492209216855164,51.2,48.2,51.7,6
2,3,3,プロトポロス,牡6,53.0,幸,西村,492(0),57.5,13,栗東,2020103325,732,War Front,キャヴァルドレ,サンデーブレイク,0.0110501139804334,13,-0.4161789018979881,12,-0.3193229159249568,13,-1.932426014861799,13,0.0082327682859909,0.0138674596748759,39.6,45.2,38.3,12
3,4,4,アンクルクロス,牡5,56.0,松若,高橋亮,478(+2),8.0,3,栗東,2021101598,1154,タリスマニック,ウインクルキラリ,ダンスインザダーク,0.0722086751780899,5,0.1863762026200993,2,0.0023399977552169,7,-0.2395689904614299,7,0.0447449839430091,0.0996723664131707,53.3,47.0,53.8,3
4,4,5,アブキールベイ,牝4,55.5,西村淳,坂口,430(-12),16.2,6,栗東,2022101623,1171,ファインニードル,アゴベイ,ハーツクライ,0.0425766551068515,9,-1.2259990587150258,9,-0.5072817259817674,8,-0.4589092620582061,10,0.0359323885281866,0.0492209216855164,48.8,46.9,45.2,11
5,5,6,オタルエバー,牡7,56.0,角田和,中竹,500(-4),25.9,11,栗東,2019105658,1186,リオンディーズ,ルージュクール,Redoute's Choice,0.0242697105582044,12,-1.4633836460468828,4,-0.777555581411995,6,-1.1640169291944051,12,0.0177525897918774,0.0307868313245315,51.8,47.3,52.3,5
6,5,7,デアヴェローチェ,牝3,53.0,川田,上村,464(+6),4.6,2,栗東,2023107264,1088,マテラスカイ,ミニーアイル,ミッキーアイル,0.184239227090327,2,0.928493105534642,3,0.0779959792989434,5,1.2331443556631532,2,0.1951352082447048,0.1733432459359492,52.9,47.4,52.4,4
7,6,8,アメリカンビキニ,牝4,51.0,酒井,斉藤崇,512(-6),12.7,7,栗東,2022104957,1034,American Pharoah,パリスビキニ,Bernardini,0.0573546953862243,7,-0.0815449361840852,13,0.1426843697700197,12,-0.0907740034831737,6,0.0519236481499789,0.0627857426224697,30.7,45.4,33.7,13
8,6,9,ヨシノイースター,牡8,58.0,田辺,中尾,486(-10),8.4,4,栗東,2018106055,1075,ルーラーシップ,アースプレイ,ゼンノロブロイ,0.0609696093296693,6,-1.153507673132792,5,-0.6299426877162342,9,-0.7442243535386514,11,0.0270131554086998,0.0949260632506388,51.7,46.8,50.5,7
9,7,10,サウンドモリアーナ,牝4,55.0,吉村,武英,450(+2),15.5,8,栗東,2022102057,1216,ミッキーアイル,サウンドリアーナ,ケイムホーム,0.0822479653926098,4,-0.4587037582750567,7,-0.0705768947205301,2,0.6873006906069539,4,0.1130521287655186,0.051443802019701,50.9,52.9,54.2,2
10,7,11,ヤマニンアルリフラ,牡5,57.5,団野,斉藤崇,504(+9),11.3,5,栗東,2021106601,1180,イスラボニータ,ヤマニンパピオネ,スウェプトオーヴァーボード,0.0555265035433834,8,-0.0894901680256456,8,-0.2529007468481491,10,-0.3395303577443161,9,0.0404884998916016,0.0705645071951651,49.9,46.2,48.1,8
11,8,12,フリッカージャブ,牡4,57.5,松山,西園翔,508(-2),3.3,1,栗東,2022102020,1126,サートゥルナーリア,ナイキトリック,サクラバクシンオー,0.2448712359326661,1,0.2883655899560705,1,-0.0241929521233621,1,1.4733339046029053,1,0.2481124926818879,0.2416299791834443,75.8,82.6,76.5,1
12,8,13,イツモニコニコ,牝5,53.0,藤懸,浜田,504(+6),33.2,12,栗東,2021107063,1138,ビッグアーサー,オルトリンデ,ダンスインザダーク,0.0402066311480446,11,-0.0909274244938848,11,-0.6894816547176612,3,-0.0081532142826498,5,0.0563958246061686,0.0240174376899206,45.7,48.6,46.6,9
