,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,オウギノカナメ,牡6,57.0,丹内,高木,484(0),22.9,8,美浦,2020106873,1091,キタサンブラック,ジェラスガール,Petionville,0.0588755774276165,8,0.0,8,-0.3142084571892459,6,0.2488272250320748,5,0.0832657932484372,0.0344853616067959,43.9,48.1,44.0,8
1,2,2,ラタフォレスト,牡5,58.0,斎藤,加藤征,506(-4),5.0,2,美浦,2021102009,1178,パイロ,ゴールドフォレスト,ゴールドアリュール,0.1431057268689169,3,-0.0140215476198475,5,-0.074235571344774,8,0.6809151097578495,2,0.1282684975787085,0.1579429561591253,48.5,43.6,45.0,5
2,3,3,テーオードレフォン,牡7,59.0,古川吉,梅田,500(-6),28.9,9,栗東,2019101324,1015,ドレフォン,エミネントシチー,ブライアンズタイム,0.0255973537273392,10,0.0,10,-1.002059354924768,7,-1.0006327092988645,10,0.023868936492892,0.0273257709617863,42.7,43.7,43.5,11
3,4,4,プロミストジーン,牝4,56.0,池添,上原佑,468(0),4.2,1,美浦,2022105028,1032,ナダル,プロミストリープ,ヘニーヒューズ,0.1346120047082644,4,0.0,2,-0.2642960611002523,3,0.2236637731812708,6,0.0811966806556653,0.1880273287608634,55.4,52.4,54.0,3
4,5,5,ホールシバン,セ8,58.0,秋山稔,高橋忠,540(+16),64.3,11,栗東,2018100664,1181,パイロ,サマリーズ,ハードスパン,0.0273508664130821,9,-0.0103692549006235,9,-0.5359543538005592,9,-0.4255904107783528,9,0.0424200099522043,0.0122817228739599,43.9,43.5,44.7,7
5,6,6,レヴォントゥレット,牡5,58.0,鮫島駿,矢作,488(+6),15.8,7,栗東,2021103717,1157,ロードカナロア,クイーンマンボ,マンハッタンカフェ,0.0623441175456834,7,0.0,7,-0.9698717925631196,2,0.1403536565846276,8,0.0747062869397448,0.0499819481516219,44.0,54.9,44.7,6
6,6,7,ヒルノハンブルク,牡4,57.0,武豊,武英,466(-6),4.0,5,栗東,2022103614,666,ナダル,グリントオブライト,ステイゴールド,0.1529311435683905,2,0.0,1,-0.3313670143959076,1,0.5129273351997337,3,0.1084335919378743,0.1974286951989066,75.7,77.1,76.2,1
7,7,8,アスクデビューモア,牡5,57.0,岩田康,福永,458(-4),36.0,10,栗東,2021104824,5203,マインドユアビスケッツ,アスクデピュティ,フレンチデピュティ,0.0225416328692739,11,-0.0064907629733172,11,-0.4980494740482999,11,-1.0313564696831223,11,0.0231467440497804,0.0219365216887674,42.1,42.7,43.8,10
8,7,9,カナルビーグル,牡4,57.0,横山武,佐藤悠,520(+12),10.3,6,栗東,2022104877,1170,リアルスティール,ソブラドラインク,Include,0.16771722046623,1,0.0103660166892632,4,0.0908957430153815,4,1.382702388350716,1,0.2587631029911372,0.0766713379413229,54.7,52.1,53.4,4
9,8,10,コトホドサヨウニ,牡5,58.0,佐々木,奥村豊,522(+6),5.3,3,栗東,2021103306,1197,シニスターミニスター,ティアドーロ,ハーツクライ,0.1231872443497806,5,0.0,6,-0.6745508714496313,10,0.4053250181555373,4,0.0973716998701978,0.1490027888293635,44.1,42.9,43.8,9
10,8,11,ワイドブリザード,セ5,57.0,浜中,佐藤悠,448(-6),9.3,4,栗東,2021104416,1115,カリフォルニアクローム,ハナフブキ,ディープインパクト,0.0817371120554222,6,0.0,3,-0.6930555308422796,5,0.1906349650378553,7,0.0785586562833577,0.0849155678274867,55.0,49.0,56.9,2
