,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,パープルアドミラル,牡6,60.0,金子,堀内,452(0),美浦,2020104328,01052,シビルウォー,ママノヨリミチ,マンハッタンカフェ
1,2,2,メイショウソムリエ,セ5,60.0,大江圭,蛯名正,494(-12),美浦,2021102980,01120,サトノダイヤモンド,シーサイドホーム,Storm Cat
2,3,3,シャンドゥレール,セ6,60.0,五十嵐,手塚徳,496(-6),美浦,2020103053,01069,エピファネイア,マジェスティッククオリティ,Quality Road
3,3,4,グラニットピーク,セ6,57.0,▲坂口,田島,512(+4),美浦,2020103507,01211,ダイワメジャー,トレジャーステイト,Oasis Dream
4,4,5,シゲルタヌキ,牡7,60.0,小坂,谷,480(-14),栗東,2019102813,01063,ビッグアーサー,シゲルオワリ,ファスリエフ
5,4,6,ヴラディア,牡7,60.0,上野,松尾,484(0),美浦,2019105578,01087,ラブリーデイ,ユメノトキメキ,マーベラスサンデー
6,5,7,ウイングランブルー,牡6,57.0,▲水沼,深山,474(-6),美浦,2020105211,01201,ゴールドシップ,サマーラグーン,ボストンハーバー
7,5,8,ソルアマゾン,牡5,60.0,黒岩,小栗,462(-4),栗東,2021104667,01072,リオンディーズ,アミカブルナンバー,ダイワメジャー
8,6,9,メイショウウネビ,牡7,60.0,中村,本田,508(0),栗東,2019104112,01101,メイショウサムソン,サーストンララア,キングカメハメハ
9,6,10,コレクテイニア,牡6,60.0,草野,戸田,470(-2),美浦,2020110020,01113,Collected,ダンスウィズキトゥン,Kitten's Joy
10,7,11,ウィズユアドリーム,牡6,60.0,高田,宮地,518(+6),栗東,2020101918,01046,サトノダイヤモンド,フラワーバレイ,ディスクリートキャット
11,7,12,トゥラッタッタ,牡5,60.0,石神深,新開,474(+2),美浦,2021102973,01059,デクラレーションオブウォー,クイーンマザー,ハーツクライ
12,8,13,コンテナワールド,牡5,59.0,▲井上,中竹,492(+4),栗東,2021104924,01151,エピファネイア,ユッカマウンテン,アグネスタキオン
13,8,14,ヒットアンドロール,牡5,60.0,伴,田中勝,464(-6),美浦,2021104974,01149,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ
