,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ローンウルフ,牡5,60.0,石神深,武市,494(-2),美浦,2021104112,01059,リアルインパクト,シェリレーヌ,Mineshaft
1,2,2,ロードプレイヤー,牡6,57.0,▲坂口,尾形,466(+8),美浦,2020101199,01211,グレーターロンドン,ホオポノポノ,タニノギムレット
2,3,3,クラップサンダー,牡7,60.0,黒岩,牧田,464(+4),栗東,2019103278,01072,ジャスタウェイ,ゲッコウ,キングカメハメハ
3,4,4,スコラーリ,牡7,60.0,伴,萩原,484(+4),美浦,2019100718,01149,トゥザワールド,ヒカリヴィグラス,サウスヴィグラス
4,5,5,ミトロジー,セ10,60.0,金子,尾関,484(+2),美浦,2016104665,01052,ダイワメジャー,リードストーリー,Editor's Note
5,5,6,テーオーリカード,セ6,60.0,小野寺,高柳大,478(-8),栗東,2020106884,01123,パイロ,ナナイロボタン,ネオユニヴァース
6,6,7,タイセイジャスパー,セ7,60.0,上野,伊藤圭,502(+6),美浦,2019100135,01087,ヘニーヒューズ,プラセンティア,トワイニング
7,6,8,ウイングランブルー,牡6,60.0,大江圭,深山,480(-2),美浦,2020105211,01120,ゴールドシップ,サマーラグーン,ボストンハーバー
8,7,9,アルマーザアミール,牡5,60.0,小牧加,斉藤崇,506(+4),栗東,2021105455,01196,サトノダイヤモンド,オーサムフェザー,Awesome of Course
9,7,10,ウィズユアドリーム,牡6,60.0,高田,宮地,512(+4),栗東,2020101918,01046,サトノダイヤモンド,フラワーバレイ,ディスクリートキャット
10,8,11,シャンドゥレール,セ6,60.0,五十嵐,国枝,502(+6),美浦,2020103053,01069,エピファネイア,マジェスティッククオリティ,Quality Road
11,8,12,ヴィアルークス,牡8,60.0,森一,小林,514(+4),栗東,2018106815,01139,ディープインパクト,リズムオブライト,Beat Hollow
