,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ウォーターリーダー,牡6,60.0,高田,藤野,,8.3,5,栗東,2020100948,1046,ルーラーシップ,ウォーターラボ,マンハッタンカフェ
1,2,2,コスモチプリア,牝6,57.0,▲土田,松永康,,65.5,10,美浦,2020105774,1198,ゴールドシップ,ホワイトウインド,スウェプトオーヴァーボード
2,3,3,スコラーリ,牡7,60.0,伴,古賀大,,3.4,1,美浦,2019100718,1149,トゥザワールド,ヒカリヴィグラス,サウスヴィグラス
3,4,4,サングラデーション,セ6,60.0,上野,千葉,,5.5,3,美浦,2020102864,1087,ドゥラメンテ,サンシャイン,ハーツクライ
4,5,5,サルサロッサ,牝7,57.0,▲水沼,高柳瑞,,25.8,8,美浦,2019103100,1201,エスケンデレヤ,ノバラ,マンハッタンカフェ
5,6,6,パープルアドミラル,牡6,62.0,金子,堀内,,10.6,6,美浦,2020104328,1052,シビルウォー,ママノヨリミチ,マンハッタンカフェ
6,7,7,ダノンロッキー,牡5,60.0,五十嵐,古賀大,,3.4,2,美浦,2021105654,1069,キズナ,ティファニーズオナー,Street Cry
7,7,8,モンツァフレイバー,牡4,60.0,草野,久保田,,7.6,4,美浦,2022103181,1113,エピファネイア,メープルフレイバー,キングカメハメハ
8,8,9,ローンウルフ,牡5,60.0,大江圭,武市,,27.3,9,美浦,2021104112,1120,リアルインパクト,シェリレーヌ,Mineshaft
9,8,10,アメリカンピース,セ8,60.0,小坂,東田,,24.3,7,栗東,2018110131,1063,Tapit,La Cloche,Ghostzapper
