,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ポッドロワール,牡4,58.0,荻野極,畠山,512(+2),12.0,4,美浦,2022101573,01160,レイデオロ,レディヴァルール,Multiplex,0.21351377354827158,5,-0.11853169173731415,6,-0.003330683077397677,8,-0.2992235116838427,6,0.06277458956395983,0.06617672547129001
1,1,2,コートアリシアン,牝4,56.0,戸崎圭,伊藤大,442(-4),2.2,1,美浦,2022105326,05386,サートゥルナーリア,コートシャルマン,ハーツクライ,3.4186288079862344,1,-0.34910910699457853,16,-0.004612986910652529,11,-0.8610591425893548,16,0.03579165393456833,0.3609639571161274
2,2,3,エマヌエーレ,牡6,58.0,菊沢,平田,516(+4),14.1,5,栗東,2020103280,01161,ロードカナロア,エマノン,ハーツクライ,-0.1894908850626107,7,-0.13944147110712965,7,-0.018456898614116552,17,-0.7763018250540449,11,0.038957529027474486,0.05632061742237449
3,2,4,スマイルアップ,牝7,56.0,松岡,萱野,462(+4),20.5,8,美浦,2019103815,01085,イスラボニータ,アドマイヤオンリー,クロフネ,-0.6351329414097704,15,-0.4445489355549023,18,-0.007388453283559802,12,-1.4784199740476165,18,0.01930480260224477,0.038737595397828305
4,3,5,エイムフォーエース,牡5,58.0,木幡巧,武井,440(0),63.9,16,美浦,2021104167,01162,サトノアラジン,ラストメッセージ,ジャングルポケット,-0.5759689825900585,14,-0.18819243408749392,11,-0.004361582771906312,9,-0.5156466481021488,8,0.050558305285357,0.012427554079115498
5,3,6,ピコローズ,牝4,56.0,田辺,伊藤大,440(-4),8.8,3,美浦,2022101765,01075,サトノダイヤモンド,ルージュノアール,ストーミングホーム,0.43184708514973147,4,0.05325657099986764,2,0.001036270104670941,6,-0.3965435168173589,7,0.05695322754972668,0.09024098927903185
6,4,7,アームテイル,牝6,56.0,大野,和田勇,462(0),71.7,17,美浦,2020106900,01096,ダノンバラード,メイショウアサツユ,タイキシャトル,-0.37722729270905564,11,-0.2997289710051992,15,-0.016397839320633933,15,-0.2117040288777492,5,0.06851617505751452,0.011075602589337243
7,4,8,ボンヌソワレ,牝4,56.0,杉原,宮田,466(+6),8.3,2,美浦,2022105435,01135,レイデオロ,ノッテビアンカ,Kendargent,0.9431147523006655,2,-0.14060514957784204,8,-0.012308454591662915,14,0.10702986385993449,2,0.09423613835520941,0.09567719345246749
8,5,9,モンテシート,牡4,58.0,田口,牧田,514(+4),17.8,7,栗東,2022105108,01208,ミッキーアイル,ラカリフォルニー,Dutch Art,-0.31695577038124156,10,0.04118771206236756,3,0.018742945487009437,1,-0.7495380127868089,10,0.04001425900476026,0.04461352278963372
9,5,10,チューラワンサ,牝4,56.0,今村,高野,440(+8),22.8,10,栗東,2022104918,01193,レイデオロ,ディーパワンサ,ディープブリランテ,0.9156170444133407,3,-0.03792107440914285,4,0.016271171536212853,2,0.5902637002101759,1,0.15278589751265903,0.03482985551120527
10,6,11,ヴェサリウス,牡5,58.0,小崎,菊沢,480(-2),41.7,12,美浦,2021104401,01152,ロゴタイプ,サトノマイヒメ,ダイワメジャー,-0.5570468555943656,13,-0.41787850245086966,17,-0.004361582771906312,9,-0.6205508906911439,9,0.045523241047807396,0.019043662006126626
11,6,12,ミストレス,牝4,56.0,吉田豊,矢作,480(+4),55.0,13,栗東,2022103754,00733,キズナ,チェロキーメイドン,Distorted Humor,-0.7282880877234805,17,-0.17102049730692698,10,0.0038102532346239127,5,-0.8602609202886765,14,0.03582023503643596,0.014438558284645095
12,7,13,スティールブルー,牝5,56.0,横山典,田中勝,472(+10),24.4,11,美浦,2021105888,00660,ルーラーシップ,レディバード,スマートファルコン,-0.4846761611284386,12,-0.22591499173314428,12,-0.016659444303932142,16,-0.7994017776075569,12,0.03806792640244303,0.03254593055965083
13,7,14,ルミノメテオール,牝6,56.0,江田照,金成,472(0),128.7,18,美浦,2020104332,00689,エピファネイア,クイーンナイサー,フォーティナイナー,-0.22642182761477103,8,-0.2823939564188657,13,-0.008906316902614375,13,0.015829745529934804,3,0.08602204701407595,0.006170324053267136
14,7,15,ウナギノボリ,牡7,58.0,石川,本間,478(+2),55.6,14,美浦,2019107016,01150,ドレフォン,ノンキ,サンデーサイレンス,-0.7133807146561018,16,-0.29353429166194167,14,0.007771334087724586,3,-0.8218836572009034,13,0.037221636602454276,0.014282746504594969
15,8,16,キタサンダムール,牝6,56.0,石橋脩,清水久,490(0),15.3,6,栗東,2020102310,01077,キタサンブラック,キタサンプリンセス,エンパイアメーカー,-0.2800162270082636,9,0.11409278577420078,1,-0.0010385654683174603,7,-0.8605198385006557,15,0.03581096172579396,0.05190331409512943
16,8,17,モジャーリオ,牡4,58.0,斎藤,斎藤誠,468(-8),21.7,9,美浦,2022106603,01178,リオンディーズ,テルメディカラカラ,ハービンジャー,-0.04902269309624251,6,-0.15534529897717825,9,0.007771334087724586,3,-0.18430250262376574,4,0.07041958185762753,0.03659542422375485
17,8,18,フライングブレード,牡6,58.0,原,飯田,490(-4),56.9,15,栗東,2020100906,01184,ビッグアーサー,ルプス,キングズベスト,-0.7890930244238434,18,-0.0918473103473521,5,-0.03152933693264585,18,-0.9976575525058917,17,0.031221792419887543,0.01395642716441969
