,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,リレーションシップ,牡8,60.0,小牧加,斉藤崇,栗東,2017105272,01196,ルーラーシップ ,カラフルブラッサム ,ハーツクライ 
1,2,2,ジーククローネ,セ5,60.0,草野,宮田,美浦,2020103537,01113,サトノクラウン ,パーフェクトマッチ ,サンデーサイレンス Sunday Silence(米) 
2,3,3,ブラビオ,牡7,60.0,森一,緒方,栗東,2018106050,01139,ルーラーシップ ,ゴールデンプライズ ,ホワイトマズル White Muzzle(英) 
3,4,4,テンメジャーガール,牝6,58.0,難波,高柳大,栗東,2019104549,01066,ダイワメジャー ,サンヴァンサン ,クロフネ 
4,5,5,ニシノパプルブリリ,牝5,58.0,伴,加藤和,美浦,2020105495,01149,ディープブリランテ ,ニシノクローバー ,アドマイヤオーラ 
5,6,6,メイショウコホク,セ8,60.0,黒岩,笹田,栗東,2017106373,01072,ダイワメジャー ,アルペンローズ Alpine Rose(米) ,Kris S. 
6,7,7,テイエムエメラルド,牝7,58.0,小野寺,小椋,栗東,2018102822,01123,ロードカナロア ,ヒミノダンス ,ダンスインザダーク 
7,7,8,モントライゼ,牡7,60.0,高田,松永幹,栗東,2018105296,01046,ダイワメジャー ,ムーングロウ Moonglow(英) ,Nayef 
8,8,9,シャンドゥレール,セ5,60.0,上野,国枝,美浦,2020103053,01087,エピファネイア ,マジェスティッククオリティ Majestic Quality(米) ,Quality Road 
9,8,10,エターナリー,牡8,60.0,石神深,池上,美浦,2017105027,01059,ゴールドアリュール ,タマユラ ,Tamayuz 
