,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ロードヴァルカン,牡4,58.0,岩田望,中村,462(+2),栗東,2022100660,01174,ロードカナロア,レディルージュ,ブライアンズタイム,2.1659922511437237,3
1,1,2,アーデルリーベ,牝4,53.0,▲森田,斉藤崇,454(-4),栗東,2022104633,01222,ヘニーヒューズ,アーデルハイト,アグネスタキオン,0.0424853552069587,7
2,2,3,ユーヴェリア,牝5,54.0,△柴田裕,宮本,446(-4),栗東,2021107278,01212,オルフェーヴル,ミラクルベリー,ファルブラヴ,-2.821803508866287,14
3,2,4,バシリス,牝4,54.0,◇今村,寺島,460(-2),栗東,2022106631,01193,シニスターミニスター,キングベイビー,マンハッタンカフェ,-0.4974402543145608,9
4,3,5,ダノンモンテローザ,セ5,58.0,西村淳,茶木,506(0),栗東,2021100158,01171,ロードカナロア,パーフェクトトリビュート,Dubawi,-2.6265213611932476,13
5,3,6,ジュエルハウス,牝4,56.0,酒井,西園正,472(+8),栗東,2022103150,01034,ヘニーヒューズ,タイキグラミー,フレンチデピュティ,-1.0024478666961316,11
6,4,7,グランパリッシュ,牝5,53.0,▲田山,畑端,450(+3),栗東,2021100708,01220,シュヴァルグラン,カネトシパリッシュ,Tapit,-5.407462296073082,16
7,4,8,インディゴアスール,牡4,58.0,藤懸,鈴木孝,520(-6),栗東,2022103440,01138,リオンディーズ,エスピナアスール,フジキセキ,0.8628498083823265,5
8,5,9,メイショウゴールド,牡4,58.0,団野,荒川,462(+2),栗東,2022103188,01180,カリフォルニアクローム,メイショウグロッケ,メイショウサムソン,0.8861832077286316,4
9,5,10,スパークルジョイ,牝5,56.0,斎藤,前川,454(+2),栗東,2021101891,01178,レッドファルクス,シングルカスク,タニノギムレット,-3.6372329778701027,15
10,6,11,イマージョン,牡4,58.0,北村友,高野,516(0),栗東,2022104600,01102,ロードカナロア,アディクティド,ディクタット,0.28363616562325455,6
11,6,12,サンライズジュピタ,牡4,58.0,高杉,石坂,512(-4),栗東,2022103307,01213,ディスクリートキャット,ラブリーアリュール,ゴールドアリュール,-1.8607129847955075,12
12,7,13,ヴェントインコーダ,牝4,56.0,藤岡佑,角田,476(-2),栗東,2022103195,01093,ドレフォン,アイスブレイク,マンハッタンカフェ,2.852990872976714,1
13,7,14,キーガッツ,牡4,55.0,▲和田陽,杉山佳,464(+2),栗東,2022106513,01223,シュヴァルグラン,キーレター,リンドシェーバー,-0.8370004141786834,10
14,8,15,ペンテリコン,牝4,56.0,武豊,武幸,484(-4),栗東,2022104644,00666,シルバーステート,イルーシヴハピネス,Frankel,-0.26288783514169595,8
15,8,16,スカイブルー,牡4,58.0,小崎,佐藤悠,522(0),栗東,2022100136,01152,エピファネイア,スカイノダン,サクラバクシンオー,2.4696914153990246,2
