,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,インターステラ,牡4,59.0,江田勇,天間,486(+2),美浦,2022103576,01023,ダノンバラード,ラステラ,サッカーボーイ
1,2,2,イーサンバーニング,牡7,60.0,小野寺,藤野,526(0),栗東,2019104192,01123,ホッコータルマエ,ターキッシュブルー,カリズマティック
2,3,3,ボルタドマール,セ7,60.0,伴,古賀,520(-2),美浦,2019104842,01149,ストロングリターン,ハルマッタン,マンハッタンカフェ
3,4,4,インヴァリアンス,セ8,60.0,金子,尾関,484(+14),美浦,2018105423,01052,ハーツクライ,タマユラ,Tamayuz
4,5,5,シュハリ,牡6,60.0,大江圭,粕谷,474(+8),美浦,2020105031,01120,カレンブラックヒル,キシャリ,Kris
5,5,6,ケイテンアイジン,牡4,57.0,▲鷲頭,谷,508(+8),栗東,2022109119,01202,アレスバローズ,カシノティーダ,ケイムホーム
6,6,7,ウインシュクラン,セ8,60.0,石神深,和田郎,474(0),美浦,2018101615,01059,スクリーンヒーロー,イクスキューズ,ボストンハーバー
7,6,8,ノイシュタット,牡4,57.0,▲水沼,杉浦,480(+2),美浦,2022105371,01201,ニューイヤーズデイ,スクエアゴールド,ステイゴールド
8,7,9,メイショウヘール,牡5,60.0,中村,大橋,474(+2),栗東,2021104622,01101,シュヴァルグラン,メイショウベルシア,タニノギムレット
9,7,10,ヒノタマボーイ,牡6,57.0,▲坂口,和田雄,466(-4),美浦,2020103021,01211,ヴィクトワールピサ,ブラッキーピサ,タイキシャトル
10,8,11,ハーバーライト,牡5,60.0,難波,高橋忠,532(0),栗東,2021105477,01066,ドレフォン,カールファターレ,キングカメハメハ
11,8,12,コンバスチョン,セ7,60.0,上野,伊藤圭,504(0),美浦,2019101889,01087,ディスクリートキャット,スモーダリング,パイロ
