race_id,式別,馬番,配当,人気
202608020509,単勝,1,880,7
202608020509,複勝,1,260,7
202608020509,複勝,9,210,4
202608020509,複勝,6,240,5
202608020509,枠連,1-7,1140,6
202608020509,馬連,1-9,2650,15
202608020509,ワイド,1-9,940,16
202608020509,ワイド,1-6,1270,21
202608020509,ワイド,6-9,790,13
202608020509,馬単,1→9,5340,26
202608020509,三連複,1-6-9,8490,40
202608020509,三連単,1→9→6,45700,224
