,式別,馬番,配当,人気
0,単勝,4,480,2
1,複勝,4,160,2
2,複勝,2,130,1
3,複勝,8,260,6
4,枠連,2-4,430,1
5,馬連,2-4,560,1
6,ワイド,2-4,280,1
7,ワイド,4-8,1250,19
8,ワイド,2-8,860,9
9,馬単,4→2,1360,3
10,3連複,2-4-8,3510,10
11,3連単,4→2→8,13830,34
