,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,アナザーエース,牡6,57.0,▲井上,宮,524(+8),4.9,2,栗東,2020104005,1151,ヤマカツエース,ホットフレイバー,タバスコキャット
1,2,2,オリンポスカズマ,牡6,60.0,小坂,平田,524(0),11.1,5,栗東,2020102013,1063,ヴィクトワールピサ,サクラサクラサクラ,アッミラーレ
2,3,3,ヘイマー,牡3,58.0,上野,伊藤伸,508(-11),89.2,11,美浦,2023105553,1087,アドマイヤムーン,ヴァレリカ,Dynaformer
3,4,4,ハッピーダンチャン,牡4,60.0,小野寺,小椋,468(+10),28.0,8,栗東,2022100529,1123,ダンカーク,ハッピーエム,プリサイスエンド
4,5,5,ヤマニンエンディマ,牡6,60.0,大江圭,辻,504(-4),25.2,7,美浦,2020105603,1120,サトノダイヤモンド,ヤマニンリップル,スペシャルウィーク
5,5,6,アスクアットバット,セ4,60.0,黒岩,加藤公,488(+14),62.4,12,栗東,2022110139,1072,カラヴァッジオ,Luna Rosa,Malibu Moon
6,6,7,ホウオウスターツ,セ4,57.0,▲水沼,天間,460(-4),30.2,9,美浦,2022103528,1201,ダノンバラード,ツインクルスター,サクラバクシンオー
7,6,8,メイショウヘール,牡5,60.0,中村,大橋,490(+14),6.3,4,栗東,2021104622,1101,シュヴァルグラン,メイショウベルシア,タニノギムレット
8,7,9,アウスヴァール,セ8,60.0,森一,昆,496(-2),2.6,1,栗東,2018101010,1139,ノヴェリスト,カネツスペシャル,スペシャルウィーク
9,7,10,ジロラータ,牡4,60.0,草野,久保田,470(-14),15.7,6,美浦,2022105347,1113,リアルインパクト,シティイメージ,Elusive City
10,8,11,クロライナ,セ4,60.0,田村太雅,室井,476(-2),44.3,10,美浦,2022104753,1105,アルアイン,クロトノーナ,ルーラーシップ
11,8,12,ブラックシールド,牡7,60.0,小牧加,小栗,476(+4),4.8,3,栗東,2019105197,1196,キタサンブラック,ゴールドエッセンス,キングカメハメハ
