,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ヒロノライジン,牡3,57.0,水口,宮地,栗東,2022103483,1133,エスポワールシチー ,ラゴディラゴライ ,Pure Prize ,-0.8186302579760419,10,-0.5196268258499943,10,,
1,2,2,ドラゴン,牡3,57.0,武豊,松永幹,栗東,2022105439,666,マインドユアビスケッツ Mind Your Biscuits(米) ,ノーブルコロネット ,ディープインパクト ,1.9941041362820735,1,0.4531582638791856,1,,
2,3,3,ソードナイト,牡3,56.0,☆小沢,中村,栗東,2022102650,1185,Almanzor (仏) ,ブーケルージュ ,キズナ ,0.6310773329084498,4,-0.018244991945406613,4,,
3,4,4,ダニエルバローズ,牡3,55.0,△吉村,杉山晴,栗東,2022101431,1216,American Pharoah (米) ,ターフウォー Turf War(米) ,War Front ,-0.5886503911978672,9,-0.44008821538026316,9,,
4,5,5,イダイ,牡3,56.0,☆高杉,庄野,栗東,2022106680,1213,アドマイヤマーズ ,ウルド ,ハービンジャー Harbinger(英) ,0.944168770320803,3,0.09003778180612897,3,,
5,6,6,タケルハーロック,牡3,57.0,鮫島駿,高柳大,栗東,2022100333,1157,ナダル Nadal(米) ,ヒシアルコル ,ダイワメジャー ,1.2618470669334096,2,0.1999069222788887,2,,
6,6,7,マジカルレインボー,牝3,54.0,☆田口,尾関,美浦,2022107290,1208,ダイワメジャー ,スウィートショット Sweet Shot(米) ,Trappe Shot ,0.4759232356658715,5,-0.07190508609296689,5,,
7,7,8,アイヨトワニ,牝3,55.0,鮫島良,千葉,美浦,2022105896,1099,ブラックタイド ,マナエヴァ ,クロフネ ,0.2692804426612638,7,-0.14337256213522445,7,,
8,7,9,プリマドンナアスク,牝3,52.0,▲古川奈,矢作,栗東,2022104435,1190,ブリックスアンドモルタル Bricks and Mortar(米) ,トレノエンジェル ,タイキシャトル ,0.3705624851068093,6,-0.10834413536678383,6,,
9,8,10,タガノミナミ,牡3,54.0,▲鷲頭,大根田,栗東,2022106572,1202,ヤマカツエース ,ラヴソレイユ ,フジキセキ ,-1.3883726585016665,11,-0.7166724172678157,11,,
10,8,11,ラブミーナタリー,牝3,51.0,★河原田,矢嶋,美浦,2022103248,1204,コパノリッキー ,メイショウアサツユ ,タイキシャトル ,-0.13964948136544847,8,-0.2848011071302081,8,,
