,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,コシュデリ,牡3,57.0,団野,千田,栗東,2022107069,1180,ホッコータルマエ ,キタサンテンビー ,ダイワメジャー ,1.9696543330388157,1,0.44470229160878333,1,,
1,1,2,ウォーターエルピス,牝3,55.0,鮫島駿,藤野,栗東,2022102796,1157,シャンハイボビー Shanghai Bobby(米) ,ダブルアクセル ,アグネスタキオン ,-0.2986159584721151,11,-0.3397797140729117,11,,
2,2,3,ヒルノハンブルク,牡3,57.0,坂井,武英,栗東,2022103614,1163,ナダル Nadal(米) ,グリントオブライト ,ステイゴールド ,-0.8949518688501518,12,-0.5460226793774402,12,,
3,2,4,ロードシュヴァリエ,牡3,57.0,中井,森田,栗東,2022102639,1141,シュヴァルグラン ,アンダルシア ,アルカセット Alkaased(米) ,0.26246580542355974,9,-0.14572940660311465,9,,
4,3,5,リアライズオーラム,牡3,57.0,川田,須貝,栗東,2022105773,1088,オルフェーヴル ,オリヒメ ,マジェスティックウォリアー Majestic Warrior(米) ,-1.1217855790247862,13,-0.6244731905797379,13,,
5,3,6,ローレルオーブ,牡3,57.0,長岡,杉山佳,栗東,2022106940,1142,ウインブライト ,ルージュマジック ,アフリート Afleet(加) ,-1.7207464721486951,16,-0.831624007006361,16,,
6,4,7,ステイクオール,牡3,57.0,松山,上村,栗東,2022105848,1126,ナダル Nadal(米) ,ボールドアテンプト ,ゴールドアリュール ,0.08084720351042611,10,-0.20854225815398275,10,,
7,4,8,ゴッドエスパーダ,牡3,57.0,角田和,角田,栗東,2022106186,1186,レイデオロ ,キョウワゼノビア ,ハーツクライ ,0.8663649927211688,3,0.0631293204426833,3,,
8,5,9,タガノマカシヤ,牡3,57.0,岩田望,中村,栗東,2022107134,1174,アメリカンペイトリオット ,タガノディーバ ,フジキセキ ,0.9116724145921955,2,0.07879890678548816,2,,
9,5,10,ベルベルコンパス,牡3,57.0,北村友,小栗,栗東,2022103059,1102,ヘニーヒューズ Henny Hughes(米) ,ピンクシャンパン ,ディープインパクト ,-1.353151770164678,14,-0.7044912617732971,14,,
10,6,11,ロードラビリンス,牡3,57.0,西村淳,松下,栗東,2022100653,1171,ミッキーアイル ,ベイコート ,ロードカナロア ,0.4234173516153815,7,-0.09006426288251151,7,,
11,6,12,シュラザック,牡3,57.0,菱田,大根田,栗東,2022102117,1144,モーニン ,レイズアスマイル ,ベーカバド Behkabad(仏) ,0.48350037784346944,5,-0.06928452904777545,5,,
12,7,13,プリンセッサ,牝3,53.0,△吉村,牧田,栗東,2022102138,1216,ナダル Nadal(米) ,アンドリエッテ ,ディープインパクト ,-1.396166188375183,15,-0.7193678120668385,15,,
13,7,14,ボルトテソーロ,牡3,57.0,幸,栗田,美浦,2022106718,732,サンダースノー Thunder Snow(愛) ,カメリアローズII Camelia Rose(仏) ,Oratorio ,0.4272878887049643,6,-0.08872563639233307,6,,
14,8,15,マテンロウブレイブ,牡3,57.0,横山典,高橋亮,栗東,2022105021,660,ナダル Nadal(米) ,プリモンディアル ,ディープインパクト ,0.5259610267280499,4,-0.05459950005269312,4,,
15,8,16,ハグ,牡3,56.0,☆高杉,藤岡,栗東,2022106925,1213,Justify (米) ,フリートバーティー Fleet Bertie(米) ,Afleet Alex ,0.33868282503533065,8,-0.11936972599719556,8,,
