,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,アンバードール,牡4,57.0,川田,吉岡,栗東,2021104448,1088,カリフォルニアクローム California Chrome(米) ,バードオンアスク ,マンハッタンカフェ ,2.0118032858251613,1,0.3209490348529138,1,,
1,2,2,メイショウソウタ,牡4,57.0,松山,岡田,栗東,2021103263,1126,ドレフォン Drefong(米) ,メイショウオウヒ ,マンハッタンカフェ ,-1.0933473014789874,12,-0.4974494719022438,12,,
2,3,3,アドマイヤソラ,牡5,58.0,幸,友道,栗東,2020103212,732,ロードカナロア ,アドマイヤミヤビ ,ハーツクライ ,-0.265671976558413,9,-0.2793060257316765,9,,
3,4,4,ヤマカツレオン,セ8,58.0,和田翼,谷,栗東,2017103384,1146,スピルバーグ ,ヤマカツマヤリス ,クロフネ ,-0.7680015682516496,11,-0.4117008246897488,11,,
4,5,5,ミントマーク,牡5,58.0,Ａルメート,高橋一,栗東,2020103731,5659,ルーラーシップ ,ローズノーブル ,ディープインパクト ,1.1311769094056243,3,0.08884972397966572,3,,
5,5,6,レイワサンサン,牡4,57.0,鮫島駿,高柳大,栗東,2021102406,1157,スワーヴリチャード ,カロンセギュール ,Forest Camp ,1.6349467738488297,2,0.22162412355122,2,,
6,6,7,ベファーナ,牝5,56.0,川須,松下,栗東,2020102757,1128,エピファネイア ,アーヴェイ Ave(英) ,Danehill Dancer (愛) ,-0.174178188327079,7,-0.25519177505022894,7,,
7,6,8,ラファミリア,牡4,57.0,坂井,矢作,栗東,2021105348,1163,レイデオロ ,アイムユアーズ ,ファルブラヴ Falbrav(愛) ,-0.351943475513438,10,-0.3020438814121701,10,,
8,7,9,ブリオメンテ,牡4,55.0,△吉村,千田,栗東,2021100303,1216,ドゥラメンテ ,フィールグリュック ,ストラヴィンスキー ,0.5938535601295529,4,-0.05276808627732323,4,,
9,7,10,ミグラテール,牡4,57.0,酒井,小栗,栗東,2021106758,1034,ラニ ,マツリカ ,エンパイアメーカー Empire Maker(米) ,-0.18500826765837444,8,-0.2580461682603396,8,,
10,8,11,アキミューミュー,牝4,55.0,西村淳,池添,栗東,2021105344,1171,サトノクラウン ,アイスドール ,キャプテンスティーヴ Captain Steve(米) ,0.19266292819336628,6,-0.15850653755990285,6,,
11,8,12,ウォーターリーダー,牡5,58.0,武豊,藤野,栗東,2020100948,666,ルーラーシップ ,ウォーターラボ ,マンハッタンカフェ ,0.4198320876993578,5,-0.09863346677207463,5,,
