,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,フランソワーズ,牝2,55.0,松山,前川,446(0),1.9,1,栗東,2024105037,1126,エフフォーリア,エナチャン,キンシャサノキセキ,2.8846330434989302,1,-0.0612642888575844,1,-0.3209886669720255,2,-0.382199454775864,9,0.0664639738488419,0.418097729843458,77.9,56.0,59.0,2
1,2,2,ジーティーマローネ,牝2,55.0,松若,井上,458(0),56.2,12,栗東,2024102549,1154,ルヴァンスレーヴ,クインポルカ,タニノギムレット,-0.8259078099565981,12,0.2815949223114471,12,0.915605497593651,11,-0.4595910976059517,10,0.0615142226944755,0.0141349766317183,36.3,44.1,40.6,12
2,3,3,ヴォルテックス,牝2,55.0,西村淳,奥村豊,460(0),7.4,2,栗東,2024106435,1171,レイデオロ,タイガーオーキッド,ディープインパクト,0.0869109218387339,4,-0.4584453979143024,7,-1.0636759692866276,12,-0.3462746180977145,8,0.0688950884930944,0.1073494171219689,47.7,43.8,43.4,11
3,4,4,ティエルニート,牝2,55.0,酒井,高橋康,432(0),14.1,8,栗東,2024104573,1034,サートゥルナーリア,ペブルガーデン,ディープインパクト,-0.6497688805575003,11,-0.6670691480781575,11,-0.4075512786904259,8,-0.9224821602203144,12,0.0387208164731371,0.0563394104044376,44.5,44.7,43.4,10
4,5,5,イテルム,牝2,55.0,コレット,田中克,448(0),27.5,9,栗東,2024105889,5691,サリオス,シーユーオールウェイズ,Siyouni,-0.6173122821531087,10,-0.3922594464891033,6,-0.0266617846255141,4,-0.3339379715814772,7,0.0697502871420228,0.0288867522437298,48.4,50.3,47.3,7
5,5,6,ハルカカナタ,牝2,55.0,幸,秋山,500(0),27.5,10,栗東,2024106310,732,ドレフォン,コパカティ,ハービンジャー,-0.557278155931306,9,-0.0380070653482234,8,-0.7509051060451872,5,-0.2433190016316576,6,0.0763662242440026,0.0288867522437298,46.4,48.9,47.4,6
6,6,7,ルクスグレイス,牝2,55.0,Ｍデムーロ,平田,470(0),15.2,6,栗東,2024106324,5212,サトノダイヤモンド,サトノアリシア,ハービンジャー,-0.5270299005852502,8,-0.3197577909330065,10,-0.9443144449747364,9,-0.5477351040670102,11,0.0563242068718934,0.0522622162304322,44.8,44.7,45.8,8
7,6,8,ダヌラーサナ,牝2,53.0,△田山,新谷,470(0),16.6,7,栗東,2024105938,1220,レイデオロ,ダヌスカズマイガール,Shackleford,-0.3548887362875926,7,-0.5871611628909242,5,-0.2267216491069398,7,-0.2005607422883324,5,0.0797023257533761,0.0478545594399138,48.5,44.8,43.7,9
8,7,9,アイオリスパルス,牝2,55.0,吉村,長谷川,452(0),35.8,11,栗東,2024106991,1216,アドマイヤマーズ,クリッパークラス,スクリーンヒーロー,-0.1209173075249721,6,-0.2012919103327865,9,-0.2870003582427942,1,0.2974950052824006,1,0.1311516797767449,0.0221895443213008,45.6,79.4,77.5,1
9,7,10,クラリスバローズ,牝2,55.0,団野,渡辺,454(0),7.0,3,栗東,2024100018,1180,ヘンリーバローズ,ケイト,ブライアンズタイム,0.6592164196652257,2,0.2669430722747892,4,-0.0190635517655017,6,0.2560769177584088,2,0.1258305834952612,0.1134836695289386,51.3,46.8,47.5,5
10,8,11,ココフルール,牝2,55.0,角田和,東田,452(0),21.9,4,栗東,2024102169,1186,サリオス,フェリーチェ,モンテロッソ,-0.0942766958909368,5,-0.0676781434886403,2,-0.1587194264673112,10,0.2086637228475789,3,0.1200037787480769,0.0362733190275146,54.4,44.5,51.7,4
11,8,12,フラッシングルビー,牝2,55.0,高杉,辻野,468(0),10.7,5,栗東,2024107045,1213,アドマイヤマーズ,フラッシングジェム,エイシンフラッシュ,0.1166193838843745,3,-0.2595207281109443,3,0.5076707039957229,3,0.0777336813181429,4,0.1052768124590725,0.074241652962857,54.1,52.0,52.6,3
