,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ヒッグスボソン,牡3,57.0,秋山稔,高橋忠,426(+2),14.0,5,栗東,2023101122,1181,ファインニードル,サマーエモーション,Dubawi,0.8224221442047926,2,0.145911497448876,1,0.0580366125868136,3,0.6668234958628422,2,0.1825411310779137,0.0558472755733137,81.5,54.6,58.2,4
1,1,2,ビサイレント,牝3,55.0,鮫島良,畑端,448(-2),107.5,13,栗東,2023105704,1099,アメリカンペイトリオット,エピックポエトリー,ハーツクライ,-0.4754895386272685,15,-1.006569499981591,17,-1.0254900856594162,14,-1.1306011884734295,10,0.0302516533463927,0.0072731335630362,40.3,42.9,41.1,15
2,2,3,ヒャクギマル,牡3,57.0,国分優,坂口,482(+2),28.5,11,栗東,2023105890,1125,フォーウィールドライブ,マジックビューティ,オルフェーヴル,-0.4362699315021408,12,-1.3557956690885224,4,-0.7045123255841227,5,-1.75757412150998,16,0.0161606278755923,0.0274337494044348,55.6,51.4,52.1,7
3,2,4,リメンバーシドニー,牝3,52.0,△田山,橋口,448(+10),34.6,10,栗東,2023107512,1220,Zoustar,Dulverton,コマンズ,-0.4658528620319497,14,-1.6963738506673962,9,-0.6183016001561249,18,-1.7417136428302182,15,0.0164189866000602,0.0225971635267743,50.7,39.4,45.0,11
4,3,5,リントゥラウル,牡3,57.0,酒井,秋山,460(-8),17.9,6,栗東,2023101735,1034,キズナ,ノースパストラル,キングヘイロー,-0.2157052062429853,8,-0.9252599772183144,7,-0.8328567355422418,16,-1.0123414331406893,8,0.0340493381357084,0.0436794334092956,52.2,42.3,49.0,9
5,3,6,スターアスコット,牝3,53.0,△柴田裕,奥村豊,452(+4),14.9,4,栗東,2023100130,1212,モズアスコット,ハーバーコメット,オルフェーヴル,-0.2504290575408957,9,-1.028170800458269,3,-0.3424618144956574,2,-1.5503880280904905,13,0.0198809900132016,0.0524739502031135,55.8,56.8,58.7,3
6,4,7,メテオロイド,牡3,57.0,吉村,宮地,452(-2),12.3,3,栗東,2023104173,1216,カレンブラックヒル,ケアリイカイ,ディープインパクト,-0.1576437485076496,6,-0.3947948266434407,10,-0.6022803022469536,15,-1.398230481224536,12,0.0231483046898622,0.0635660047175928,49.7,42.3,49.4,8
7,4,8,ディオレガーロ,牝3,52.0,▲川端,長谷川,452(-6),50.9,12,栗東,2023107038,1195,サートゥルナーリア,シュプリームギフト,ディープインパクト,-0.3463429513762498,11,-0.5534312293844443,13,-0.4298143947429186,8,-0.7989019139643778,7,0.0421506503425746,0.0153607437726206,42.1,50.9,41.6,14
8,5,9,メイショウトッド,牡3,57.0,国分恭,安達,432(-12),120.4,17,栗東,2023106559,1124,ドレフォン,メイショウベルボン,ディープブリランテ,-0.4607195410824307,13,-1.9799036142668096,18,-1.3274871338342096,13,-1.03409298736402,9,0.0333167089086776,0.0064938692527108,38.9,44.3,40.4,18
9,5,10,フーガカンタービレ,牝3,53.0,◇今村,大久保,422(-4),12.7,9,栗東,2023104409,1193,ロードカナロア,ベルカント,サクラバクシンオー,0.0035722522054526,5,-1.98354919327015,11,-0.441286574681592,17,-0.626130545352883,6,0.0501000237520192,0.0615639258288497,48.7,42.0,46.5,10
