,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ヒットアンドロール,牡5,60.0,小牧加,田中勝,458(-6),19.8,6,美浦,2021104974,1196,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ
1,2,2,ジーククローネ,セ6,61.0,草野,宮田,462(+6),8.5,4,美浦,2020103537,1113,サトノクラウン,パーフェクトマッチ,サンデーサイレンス
2,3,3,トゥラッタッタ,牡5,60.0,五十嵐,新開,468(-6),2.4,1,美浦,2021102973,1069,デクラレーションオブウォー,クイーンマザー,ハーツクライ
3,4,4,ナックエルドラド,牡4,57.0,▲水沼,小野,504(0),52.7,11,美浦,2022106304,1201,マインドユアビスケッツ,エリンズハープ,ネオユニヴァース
4,5,5,フームスムート,牡9,60.0,難波,水野,522(-4),17.4,9,美浦,2017104238,1066,トゥザグローリー,ディアジーローズ,ワイルドラッシュ
5,6,6,シャンデルナゴル,牡6,60.0,中村,石坂,504(-12),6.7,3,栗東,2020103193,1101,サトノダイヤモンド,アガルタ,キングカメハメハ
6,6,7,ネイチャーシップ,牡8,60.0,大江圭,畠山,506(+2),4.3,2,美浦,2018102917,1120,ゴールドシップ,アルデグロリア,アルデバラン
7,7,8,グラニットピーク,セ6,57.0,▲坂口,田島,496(-6),17.7,8,美浦,2020103507,1211,ダイワメジャー,トレジャーステイト,Oasis Dream
8,7,9,タマモエース,牡7,60.0,高田,宮地,478(-4),11.3,5,栗東,2019104010,1046,ワールドエース,ミサトサウス,サウスヴィグラス
9,8,10,コスモチプリア,牝6,58.0,伴,松永康,450(-10),24.8,7,美浦,2020105774,1149,ゴールドシップ,ホワイトウインド,スウェプトオーヴァーボード
10,8,11,クラウンセト,牡7,60.0,金子,本間,444(-22),33.2,10,美浦,2019101488,1052,ストロングリターン,クラウンイヴ,ブラックタイド
