,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,トウカイエルデ,牡5,58.0,岩田康,茶木,458(+6),7.6,4,栗東,2021100365,5203,オルフェーヴル,トウカイミステリー,キングカメハメハ,-0.0337925095344343,6,-0.0004756262575621,9,-0.1022567459798668,6,-1.0790604843571956,13,0.0363972365690398,0.104265794654743,46.8,46.6,51.0,5
1,2,2,ピコアーガイル,牡5,58.0,横山和,伊藤大,484(+4),3.9,1,美浦,2021110165,1140,Justify,Solar Girl,Lonhro,1.6426757869001287,2,-0.0109598037539903,2,-0.133503641880172,4,-0.837769990196747,12,0.0463297057155388,0.2031846254810378,59.9,48.7,59.3,2
2,3,3,ライツユーアップ,牝4,56.0,丹内,角田,448(-6),15.0,7,栗東,2022103527,1091,スワーヴリチャード,チェアユーアップ,エアジハード,-0.5951874698286168,10,-0.0004756262575621,4,0.0057365453903787,8,-0.7342215920753313,11,0.0513842520727509,0.0528280026250698,52.8,46.3,53.2,3
3,3,4,キーガッツ,牡4,58.0,斎藤,杉山佳,472(0),14.8,5,栗東,2022106513,1178,シュヴァルグラン,キーレター,リンドシェーバー,-0.1445959136708757,7,-0.0109598037539903,5,-0.0533298337007903,1,-0.2924422505279906,6,0.0799267897175077,0.0535418945524356,51.2,81.6,51.7,4
4,4,5,ジーベック,牡5,58.0,古川奈,矢作,460(-4),19.4,10,栗東,2021103242,1190,Gun Runner,ステラエージェント,More Than Ready,-0.3086022253217935,8,0.0070747361998612,10,0.0151316033237464,5,-0.2671568809978313,5,0.0819735354441608,0.0408463937822704,44.6,48.1,44.5,10
5,4,6,キープサインオン,牡4,58.0,浜中,加藤征,476(-2),24.7,9,美浦,2022103556,1115,ビッグアーサー,ブレッシングテレサ,マンハッタンカフェ,-0.4371784399481833,9,0.0070747361998612,6,-0.0098125050688579,10,-0.2620913348891712,4,0.0823898296562392,0.0320817829706901,49.6,45.3,50.1,7
6,5,7,アスクケンタッキー,牡3,55.0,武豊,藤原,468(-4),3.2,2,栗東,2023110100,666,Good Magic,Entirely,Point of Entry,2.5070869834492244,1,-0.0109598037539903,1,-0.0881260451538401,2,-0.6129660835630769,9,0.0580083667307864,0.2476312623050148,79.2,60.5,79.5,1
7,5,8,フレッシュラン,牝4,56.0,河原田,尾形,478(+6),30.8,13,美浦,2022102995,1204,ホッコータルマエ,フレッシュスマイル,サウスヴィグラス,-0.6926099832869236,12,0.0070747361998612,14,0.0570252344854671,13,-0.3946842115150137,7,0.0721587913601108,0.0257279233563651,40.7,44.4,41.6,12
8,6,9,レイユール,牝4,56.0,嶋田,手塚久,426(+2),20.0,8,美浦,2022101464,1134,キズナ,レイカーラ,キングカメハメハ,0.352479284242757,3,0.0070747361998612,7,-0.0696948373363575,14,0.163698298907349,2,0.1261222451975618,0.0396210019688023,48.2,44.3,47.1,8
9,6,10,エルサトアナ,牝4,56.0,遠藤,本田,438(+12),45.1,11,栗東,2022100933,1218,カリフォルニアクローム,クイーンハーツ,キングカメハメハ,-1.083071695029518,14,0.0009287233360444,12,0.0329069494986505,11,-0.6668719513011727,10,0.0549641627439327,0.0175702891214201,42.3,45.1,42.0,11
10,7,11,ラスティングスノー,牝3,53.0,横山琉,池上,460(-8),12.3,6,美浦,2023103293,1192,モズアスコット,プレザントブリーズ,マンハッタンカフェ,0.2291306467022357,5,0.0070747361998612,8,-0.1543856141226066,3,-0.1376265031465026,3,0.0933099581311158,0.0644243934452071,47.5,51.3,46.5,9
11,7,12,ヴィヴァクラウン,牡5,58.0,横山武,杉浦,470(0),9.2,3,美浦,2021101595,1170,サトノクラウン,セトノフラッパー,タイキシャトル,-0.6596051469533235,11,0.0009287233360444,3,-0.0936435950841765,9,-2.0418752684909025,14,0.0138970705926259,0.0861326129756573,53.3,46.3,50.7,6
12,8,13,モレポブラーノ,牡4,58.0,小沢,庄野,550(-8),40.5,12,栗東,2022105443,1185,マインドユアビスケッツ,ハラペーニョペパー,ゼンノロブロイ,0.2390284426073355,4,0.0009287233360444,11,0.0143441991135486,12,0.2595605200181504,1,0.1388110780187619,0.019565926898174,43.0,45.0,41.5,13
13,8,14,ムチャスグラシアス,牝5,56.0,佐々木,菊川,442(-4),63.0,14,美浦,2021104217,1197,カリフォルニアクローム,ロスグラシアレス,シンボリクリスエス,-1.0157577603280126,13,0.0070747361998612,13,0.0557279483218922,7,-0.5095742291175631,8,0.0643269780498668,0.0125780958631118,40.7,46.5,41.5,14
