,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,レゾルートハート,牡2,55.0,佐々木,畑端,478(0),28.1,8,栗東,2024106981,1197,マインドユアビスケッツ,エヌワイパフューム,ジャスタウェイ,-0.7146423911123211,11,0.0002250289596722,9,0.0178092763171125,9,-0.8106085722184605,10,0.0633250222567256,0.0277647231661854,46.3,44.7,46.7,8
1,2,2,ジーティーマドンナ,牝2,55.0,北村友,千葉,418(0),13.3,6,美浦,2024102392,1102,キタサンブラック,ティーエスクライ,ハーツクライ,-0.3609352194966465,6,0.0002250289596722,7,-0.1653594821605147,6,-0.6107510969103703,8,0.0773343340072958,0.0586608060879557,47.6,46.5,47.0,7
2,3,3,リーゼントエース,牡2,55.0,池添,矢作,448(0),6.1,3,栗東,2024104845,1032,エフフォーリア,リーゼントアイリス,キングズベスト,0.271074039976772,2,0.0002250289596722,2,-0.0434487573456133,2,-0.4777755826401823,5,0.0883329799667932,0.1278997903229199,52.8,52.8,52.9,3
3,4,4,シガレス,牝2,52.0,▲和田陽,武幸,448(0),85.3,10,栗東,2024105402,1223,マテラスカイ,ワイングラス,スペシャルウィーク,-0.6527523586886727,10,0.0002250289596722,10,0.0178092763171125,10,-0.4612966530988092,4,0.0898006727093526,0.0091464093900329,40.0,44.6,40.0,10
4,5,5,イリスロッソ,牝2,53.0,◇古川奈,伊坂,434(0),18.3,5,美浦,2024101054,1190,フィレンツェファイア,ホウヨウバルキリー,スターリングローズ,-0.448860878806123,8,0.0002250289596722,5,-0.0533298337007903,5,-0.5497441568470841,7,0.0821991501110689,0.0426332634409733,49.8,46.6,48.4,5
5,6,6,サノノベリー,牝2,54.0,☆舟山,天間,428(0),27.0,9,美浦,2024100077,1221,グレーターロンドン,マッチョベリー,Macho Uno,-0.5505083564062496,9,0.0002250289596722,8,0.0178092763171125,1,-0.5396662283632858,6,0.0830317355890103,0.0288958785544374,46.5,78.8,75.9,1
6,6,7,アークレイリ,牡2,55.0,丹内,尾形,462(0),12.7,4,美浦,2024105705,1091,オメガパフューム,ポリカ,スマートボーイ,-0.3829754484990532,7,0.0002250289596722,3,-0.0434487573456133,3,-0.68549489084346,9,0.0717648088690728,0.0614321827535284,51.4,51.0,49.1,4
7,7,8,フレイコン,牡2,55.0,横山武,伊藤圭,490(0),1.6,1,美浦,2024100671,1170,Blue Point,トゥウィンクルベリー,Kodiac,2.83028336719259,1,0.0002250289596722,1,-0.0434487573456133,4,-0.978780219028001,11,0.053522862579108,0.487617950606132,77.3,50.4,57.7,2
8,7,9,シンゼンノト,牡2,55.0,吉田隼,荒川,480(0),19.3,7,栗東,2024102290,1095,ヴァンゴッホ,ミラクルアイドル,オレハマッテルゼ,0.1582590733984466,4,0.0009287233360444,6,0.0149033216059374,8,0.1255287155547657,1,0.1614859004488346,0.0404242860606119,47.7,44.9,44.9,9
9,8,10,レジェンドヴァーサ,牡2,55.0,横山琉,相沢,460(0),90.2,11,美浦,2024105107,1192,ミッキーアイル,サラシー,Teofilo,-0.3587223897317563,5,0.0009287233360444,11,0.0149033216059374,7,-0.1097808496695844,2,0.1276265306694005,0.0086495423610843,39.6,45.2,39.6,11
10,8,11,ライフイズアート,牝2,55.0,岩田康,青木,418(0),7.3,2,美浦,2024105362,5203,モズアスコット,ファストライフ,スーパーホーネット,0.2097805621730131,3,0.0009287233360444,4,-0.0434487573456133,11,-0.3380818053069024,3,0.1015760027933374,0.1068751672561385,51.1,44.4,47.8,6
