,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,コウソクユノ,牝3,55.0,横山琉,中舘,428(+4),32.1,9,美浦,2023106929,1192,ブリックスアンドモルタル,エルディアマンテ,キングカメハメハ,-0.4129801786708948,8,-0.2329568533357146,12,-0.3999171490271874,3,-0.6049452553558264,5,0.0726245855603318,0.0244620280228286
1,2,2,パレホ,牝3,55.0,吉村智,中川,512(-10),98.6,12,美浦,2023100985,5390,スワーヴリチャード,スターライラック,シニスターミニスター,-0.878243765358331,13,-0.0722950779835167,8,-1.1178180273946754,12,-1.264369866582023,9,0.0375577180371256,0.0079638042548965
2,3,3,ジャーナーリア,牡3,57.0,池添,本田,528(0),15.9,7,栗東,2023100596,1032,サートゥルナーリア,ベルライン,ダイワメジャー,0.556912588100195,5,0.0943930095862095,2,-0.1041123145697145,2,0.154427666813997,2,0.1551940750436608,0.0493856037442013
3,3,4,イーサンミラー,牡3,57.0,Ｒヘルナン,稲垣,420(-2),10.5,5,美浦,2023106657,5695,ウインブライト,アースヴィグラス,サウスヴィグラス,-0.3709051279172046,7,-0.2329568533357146,12,-1.09095807524672,11,-1.5956767455240204,12,0.0269658707038791,0.0747839142412191
4,4,5,ロジマギー,牝3,55.0,丹内,宮田,466(0),17.8,8,美浦,2023107361,1091,ハービンジャー,ロジマギーゴー,ハーツクライ,-0.6637529684224838,10,-0.2329568533357146,12,-0.7250448505238739,7,-1.664222667360736,13,0.0251793973985538,0.0441141067153259
5,4,6,ハイランダー,牡3,57.0,石川倭,古賀大,468(+4),47.7,10,美浦,2023103504,5534,スワーヴリチャード,パンズラビリンス,メイショウサムソン,-0.8388155265030897,12,0.0943930095862095,2,-1.2065908819336535,13,-1.3808106189327232,11,0.0334294799862398,0.0164618679147337
6,5,7,レーヌペスカ,牝3,55.0,古川吉,角田,422(+2),122.0,13,栗東,2023103193,1015,クリソベリル,プリンセスペスカ,チーフベアハート,-0.6727648514099515,11,0.0097166321421018,6,-0.5097988955596099,4,-0.7654008937313616,7,0.0618583980294178,0.0064363204879737
7,5,8,メイショウセンドウ,牡3,57.0,横山和,飯田,474(+6),4.6,2,栗東,2023101756,1140,ホッコータルマエ,ルンルンクオリティ,ヴィクトワールピサ,0.5871244751223149,4,-0.2726901529406558,14,-0.5292759825117386,5,-1.273250868989287,10,0.0372256446078995,0.1707024129419133
8,6,9,モンロワイヤル,牡3,57.0,ナレドゥ,牧浦,468(0),8.0,3,栗東,2023100926,5694,フィレンツェファイア,サンドスラッシュ,Holy Roman Emperor,0.6267314267075514,3,0.0943930095862095,2,0.0893557583109373,1,-0.152614483501876,3,0.1141638024213652,0.0981538874416001
9,6,10,ルージュラベル,牝3,54.0,☆長浜,鹿戸,418(-6),51.9,11,美浦,2023106624,1214,エピファネイア,レッドベルディエス,ディープインパクト,-0.6186862734748877,9,-0.0722950779835167,8,-0.7604545902815334,8,-0.8100277155471851,8,0.0591585453061138,0.0151296936326165
10,7,11,ハイテイラオユエ,牡3,54.0,▲小林美,辻,538(+4),7.7,4,美浦,2023102520,1206,クリソベリル,ハレイワクィーン,キングカメハメハ,1.4787694771509157,2,-0.1041026031940016,10,-0.8092869015551541,9,0.4316428838841982,1,0.2047708702262377,0.1019780648743897
11,7,12,ジュラトリー,牝3,55.0,落合玄,池上,448(-4),18.4,6,美浦,2023103437,5578,コントレイル,ジュマイエル,Lope de Vega,-0.0748766352062536,6,0.0943930095862095,2,-0.8759720096822302,10,-0.3697330212497671,4,0.0918829737324375,0.0426756032354783
12,8,13,タイガーゲイト,牡3,57.0,松本,大和田,486(0),123.7,14,美浦,2023102964,1191,リオンディーズ,ロイヤルヴォルト,ディープインパクト,-1.073880220617144,14,0.060055897921531,5,-2.2426127727274108,14,-2.028545284944941,14,0.0174912976306379,0.0063478666089959
13,8,14,リン,牡3,57.0,松山,四位,474(+6),2.3,1,栗東,2023101576,1126,キタサンブラック,ティーンエイジギャル,Acclamation,2.3553675804992653,1,-0.0409018752607245,7,-0.6942039945857843,6,-0.7551247470461863,6,0.0624973413160988,0.3414048258838266
