,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ハイウェイスター,牝5,58.0,中村,宮本,502(+6),栗東,2021106621,01101,アメリカンペイトリオット,キエレ,Distorted Humor
1,2,2,アルマーザアミール,牡5,60.0,小牧加,斉藤崇,504(-6),栗東,2021105455,01196,サトノダイヤモンド,オーサムフェザー,Awesome of Course
2,3,3,コンテナワールド,牡5,58.0,▲井上,中竹,494(+2),栗東,2021104924,01151,エピファネイア,ユッカマウンテン,アグネスタキオン
3,4,4,マホロバ,牡6,60.0,草野,和田郎,516(+2),美浦,2020105732,01113,キズナ,シアージュ,Raven's Pass
4,5,5,アトラクティーボ,牡7,57.0,▲坂口,武藤,526(-8),美浦,2019100641,01211,ワンアンドオンリー,シャンパンルージュ,ファスリエフ
5,6,6,フームスムート,牡9,60.0,上野,水野,526(-8),美浦,2017104238,01087,トゥザグローリー,ディアジーローズ,ワイルドラッシュ
6,7,7,ベイビーベリッシモ,牡4,59.0,五十嵐,大和田,494(0),美浦,2022102728,01069,ロゴタイプ,カルテブランシェ,ゴールドアリュール
7,7,8,ソルアマゾン,牡5,60.0,難波,小栗,476(+14),栗東,2021104667,01066,リオンディーズ,アミカブルナンバー,ダイワメジャー
8,8,9,スノーディーヴァ,牝5,57.0,▲水沼,深山,468(+8),美浦,2021103504,01201,エイシンヒカリ,スノースタイル,ホワイトマズル
9,8,10,エンデュミオン,牡9,59.0,鷲頭,清水久,--,栗東,2017106153,01202,ヴィクトワールピサ,ヒラボクビジン,ブライアンズタイム
