,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202606040701,1,2,2,カルマンフィルター,牡5,60.0,草野,0:3:19.0,,2,5.3,,,美浦 戸田,496(+4),障害,2880,重,未勝利
202606040701,2,1,1,アドアプローズ,牡5,60.0,上野,0:3:19.2,1.1/4,9,25.5,,,美浦 小手川,478(-6),障害,2880,重,未勝利
202606040701,3,8,14,グランナヴィール,牡5,60.0,難波,0:3:19.3,1/2,1,3.4,,,美浦 堀内,556(+16),障害,2880,重,未勝利
202606040701,4,3,3,コトブキヘスペラス,牡6,60.0,小野寺,0:3:19.8,3,12,62.3,,,美浦 金成,480(+2),障害,2880,重,未勝利
202606040701,5,5,8,バンデルオーラ,牡7,60.0,伴,0:3:19.9,クビ,5,11.4,,,美浦 岩戸,490(+4),障害,2880,重,未勝利
202606040701,6,6,9,アバットゥータ,牡4,57.0,▲井上,0:3:20.3,2.1/2,4,5.9,,,栗東 中竹,486(+8),障害,2880,重,未勝利
202606040701,7,5,7,アルシミスト,セ5,58.0,△坂口,0:3:21.7,8,6,12.0,,,美浦 浅利,510(-10),障害,2880,重,未勝利
202606040701,8,7,12,ニシノブレイゼスト,牡4,60.0,五十嵐,0:3:21.9,1.1/4,8,17.1,,,美浦 高木,504(+2),障害,2880,重,未勝利
202606040701,9,4,5,ゴーツウキリシマ,牝6,58.0,黒岩,0:3:22.0,クビ,7,14.9,,,栗東 牧田,468(+1),障害,2880,重,未勝利
202606040701,10,6,10,ブランフォルテ,牡4,57.0,▲水沼,0:3:22.4,2.1/2,3,5.4,,,美浦 辻,484(-2),障害,2880,重,未勝利
202606040701,11,3,4,テンプーシャオン,牡6,60.0,金子,0:3:24.1,10,14,152.8,,,美浦 和田勇,430(-6),障害,2880,重,未勝利
202606040701,12,7,11,ロイガヴェーグル,牡6,60.0,中村,0:3:24.7,3.1/2,13,90.3,,,栗東 浜田,454(+8),障害,2880,重,未勝利
202606040701,13,4,6,シュハリ,牡6,60.0,大江圭,0:3:28.6,大,10,36.9,,,美浦 粕谷,464(+2),障害,2880,重,未勝利
202606040701,14,8,13,サトノドルチェ,セ7,60.0,江田勇,0:3:30.1,9,11,40.9,,,美浦 蛯名利,458(+8),障害,2880,重,未勝利
