,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202606040607,1,1,2,マイネルマスター,牡3,55.0,三浦,0:2:04.6,,6,14.4,37.1,,美浦 青木,452(-10),芝,2000,重,１勝クラス
202606040607,2,7,13,エルナト,牡3,55.0,西村淳,0:2:04.7,1/2,9,18.8,37.5,,栗東 斉藤崇,494(+5),芝,2000,重,１勝クラス
202606040607,3,1,1,セットエトワール,牝3,53.0,佐々木,0:2:05.6,5,7,14.4,37.9,,美浦 鹿戸,488(+18),芝,2000,重,１勝クラス
202606040607,4,3,5,ウインボレロ,牡5,58.0,武藤,0:2:05.9,1.1/2,14,77.6,38.2,,美浦 水野,450(+8),芝,2000,重,１勝クラス
202606040607,5,2,4,モウエエデショー,牡3,55.0,原,0:2:06.0,1/2,2,3.9,38.0,,美浦 萱野,482(+8),芝,2000,重,１勝クラス
202606040607,6,5,9,ケイツールピア,牝5,53.0,▲上里,0:2:06.2,1.1/2,17,191.2,37.8,,美浦 蛯名利,428(-8),芝,2000,重,１勝クラス
202606040607,7,4,8,ノーザンタイタン,牝3,53.0,横山武,0:2:06.4,1,8,15.4,38.0,,美浦 中舘,452(-12),芝,2000,重,１勝クラス
202606040607,8,8,16,コスモアチーブ,牡4,58.0,丹内,0:2:06.4,ハナ,5,13.1,39.0,,美浦 伊藤大,468(-4),芝,2000,重,１勝クラス
202606040607,9,5,10,アレクレア,牝4,56.0,松岡,0:2:06.5,3/4,10,19.0,37.9,,美浦 蛯名利,428(0),芝,2000,重,１勝クラス
202606040607,10,7,15,キョウエイグッド,牡4,58.0,木幡巧,0:2:06.6,1/2,12,58.6,38.6,,美浦 千葉,440(+2),芝,2000,重,１勝クラス
202606040607,11,4,7,マイネルダンク,セ8,58.0,柴田大,0:2:06.8,1,16,181.2,37.9,,美浦 和田雄,432(-20),芝,2000,重,１勝クラス
202606040607,12,6,12,マイネルモメンタム,牡5,58.0,津村,0:2:07.3,3,4,9.2,39.3,,美浦 相沢,494(+6),芝,2000,重,１勝クラス
202606040607,13,8,18,リアルセンター,牝5,56.0,横山琉,0:2:07.5,1.1/4,11,35.2,39.7,,美浦 千葉,508(-10),芝,2000,重,１勝クラス
202606040607,14,7,14,マーゴットコマチ,牝4,56.0,小崎,0:2:07.5,アタマ,15,122.5,40.5,,美浦 伊坂,438(+18),芝,2000,重,１勝クラス
202606040607,15,8,17,ソロンゴ,牝3,52.0,☆長浜,0:2:07.6,1/2,13,72.3,40.0,,美浦 高橋文,454(+6),芝,2000,重,１勝クラス
202606040607,16,6,11,エピックフライト,牡3,55.0,ルメー,0:2:08.1,3,1,3.4,40.0,,美浦 黒岩,516(+18),芝,2000,重,１勝クラス
202606040607,17,2,3,グランプラネッタ,セ4,58.0,野中,0:2:08.3,1,18,259.0,39.9,,美浦 小島,478(+6),芝,2000,重,１勝クラス
202606040607,18,3,6,ピエスユニーク,牝3,53.0,戸崎圭,0:2:08.4,クビ,3,8.1,40.0,,美浦 手塚久,482(+8),芝,2000,重,１勝クラス
