,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202606040608,1,2,4,グラティアム,牝3,54.0,ルメー,0:1:09.8,,2,3.6,,,美浦 嘉藤,464(-2),ダート,1200,不良,１勝クラス
202606040608,2,1,1,フラッシュポイント,牝4,56.0,ミシェ,0:1:10.2,2.1/2,7,18.6,,,美浦 西田,516(+14),ダート,1200,不良,１勝クラス
202606040608,3,3,5,カンレイスター,牝3,54.0,横山武,0:1:10.4,1.1/4,1,3.4,,,美浦 矢野,438(-4),ダート,1200,不良,１勝クラス
202606040608,4,5,10,カセノアステリア,牝3,54.0,津村,0:1:10.4,アタマ,3,3.7,,,美浦 鈴木伸,496(-8),ダート,1200,不良,１勝クラス
202606040608,5,2,3,シュヴァルム,牝4,55.0,☆長浜,0:1:10.7,1.1/2,15,201.8,,,美浦 尾関,462(+2),ダート,1200,不良,１勝クラス
202606040608,6,6,12,シスター,牝4,56.0,石橋脩,0:1:10.8,1/2,11,41.2,,,美浦 勢司,492(+22),ダート,1200,不良,１勝クラス
202606040608,7,7,13,ミスチヴマリアンヌ,牝3,54.0,横山和,0:1:10.9,クビ,10,32.6,,,美浦 小野,436(0),ダート,1200,不良,１勝クラス
202606040608,8,7,14,タヤスロレンヌ,牝3,54.0,江田照,0:1:11.0,3/4,9,29.0,,,美浦 岩戸,478(+10),ダート,1200,不良,１勝クラス
202606040608,9,4,8,マオノクラッシュ,牝4,56.0,木幡巧,0:1:11.1,クビ,5,15.7,,,美浦 黒岩,502(+2),ダート,1200,不良,１勝クラス
202606040608,10,8,16,ブルーユンチェリー,牝4,56.0,武藤,0:1:11.1,クビ,12,58.2,,,美浦 水野,464(+4),ダート,1200,不良,１勝クラス
202606040608,11,4,7,プレザントトーン,牝3,54.0,佐々木,0:1:11.2,クビ,16,203.1,,,美浦 秋本,478(-4),ダート,1200,不良,１勝クラス
202606040608,12,3,6,ミッシオーネ,牝4,54.0,◇小林美,0:1:11.6,2.1/2,13,119.3,,,美浦 秋本,446(+10),ダート,1200,不良,１勝クラス
202606040608,13,8,15,ペイトー,牝3,54.0,木幡初,0:1:11.6,アタマ,8,26.9,,,美浦 武市,492(-6),ダート,1200,不良,１勝クラス
202606040608,14,6,11,チェルシー,牝5,56.0,菊沢,0:1:11.7,1/2,4,12.8,,,美浦 中舘,446(+6),ダート,1200,不良,１勝クラス
202606040608,15,5,9,マジェステラ,牝3,54.0,大野,0:1:11.9,3/4,6,16.4,,,美浦 千葉,472(-8),ダート,1200,不良,１勝クラス
202606040608,16,1,2,ドルンレースツェン,牝4,54.0,△石神道,0:1:12.6,4,14,163.9,,,美浦 矢嶋,430(+6),ダート,1200,不良,１勝クラス
