,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202606040805,1,3,4,フェイマスジャズ,牝2,55.0,杉原,0:1:53.8,,4,11.9,36.0,,美浦 大和田,462(0),芝,1800,重,新馬
202606040805,2,7,12,ジャロロッソ,牡2,55.0,ルメー,0:1:54.0,1,1,2.2,36.0,,美浦 上原佑,456(0),芝,1800,重,新馬
202606040805,3,4,6,ブンブクチャガマ,牝2,55.0,嶋田,0:1:54.5,3.1/2,3,10.3,36.8,,美浦 手塚久,498(0),芝,1800,重,新馬
202606040805,4,6,10,ペプチドデバイス,牡2,55.0,横山武,0:1:54.6,クビ,2,2.8,36.2,,栗東 武英,456(0),芝,1800,重,新馬
202606040805,5,4,5,ニシノカチオトコ,牡2,55.0,原田和,0:1:55.1,3,5,17.1,36.9,,美浦 栗田,478(0),芝,1800,重,新馬
202606040805,6,8,14,シダモフレイバー,牡2,55.0,戸崎圭,0:1:55.2,1/2,6,18.3,37.1,,美浦 久保田,460(0),芝,1800,重,新馬
202606040805,7,5,7,スペーストラベラー,牡2,55.0,菊沢,0:1:55.3,3/4,12,58.6,36.8,,美浦 菊沢,446(0),芝,1800,重,新馬
202606040805,8,7,11,ゾネンバーデン,牡2,55.0,柴田大,0:1:55.5,1.1/4,11,54.7,37.1,,美浦 岩戸,418(0),芝,1800,重,新馬
202606040805,9,2,2,エバーラスティング,牝2,53.0,◇小林美,0:1:56.4,5,7,27.7,37.5,,美浦 小笠,438(0),芝,1800,重,新馬
202606040805,10,5,8,ブーケフォーミー,牝2,55.0,横山琉,0:1:56.4,クビ,8,35.9,37.5,,美浦 柄崎,488(0),芝,1800,重,新馬
202606040805,11,3,3,ヴァイスリッター,牡2,55.0,江田照,0:1:56.6,1,14,162.0,38.6,,美浦 加藤征,466(0),芝,1800,重,新馬
202606040805,12,8,13,サヴィッジブロウ,牡2,55.0,原,0:1:56.8,1,9,38.2,37.7,,美浦 上原博,524(0),芝,1800,重,新馬
202606040805,13,1,1,レックスダミアーニ,牡2,54.0,☆長浜,0:1:56.8,クビ,10,46.1,38.2,,美浦 池上,440(0),芝,1800,重,新馬
202606040805,14,6,9,ハナミヤビ,牝2,55.0,木幡巧,0:1:57.1,2,13,82.1,38.0,,美浦 勢司,398(0),芝,1800,重,新馬
