,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,アニージョ,セ6,60.0,草野,畠山,美浦,2019103634,01113,ケープブランコ Cape Blanco(英) ,アニムス ,ゴールドアリュール 
1,2,2,フェーングロッテン,セ6,60.0,高田,宮本,栗東,2019105366,01046,ブラックタイド ,ピクシーホロウ ,キングヘイロー 
2,3,3,ジェンマ,牡4,57.0,▲坂口,尾形,美浦,2021101210,01211,キングリオ ,チェス ,フリオーソ 
3,3,4,ビーンスターク,牡4,59.0,田村,森田,栗東,2021103578,01105,ロジャーバローズ ,アートオブビーン ,アグネスデジタル 
4,4,5,フリーダムレイン,牡4,59.0,中村,高橋一,栗東,2021105792,01101,ミッキーアイル ,マンデラ Mandela(独) ,Acatenango 
5,4,6,デスティネ,牡8,57.0,▲土田,萱野,美浦,2017106490,01198,リアルインパクト ,スプリングドリュー ,ミシル Misil(米) 
6,5,7,ジーティーオウジャ,セ4,57.0,▲水沼,石栗,美浦,2021104943,01201,ルーラーシップ ,アラドヴァル ,シンボリクリスエス 
7,5,8,セッタレダスト,牡6,60.0,上野,嘉藤,美浦,2019106985,01087,トゥザグローリー ,ラストアウィン ,ラストタイクーン Last Tycoon(愛) 
8,6,9,トゥラッタッタ,牡4,59.0,石神深,新開,美浦,2021102973,01059,デクラレーションオブウォー ,クイーンマザー ,ハーツクライ 
9,6,10,グランサバナ,セ5,60.0,五十嵐,田村,美浦,2020103289,01069,ドレフォン Drefong(米) ,エンジェルフォール ,ジャングルポケット 
10,7,11,バレンタインソング,牡5,60.0,黒岩,小崎,栗東,2020102795,01072,ハービンジャー Harbinger(英) ,エマソング Emma Song(米) ,Unbridled's Song (米) 
11,7,12,ウイントールキン,牡4,59.0,大江圭,天間,美浦,2021101525,01120,ドレフォン  Drefong(米)  ,シンボリバーグ  ,ダイワメジャー  
12,8,13,カイザーブリッツ,セ5,60.0,金子,伊藤圭,美浦,2020106384,01052,ロードカナロア ,エルパンドール ,ネオユニヴァース 
13,8,14,スマラグドス,牡5,60.0,森一,西園正,栗東,2020102798,01139,ハーツクライ ,エメラルドスター Emerald Star(英) ,Mount Nelson (英) 
