,race_type,course_len,ground_state,class,馬体重
0,芝,1150,全,all,
1,芝,1150,良,all,
2,芝,1150,稍重,all,
3,芝,1150,重,all,
4,芝,1150,不良,all,
5,芝,1150,全,未勝利,
6,芝,1150,良,未勝利,
7,芝,1150,稍重,未勝利,
8,芝,1150,重,未勝利,
9,芝,1150,不良,未勝利,
10,芝,1150,全,新馬,
11,芝,1150,良,新馬,
12,芝,1150,稍重,新馬,
13,芝,1150,重,新馬,
14,芝,1150,不良,新馬,
15,芝,1150,全,1勝クラス,
16,芝,1150,良,1勝クラス,
17,芝,1150,稍重,1勝クラス,
18,芝,1150,重,1勝クラス,
19,芝,1150,不良,1勝クラス,
20,芝,1150,全,2勝クラス,
21,芝,1150,良,2勝クラス,
22,芝,1150,稍重,2勝クラス,
23,芝,1150,重,2勝クラス,
24,芝,1150,不良,2勝クラス,
25,芝,1150,全,3勝クラス,
26,芝,1150,良,3勝クラス,
27,芝,1150,稍重,3勝クラス,
28,芝,1150,重,3勝クラス,
29,芝,1150,不良,3勝クラス,
30,芝,1150,全,オープン,
31,芝,1150,良,オープン,
32,芝,1150,稍重,オープン,
33,芝,1150,重,オープン,
34,芝,1150,不良,オープン,
35,芝,1200,全,all,460.2
36,芝,1200,良,all,461.3
37,芝,1200,稍重,all,447.6
38,芝,1200,重,all,452.5
39,芝,1200,不良,all,454.2
40,芝,1200,全,未勝利,450.1
41,芝,1200,良,未勝利,451.1
42,芝,1200,稍重,未勝利,450.3
43,芝,1200,重,未勝利,445.0
44,芝,1200,不良,未勝利,454.0
45,芝,1200,全,新馬,450.8
46,芝,1200,良,新馬,447.6
47,芝,1200,稍重,新馬,435.2
48,芝,1200,重,新馬,458.0
49,芝,1200,不良,新馬,500.0
50,芝,1200,全,1勝クラス,459.8
51,芝,1200,良,1勝クラス,461.9
52,芝,1200,稍重,1勝クラス,443.2
53,芝,1200,重,1勝クラス,440.5
54,芝,1200,不良,1勝クラス,455.0
55,芝,1200,全,2勝クラス,474.2
56,芝,1200,良,2勝クラス,476.0
57,芝,1200,稍重,2勝クラス,475.0
58,芝,1200,重,2勝クラス,
59,芝,1200,不良,2勝クラス,420.0
60,芝,1200,全,3勝クラス,476.9
61,芝,1200,良,3勝クラス,468.9
62,芝,1200,稍重,3勝クラス,497.7
63,芝,1200,重,3勝クラス,
64,芝,1200,不良,3勝クラス,
65,芝,1200,全,オープン,484.2
66,芝,1200,良,オープン,481.3
67,芝,1200,稍重,オープン,
68,芝,1200,重,オープン,506.0
69,芝,1200,不良,オープン,
70,芝,1700,全,all,
71,芝,1700,良,all,
72,芝,1700,稍重,all,
73,芝,1700,重,all,
74,芝,1700,不良,all,
75,芝,1700,全,未勝利,
76,芝,1700,良,未勝利,
77,芝,1700,稍重,未勝利,
78,芝,1700,重,未勝利,
79,芝,1700,不良,未勝利,
80,芝,1700,全,新馬,
81,芝,1700,良,新馬,
82,芝,1700,稍重,新馬,
83,芝,1700,重,新馬,
84,芝,1700,不良,新馬,
85,芝,1700,全,1勝クラス,
86,芝,1700,良,1勝クラス,
87,芝,1700,稍重,1勝クラス,
88,芝,1700,重,1勝クラス,
89,芝,1700,不良,1勝クラス,
90,芝,1700,全,2勝クラス,
91,芝,1700,良,2勝クラス,
92,芝,1700,稍重,2勝クラス,
93,芝,1700,重,2勝クラス,
94,芝,1700,不良,2勝クラス,
95,芝,1700,全,3勝クラス,
96,芝,1700,良,3勝クラス,
97,芝,1700,稍重,3勝クラス,
98,芝,1700,重,3勝クラス,
99,芝,1700,不良,3勝クラス,
100,芝,1700,全,オープン,
101,芝,1700,良,オープン,
102,芝,1700,稍重,オープン,
103,芝,1700,重,オープン,
104,芝,1700,不良,オープン,
105,芝,1800,全,all,461.5
106,芝,1800,良,all,461.9
107,芝,1800,稍重,all,457.2
108,芝,1800,重,all,452.1
109,芝,1800,不良,all,492.0
110,芝,1800,全,未勝利,462.2
111,芝,1800,良,未勝利,464.6
112,芝,1800,稍重,未勝利,450.5
113,芝,1800,重,未勝利,482.0
114,芝,1800,不良,未勝利,
115,芝,1800,全,新馬,463.6
116,芝,1800,良,新馬,468.7
117,芝,1800,稍重,新馬,461.6
118,芝,1800,重,新馬,421.0
119,芝,1800,不良,新馬,496.0
120,芝,1800,全,1勝クラス,459.2
121,芝,1800,良,1勝クラス,458.4
122,芝,1800,稍重,1勝クラス,462.5
123,芝,1800,重,1勝クラス,451.3
124,芝,1800,不良,1勝クラス,
125,芝,1800,全,2勝クラス,451.8
126,芝,1800,良,2勝クラス,452.3
127,芝,1800,稍重,2勝クラス,453.0
128,芝,1800,重,2勝クラス,458.0
129,芝,1800,不良,2勝クラス,
130,芝,1800,全,3勝クラス,487.0
131,芝,1800,良,3勝クラス,487.0
132,芝,1800,稍重,3勝クラス,
133,芝,1800,重,3勝クラス,
134,芝,1800,不良,3勝クラス,
135,芝,1800,全,オープン,481.5
136,芝,1800,良,オープン,476.8
137,芝,1800,稍重,オープン,483.3
138,芝,1800,重,オープン,
139,芝,1800,不良,オープン,488.0
140,芝,2000,全,all,469.5
141,芝,2000,良,all,470.2
142,芝,2000,稍重,all,466.6
143,芝,2000,重,all,458.0
144,芝,2000,不良,all,494.0
145,芝,2000,全,未勝利,456.2
146,芝,2000,良,未勝利,457.5
147,芝,2000,稍重,未勝利,451.2
148,芝,2000,重,未勝利,420.0
149,芝,2000,不良,未勝利,494.0
150,芝,2000,全,新馬,474.0
151,芝,2000,良,新馬,481.0
152,芝,2000,稍重,新馬,472.0
153,芝,2000,重,新馬,448.0
154,芝,2000,不良,新馬,
155,芝,2000,全,1勝クラス,472.1
156,芝,2000,良,1勝クラス,472.9
157,芝,2000,稍重,1勝クラス,462.3
158,芝,2000,重,1勝クラス,504.0
159,芝,2000,不良,1勝クラス,
160,芝,2000,全,2勝クラス,473.3
161,芝,2000,良,2勝クラス,466.2
162,芝,2000,稍重,2勝クラス,488.7
163,芝,2000,重,2勝クラス,
164,芝,2000,不良,2勝クラス,
165,芝,2000,全,3勝クラス,465.6
166,芝,2000,良,3勝クラス,475.5
167,芝,2000,稍重,3勝クラス,464.0
168,芝,2000,重,3勝クラス,
169,芝,2000,不良,3勝クラス,
170,芝,2000,全,オープン,485.6
171,芝,2000,良,オープン,482.7
172,芝,2000,稍重,オープン,484.0
173,芝,2000,重,オープン,488.0
174,芝,2000,不良,オープン,
175,芝,2400,全,all,
176,芝,2400,良,all,
177,芝,2400,稍重,all,
178,芝,2400,重,all,
179,芝,2400,不良,all,
180,芝,2400,全,未勝利,
181,芝,2400,良,未勝利,
182,芝,2400,稍重,未勝利,
183,芝,2400,重,未勝利,
184,芝,2400,不良,未勝利,
185,芝,2400,全,新馬,
186,芝,2400,良,新馬,
187,芝,2400,稍重,新馬,
188,芝,2400,重,新馬,
189,芝,2400,不良,新馬,
190,芝,2400,全,1勝クラス,
191,芝,2400,良,1勝クラス,
192,芝,2400,稍重,1勝クラス,
193,芝,2400,重,1勝クラス,
194,芝,2400,不良,1勝クラス,
195,芝,2400,全,2勝クラス,
196,芝,2400,良,2勝クラス,
197,芝,2400,稍重,2勝クラス,
198,芝,2400,重,2勝クラス,
199,芝,2400,不良,2勝クラス,
200,芝,2400,全,3勝クラス,
201,芝,2400,良,3勝クラス,
202,芝,2400,稍重,3勝クラス,
203,芝,2400,重,3勝クラス,
204,芝,2400,不良,3勝クラス,
205,芝,2400,全,オープン,
206,芝,2400,良,オープン,
207,芝,2400,稍重,オープン,
208,芝,2400,重,オープン,
209,芝,2400,不良,オープン,
210,芝,2600,全,all,468.9
211,芝,2600,良,all,472.1
212,芝,2600,稍重,all,460.9
213,芝,2600,重,all,464.5
214,芝,2600,不良,all,
215,芝,2600,全,未勝利,464.8
216,芝,2600,良,未勝利,471.8
217,芝,2600,稍重,未勝利,464.6
218,芝,2600,重,未勝利,
219,芝,2600,不良,未勝利,
220,芝,2600,全,新馬,
221,芝,2600,良,新馬,
222,芝,2600,稍重,新馬,
223,芝,2600,重,新馬,
224,芝,2600,不良,新馬,
225,芝,2600,全,1勝クラス,471.5
226,芝,2600,良,1勝クラス,474.3
227,芝,2600,稍重,1勝クラス,418.0
228,芝,2600,重,1勝クラス,468.0
229,芝,2600,不良,1勝クラス,
230,芝,2600,全,2勝クラス,476.7
231,芝,2600,良,2勝クラス,479.2
232,芝,2600,稍重,2勝クラス,470.0
233,芝,2600,重,2勝クラス,444.0
234,芝,2600,不良,2勝クラス,
235,芝,2600,全,3勝クラス,
236,芝,2600,良,3勝クラス,
237,芝,2600,稍重,3勝クラス,
238,芝,2600,重,3勝クラス,
239,芝,2600,不良,3勝クラス,
240,芝,2600,全,オープン,
241,芝,2600,良,オープン,
242,芝,2600,稍重,オープン,
243,芝,2600,重,オープン,
244,芝,2600,不良,オープン,
245,ダート,1150,全,all,476.2
