,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ドラギニャン,牡4,60.0,井上,河嶋,422(+10),43.0,8,栗東,2022106684,01151,オルフェーヴル,ザデイ,シンボリクリスエス
1,2,2,ジューンベロシティ,牡8,61.0,高田,武英,474(-8),3.3,2,栗東,2018103308,01046,ロードカナロア,アドマイヤサブリナ,シンボリクリスエス
2,3,3,シホノスペランツァ,牡7,61.0,小牧加,寺島,482(+4),9.4,3,栗東,2019105654,01196,ブラックタイド,メジロスプレンダー,シンボリクリスエス
3,4,4,アトラクティーボ,牡7,60.0,坂口,武藤,540(-6),33.8,7,美浦,2019100641,01211,ワンアンドオンリー,シャンパンルージュ,ファスリエフ
4,5,5,ホウオウプロサンゲ,牡5,60.0,小野寺,矢作,500(-4),2.0,1,栗東,2021105623,01123,キズナ,セルキス,Monsun
5,5,6,ヴァランセカズマ,牡9,60.0,江田勇,蛯名利,512(+12),91.1,11,美浦,2017105822,01023,モンテロッソ,トシザマキ,デュランダル
6,6,7,ネイチャーシップ,牡8,60.0,伴,畠山,498(-8),46.3,9,美浦,2018102917,01149,ゴールドシップ,アルデグロリア,アルデバラン
7,6,8,オオキニ,セ7,60.0,森一,鈴木孝,472(+4),10.3,4,栗東,2019100675,01139,アドマイヤムーン,ポポチャン,トウカイテイオー
8,7,9,アルヴィア,牡5,60.0,上野,和田雄,480(+2),62.5,10,美浦,2021106965,01087,シュヴァルグラン,アイアムラヴィング,ファルブラヴ
9,7,10,ロードリベラシオン,牡4,60.0,五十嵐,尾形,510(0),14.4,6,美浦,2022102821,01069,ダノンバラード,レディシアトル,エンパイアメーカー
10,8,11,トーアモルペウス,セ6,60.0,大江圭,辻,478(-2),102.8,12,美浦,2020103173,01120,タリスマニック,トーアヒミコ,クロフネ
11,8,12,モンツァフレイバー,牡4,60.0,草野,久保田,464(0),13.2,5,美浦,2022103181,01113,エピファネイア,メープルフレイバー,キングカメハメハ
